screen_rank,display_name,short_name,chemical_class,odds_ratio,bh_fdr,minus_log10_bh_fdr,stable_for_primary_sort,degree_matched_bh_fdr,crc_overlap,n_ctd_human_genes
1,butylbenzyl phthalate,BBzP,phthalates,5.9498851373525605,4.423392441701079e-10,9.354244528479244,True,0.0121242393969666,28,214
2,MBzP,MBzP,phthalates,10.182654704393835,8.992397867382714e-10,9.046124486051458,True,0.0121242393969666,18,87
3,nickel monoxide,Nickel monoxide,heavy_metals,12.49420987907358,1.1907844678021702e-06,5.9241668387816135,True,0.0121242393969666,11,45
4,Copper,Copper,heavy_metals,1.7047886812987485,1.1575374364339752e-05,4.936464954371535,True,0.0121242393969666,138,3542
5,monobutyl phthalate,MnBP,phthalates,7.083866837387964,1.1617801554235037e-05,4.934876046058855,True,0.0121242393969666,13,84
6,Silver,Silver,heavy_metals,2.316004740138818,2.9990776516488967e-05,4.523012289410183,True,0.0516257935612774,48,873
7,mono-(2-ethylhexyl)phthalate,MEHP,phthalates,2.107134592860779,5.676652460130243e-05,4.24590769363224,True,0.0355644355644355,56,1118
8,"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-propanoate",GenX (HFPO-DA),pfas_perfluoro,4.175554911748975,9.705421139708032e-05,4.012985614867781,True,0.0121242393969666,17,175
9,chromium hexavalent ion,Hexavalent chromium,heavy_metals,1.8570400359874044,0.0001390450775217,3.8568443814348727,True,0.0727454363818,72,1632
10,"9,10-Dimethyl-1,2-benzanthracene","9,10-Dimethylbenzanthracene",pahs,6.237523058003689,0.0001444821339979,3.840185852463376,True,0.0121242393969666,11,79
11,monoethyl phthalate,MEP,phthalates,7.36502659574468,0.0002858400730271,3.543876885851018,True,0.0121242393969666,9,56
12,Zinc,Zinc,heavy_metals,1.7677484397391825,0.0003653683115145,3.437269121819748,True,0.3321584076301058,74,1755
13,Volatile Organic Compounds,Volatile organic compounds,vocs,1.685276836983805,0.0010119325816518,2.994848420689824,True,0.0355644355644355,77,1909
14,lead nitrate,Lead nitrate,heavy_metals,5.863877118644068,0.001111818561232,2.9539660799166825,True,0.0355644355644355,9,68
15,monomethyl phthalate,MMP,phthalates,25.46758462421113,0.0013323351592983,2.8753865112586827,False,0.0121242393969666,4,10
16,cobalt ferrite,Cobalt ferrite,heavy_metals,25.46758462421113,0.0013323351592983,2.8753865112586827,False,0.0213386613386613,4,10
17,mono(2-ethyl-5-hydroxyhexyl) phthalate,MEHHP,phthalates,7.669896193771626,0.001377023527373,2.861058639466404,True,0.0121242393969666,7,42
18,gallium arsenide,Gallium arsenide,heavy_metals,6.268029568846603,0.0014568347272344,2.836589714613937,True,0.0121242393969666,8,57
19,CPS 49,CPS 49,phthalates,21.82837472338333,0.0017273010490496,2.762631963216116,False,0.0121242393969666,4,11
20,tetrathiomolybdate,Tetrathiomolybdate,heavy_metals,4.193259047159072,0.0019589893324046,2.7079679289314664,True,0.1905237619523334,11,112
21,cadmium acetate,Cadmium acetate,heavy_metals,4.939955357142857,0.0024118911712362,2.6176422922192355,True,0.1231076615692,9,79
22,mono-isobutyl phthalate,MiBP,phthalates,6.389561707035756,0.002901415083933,2.5373901354627053,True,0.0121242393969666,7,49
23,"bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate",TBPH,phthalates,10.62404214559387,0.0029185106492503,2.534838717669153,True,0.0666833166833166,5,23
24,MiNP,MiNP,phthalates,10.06442831215971,0.0034587951022239,2.461075164672314,True,0.0355644355644355,5,24
25,benz(a)anthracene,Benz[a]anthracene,pahs,3.7459221115599273,0.0038333214414442,2.416424761650357,True,0.3282870975178668,11,124
26,"Air Pollutants, Occupational",Occupational air pollutants,environmental_pollutants,1.834906298834734,0.003908549913217,2.4079843376159573,True,0.0862960568842921,42,940
27,perfluorooctane sulfonic acid,PFOS,pfas_perfluoro,1.4137896708902409,0.0054998693582815,2.259647626442356,True,0.0121242393969666,128,3799
28,nickel chloride,Nickel chloride,heavy_metals,2.10923920959363,0.0064361288972716,2.191375266808367,True,1.0,26,505
29,"1,12-benzoperylene",Benzo[ghi]perylene,pahs,5.158470854405111,0.0070098815354021,2.154289321399375,True,0.1756536146780049,7,59
30,butylidenephthalide,Butylidenephthalide,phthalates,5.060912711366456,0.007374435343881,2.1322712277463904,True,0.1984991752433613,7,60
