test_id,biomarker,matrix,exposure_axis,male_outcome_id,male_outcome_name,male_outcome_male_beta,male_outcome_male_se,male_outcome_male_z,male_outcome_female_beta,male_endpoint_interaction_beta,male_endpoint_interaction_p,male_endpoint_fixed406_q,female_outcome_id,female_outcome_name,female_outcome_female_beta,female_outcome_female_se,female_outcome_female_z,female_outcome_male_beta,female_endpoint_interaction_beta,female_endpoint_interaction_p,female_endpoint_fixed406_q,male_interaction_direction_supported,female_interaction_direction_supported,male_endpoint_pooled_n,male_endpoint_cases,female_endpoint_pooled_n,female_endpoint_cases
NHANES_URXP02,URXP02,urine,PAH exposure axis,thyroid_disease,Thyroid disease,0.1224017348781144,0.0436064622662799,2.8069632003320177,-0.0275158970346648,-0.1041226074874012,0.0228303785085382,0.2439245703806979,hypertension,Hypertension,0.1045174098998425,0.0267049400019622,3.9137856101591266,-0.0041299259069194,0.0722526278030308,0.0195787448847989,0.2148370384656316,True,True,10859,1036,12370,4148
NHANES_URXUSN,URXUSN,urine,metal exposure axis,any_cancer_history,Any cancer history,0.1303050552351295,0.0606637080677885,2.1479902792872547,-0.0001740006234729,-0.1614699949620539,0.0299012575217077,0.2759070580412123,asthma,Asthma,0.0905752284148231,0.039343744655337,2.302150677529281,-0.0256234655645211,0.1177637858533584,0.0341868271047425,0.289163579260947,True,True,6319,588,6316,966
