"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","selected","analysis"
1,0.38728979187235,17.1620132145465,0.874330380236024,2597.17942418379,2600.84189274929,2833.14771988317,FALSE,"tumor_only"
2,0.369080816856737,7.433967116268,0.932318599851046,1392.55891345739,1391.07355281374,1667.69472951475,FALSE,"tumor_only"
3,0.10894479766856,2.28501348997284,0.931061475236468,770.835733094095,764.287683448731,1056.82769432624,FALSE,"tumor_only"
4,0.0053573403347943,0.325803703586986,0.960769555075585,440.650484487598,430.26611778662,710.090409777507,FALSE,"tumor_only"
5,0.0237727234976576,-0.503871616189678,0.89992220532622,260.201157998692,248.644083743279,501.551600981359,FALSE,"tumor_only"
6,0.222108389983037,-1.17808090331328,0.805364640651007,158.709364686105,146.938686305115,369.25153517453,FALSE,"tumor_only"
7,0.570341598990429,-1.59876842983841,0.833706945302428,99.9588661934642,88.6737813522484,282.514238204064,FALSE,"tumor_only"
8,0.783383867928329,-1.81671291956315,0.887207089742654,64.9581693622338,54.674732455371,227.130344069821,FALSE,"tumor_only"
9,0.873835994795642,-1.88418862866495,0.922189927932196,43.5032133134622,34.2892316144593,186.223632878875,TRUE,"tumor_only"
10,0.9181337812142,-1.87193682949232,0.938963848754812,29.9774126064175,21.9370398992687,154.955177919168,FALSE,"tumor_only"
12,0.92898889357213,-1.82535152395217,0.940502343591934,15.3851785626417,9.40579284792791,110.740748027748,FALSE,"tumor_only"
14,0.930087459558872,-1.74464975826813,0.941385283882192,8.63325142630468,4.2391161998706,82.8641866634708,FALSE,"tumor_only"
16,0.930386246077127,-1.68476335695466,0.954863044074163,5.20757004929088,2.01845236588895,64.1963594831483,FALSE,"tumor_only"
18,0.910979113978851,-1.64790401916886,0.944385079174144,3.32702924957762,0.997233288902354,50.7037993716994,FALSE,"tumor_only"
20,0.896246462504293,-1.62841856387936,0.951876003475209,2.22477442684401,0.51278492263515,40.6622122280506,FALSE,"tumor_only"
22,0.904346844586434,-1.57914942986259,0.973881191621064,1.54305235058851,0.272399426298575,33.0193422930065,FALSE,"tumor_only"
24,0.897641077435402,-1.55293099002912,0.970513039368036,1.10252207512918,0.146758474072831,27.0969608260235,FALSE,"tumor_only"
26,0.894966649031789,-1.52951219435777,0.97800864234647,0.807428097977264,0.0819847033391905,22.4394864809969,FALSE,"tumor_only"
28,0.871023436526369,-1.56372313626819,0.980079631621937,0.603781331546758,0.0461110876525208,18.7308382265228,FALSE,"tumor_only"
30,0.875833504479043,-1.54602051160667,0.983538697707516,0.459688397676546,0.0261036267427385,15.745916049651,FALSE,"tumor_only"
