"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEpink",2.14007252020933e-06,0.293302108471977,0.384348531597333,0.0456555042667893,0.872813871516328,2.14007252020933e-06,0.789419978287817,0.105090135108847,0.460118181127417,0.025855377739383,0.81700710309441,1.15544661588318e-09,0.0300956845702404,0.0521427537801428,0.1366075998209,0.00404550692443709,1.3884171420873e-37
"MEturquoise",0.00141609115432164,0.18672521188635,0.0246792561106092,0.00488987387035747,0.00177700427461562,0.00141609115432164,0.998325479781202,0.0965816750484838,1.06624926551237e-17,0.121875423667529,1.36879152125238e-22,0.187100240649393,4.31928060626506e-57,0.0100524543136919,0.0927860850077731,0.555629560037122,4.79632216855576e-63
"MEred",0.118534842159615,0.323604453547995,0.842077820029348,0.470988601558942,0.0986150442053612,0.118534842159615,0.564055205826067,1.70514367971178e-08,4.1099046527217e-18,1.34341250428504e-23,1.05946342929784e-06,0.507450894648798,3.15080878314524e-24,2.57189182248442e-21,1.51159283895659e-14,1.09692924620599e-07,1.95515015940025e-215
"MEblue",5.59015313315453e-21,0.873421939443296,0.0468388744189697,0.00545448894576547,0.929917911720176,5.59015313315453e-21,0.271581468430123,0.141420448991799,0.00048080108406374,1.31776700000694e-10,0.765712668384901,2.90271769222278e-15,2.04900990644386e-11,2.0717429918968e-11,0.000277292723580315,0.00100534488802978,2.88983862187883e-10
"MEblack",0.694976333655225,0.0391653183036781,0.912876430588234,0.847959361467388,0.610252431692671,0.694976333655225,0.183604986574582,0.0309465826304483,0.696744906093028,7.59180577821543e-09,0.537206410102965,0.0840298233497723,0.0955951871572464,2.92620688409221e-05,0.000138742740791874,0.120343348425034,1.24831251521738e-06
"MEyellow",6.84800584146639e-14,0.733915068981225,0.405043800851379,0.89697737238174,0.930768625889712,6.84800584146639e-14,0.412639590355043,8.31573520855688e-15,1.14809444708803e-12,3.23027699494788e-26,9.67971522859855e-06,0.000651974966262587,1.56416416858684e-05,2.85879698542797e-14,2.56318944981949e-15,2.74444032170637e-12,4.52913519738845e-29
"MEbrown",2.22928729920033e-11,0.878212138540058,0.79506136458262,0.0976560979954813,0.260330356167027,2.22928729920033e-11,0.335099652743454,0.0294788100859424,0.681134860777032,0.000318446831338076,0.00958724890004162,0.0288170647111416,0.00829601300855965,7.76489345454057e-05,0.00891114086122614,0.00167457166566286,0.123403269196192
"MEgreen",1.19937980422553e-46,0.626997189693002,0.00857791768693106,0.0683062408728753,0.333873333145341,1.19937980422553e-46,0.38945625526913,0.831135462901508,0.471366489497021,0.969853840259783,3.12227707567349e-16,3.78599988792243e-32,1.55087974255909e-20,0.585289583726816,0.251158408745983,0.0115280219474785,0.0239942861877113
