"gene_symbol","module","kME_own","kME_pink","kME_turquoise","kME_red","kME_blue","kME_black","kME_yellow","kME_grey","kME_brown","kME_green"
"USP34","black",0.844726745117035,-0.168018629011384,0.0713147546773719,-0.0453051571212874,-0.101042379644079,0.844726745117035,0.247722620500809,0.0962191351051669,0.0570533322229995,-0.0529539761196249
"DLG1","black",0.817135430841489,-0.124049111052792,-0.0583791471586454,-0.146630820620772,-0.121683986477394,0.817135430841489,0.274880955183564,0.227330660394092,0.070720891272901,0.11085588989368
"MBNL2","black",0.808886056738553,-0.149466534560654,0.0655536366720499,-0.145003602889818,-0.214085281502578,0.808886056738553,0.393017859714622,0.316955968066564,-0.0091799253318796,-0.0607553647694026
"ZNF638-IT1","black",0.807097296976458,-0.138090959526873,0.0242752660075925,-0.165631681936101,-0.140456806021914,0.807097296976458,0.414868837461746,0.34810485377942,0.0900451679232963,-0.0524488540560614
"ARID2","black",0.803870276632283,-0.102342402444864,-0.0102409628369737,-0.125740381268688,-0.135062603449466,0.803870276632283,0.302818635000702,0.237737728667908,0.0443248970715762,0.0223820721049527
"SCAF4","black",0.802032553131901,-0.0809090067974182,-0.0434549531164688,-0.161341056402957,-0.129719060656814,0.802032553131901,0.319910866595439,0.324160177092724,0.150377489922267,0.134221003578148
"PIK3C2A","black",0.798669280836229,-0.200550144493542,0.0337249063706521,-0.13630215575598,0.0404848479192694,0.798669280836229,0.41587401515123,0.199671928567599,0.018752076422647,-0.166704053674476
"CBR4","black",0.796197495123305,-0.232692260019894,-0.172266416838392,-0.355036485214009,-0.0956460411841216,0.796197495123305,0.486427425922367,0.401233576914256,0.0174380643736532,-0.00746281212621282
"FAM185A","black",0.790857068192336,-0.134424910509933,-0.142982640567203,-0.262998028838714,-0.218687778653198,0.790857068192336,0.338892506433287,0.35447311773693,-0.00985475209177118,0.0779328516562436
"N4BP2L2","black",0.787611024812536,-0.168005612754497,0.114364558658597,-0.0981592116991584,-0.147803553178832,0.787611024812536,0.476646007016446,0.312565189921228,0.00910020290671034,-0.147747746123785
"CSNK1A1","black",0.761785319794477,-0.150301960218677,0.016107564412052,-0.0699225933079027,-0.0207285781720057,0.761785319794477,0.198957226117312,0.0268839940122326,0.192636885347342,0.0346396449137639
"VPS13C","black",0.760305246739857,-0.0524631820179692,0.0905040240380366,0.0911588873972672,-0.0779618708461408,0.760305246739857,0.202062728017992,0.00381978205753159,0.0907226138146415,-0.0262785659140035
"UBE2D3","black",0.75529082395842,-0.0266810384081071,0.133276068731983,0.0463446661016263,-0.175085466864766,0.75529082395842,0.178551238704328,0.134362672863174,0.118620895894533,0.0406629750146383
"TRAPPC10","black",0.754575474010248,-0.0364337295504458,0.0820497340200272,-0.0246821256905836,-0.166930999247557,0.754575474010248,0.229276781786124,0.238455915352001,-0.0139611873959412,0.0633006523665984
"MGEA5","black",0.754167786718319,-0.0947989448660759,0.116950643888702,0.0220342446971712,-0.172749874733261,0.754167786718319,0.18716209433462,0.152743274733497,0.0655097988120057,-0.0435489749688942
"RBM5","black",0.753655947443896,-0.115284035807158,-0.0700033780280381,-0.0906635724706085,-0.0244079334444629,0.753655947443896,0.199781403280513,0.101224777161139,0.0626955675706512,0.0857549084770227
"ANAPC5","black",0.753581038993577,-0.183682223987121,-0.0875036274427597,-0.26811592332805,-0.130405713187517,0.753581038993577,0.37862843101685,0.360216115526211,-0.0990966306750672,-0.0117907599897052
"ZFAND6","black",0.753275538482101,-0.140843243763961,-0.0793202454970916,-0.227513945961074,-0.164247805525838,0.753275538482101,0.328777467984287,0.336287345809362,-0.0858455926835403,0.0169101160965265
"GOLGA4","black",0.75275028149653,-0.153257291366273,-0.0553122269704166,-0.135958672107402,-0.11693257511782,0.75275028149653,0.190576220430684,0.155840094577282,0.101931385892202,0.0738580047231848
"NOTCH2NL","black",0.749057875394335,-0.0952825349797971,0.328387290174306,0.0912032335228846,-0.29021824753082,0.749057875394335,0.217232171624389,0.178239323609331,-0.0996798389849269,-0.165858398505654
