"module","module_gene_n","target_gene_n","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_module","driver_enrichment_p","driver_enrichment_fdr"
"grey",954,39,1.19634504266901e-10,NA,1,0.708793122528377,NA
"turquoise",875,19,0.0546266728633257,0.491640055769931,2,0.28094942475872,1
"brown",556,7,0.743721085797097,1,1,0.508341539263337,1
"yellow",454,4,0.919523890754751,1,0,1,1
"red",427,2,0.990470742712784,1,1,0.418655279712409,1
"green",452,2,0.993348535598952,1,0,1,1
"blue",781,2,0.999959937646645,1,1,0.644321235429435,1
"black",416,0,1,1,0,1,1
"magenta",36,0,1,1,0,1,1
"pink",49,0,1,1,0,1,1
