"gene_symbol","module","kME_own","kME_red","kME_midnightblue","kME_pink","kME_purple","kME_cyan","kME_blue","kME_greenyellow","kME_lightgreen","kME_magenta","kME_lightyellow","kME_lightcyan","kME_turquoise","kME_green","kME_grey60","kME_tan","kME_grey","kME_black","kME_salmon","kME_brown","kME_yellow"
"BCLAF1","black",0.867405814990814,-0.00473593011618909,-0.389227763676364,-0.0729906119958115,0.0795716133656345,0.329402216020549,0.426159841590128,0.22629389339663,0.104669319078313,-0.0416140571838098,0.0119682684053464,0.0350843254423949,-0.0797850679950997,0.0362374335298981,0.0767302648509657,0.0919956839337832,-0.244059906763015,0.867405814990814,0.491454447955357,0.441602502671108,-0.000399100605598789
"API5","black",0.856903609411427,0.104199084594311,-0.378617943358351,-0.183167236857359,0.0467345492989808,0.351615449595484,0.400008035377629,0.233835374963419,0.107436881781221,0.000479911635844068,0.129703122154291,0.0544582107177475,-0.115929402107075,0.0708256436565184,0.158561612683541,0.202407837890096,-0.16946617844267,0.856903609411427,0.588298823982545,0.512825472986149,0.129600360624793
"SCAMP1","black",0.856462710354478,0.083195773002806,-0.447635762375647,-0.131833929907693,0.0513176562792508,0.383464500558008,0.469557370385827,0.219044397336912,-0.0046717990998373,-0.124234457387702,-0.0608141716051016,0.0122992842715658,-0.0017840350768997,0.0759343975943297,0.0891854713453941,0.0936908299122337,-0.255657609973941,0.856462710354478,0.461406346772939,0.354344261866208,-0.130912666859937
"EXOC5","black",0.853067051325779,0.0458163392215497,-0.510159594960978,-0.069458981263477,0.14882693680082,0.364464979175468,0.551922093188753,0.17546477573035,0.00231616065962493,-0.244058154233768,-0.129400899386696,0.0554016137569857,0.0720488140840811,0.180268466044345,0.168915125049574,0.1287604996477,-0.202220583784044,0.853067051325779,0.435613223242576,0.407184282074915,-0.146553261076279
"SCYL2","black",0.851659011164742,0.223239705438076,-0.340330038620326,-0.186317089786021,0.00338715677268518,0.250171412400884,0.398203926774888,0.123699655084024,0.00308206758131321,-0.168847544475879,-0.0648498627700037,0.0834510614984156,-0.0756909881013912,0.0862213336017643,0.110344310176837,0.180160578346306,-0.180535933513813,0.851659011164742,0.477256189534857,0.35373104024723,-0.0784074378396418
"SNHG4","black",0.845220001175887,-0.0253341578458713,-0.389733430053692,-0.111008163437132,0.125350796815153,0.398020175011244,0.535404079114682,0.296866224317649,0.0480629247149017,-0.0972192743051212,-0.0301195070582469,-0.020630214818565,-0.0486273514120077,0.0246356131923591,0.0737034754856864,0.0126476225150738,-0.336899340970723,0.845220001175887,0.376562068252908,0.403961416472548,-0.134420864541468
"CAB39","black",0.837710103025038,0.236519941699146,-0.376983452966052,-0.170374309281963,0.0449155906979904,0.327284244103147,0.41363426485729,0.192714715383031,-0.0221546050518457,-0.091354252490299,-0.0859055261760294,0.164465636685081,0.0135353203059599,0.163773595830406,0.177468819793375,0.0845418774036727,-0.266205361458057,0.837710103025038,0.45489430640118,0.264829895074896,-0.163980650830328
"G3BP2","black",0.837447070750375,0.191814281828398,-0.398080783826775,-0.321984686779521,-0.112959110661478,0.23899387011599,0.30186521274661,-0.015220854470216,0.0426512044392977,-0.201140174692514,-0.0286558338221977,0.0784158369356067,-0.0383405670448794,0.139881618620455,0.107330865734192,0.338605221155977,-0.0592292070017129,0.837447070750375,0.672312829923383,0.386089682053571,0.0608050120300421
"LIN7C","black",0.837282315486217,0.132205409721269,-0.580341958314312,-0.0841762548335057,0.212612798950623,0.412387773467079,0.627806434407672,0.267597920050258,0.0742373213824742,-0.146420387007413,-0.0234655917993115,-0.0177113713459086,-0.0599636523329967,0.0705308795507498,0.15255715478595,0.20859110006127,-0.148640548278537,0.837282315486217,0.530017081154242,0.583049496673223,0.03149157377226
"PAPOLA","black",0.837187330573635,0.108696659810142,-0.449224601147806,-0.104212396884479,0.144661954623985,0.517280438554593,0.579868114305379,0.2863734688922,0.0380562244527602,-0.0757309647391324,-0.0663929063515223,0.0488152022822374,-0.100731848394796,0.040670005933232,0.0818135777287467,0.0977998131203086,-0.283818543101858,0.837187330573635,0.407549781034021,0.492200122166259,-0.0672457172444465
