"analysis","module","module_gene_n","target_gene_n_in_input","target_gene_n_in_module","target_enrichment_OR","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_input","driver_gene_n_in_module","driver_enrichment_fdr","driver_enrichment_p"
"all_samples","turquoise",1274,41,14,3.57882627129969,0.000342715350953146,0.00753973772096922,5,2,1,0.124727406973884
"all_samples","grey",1213,41,12,3.01701051834137,0.0026193861818042,NA,5,0,NA,1
"all_samples","greenyellow",316,41,3,2.43261435463244,0.138881671228041,1,5,0,1,1
"all_samples","magenta",490,41,3,1.53539706009878,0.325741718120154,1,5,1,1,0.222178038892084
"all_samples","salmon",267,41,1,0.911004202604327,0.671045336295903,1,5,1,1,0.126582881724602
"all_samples","black",586,41,2,0.823244698417021,0.701914737643284,1,5,1,1,0.260660469041406
"all_samples","red",621,41,2,0.773796452056127,0.732494757112536,1,5,0,1,1
"all_samples","yellow",673,41,2,0.709853190838457,0.773139090326499,1,5,0,1,1
"all_samples","purple",455,41,1,0.5234211721897,0.85239164466218,1,5,0,1,1
"all_samples","blue",1066,41,1,0.208797414358882,0.990258575814224,1,5,0,1,1
"all_samples","brown",815,41,0,0,1,1,5,0,1,1
"all_samples","cyan",174,41,0,0,1,1,5,0,1,1
"all_samples","darkgreen",50,41,0,0,1,1,5,0,1,1
"all_samples","darkred",52,41,0,0,1,1,5,0,1,1
"all_samples","green",628,41,0,0,1,1,5,0,1,1
"all_samples","grey60",93,41,0,0,1,1,5,0,1,1
"all_samples","lightcyan",111,41,0,0,1,1,5,0,1,1
"all_samples","lightgreen",67,41,0,0,1,1,5,0,1,1
"all_samples","lightyellow",55,41,0,0,1,1,5,0,1,1
"all_samples","midnightblue",173,41,0,0,1,1,5,0,1,1
"all_samples","pink",500,41,0,0,1,1,5,0,1,1
"all_samples","royalblue",54,41,0,0,1,1,5,0,1,1
"all_samples","tan",267,41,0,0,1,1,5,0,1,1
