"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEgreen",-0.208233459571438,-0.0404906214496446,0.0192156963981548,-0.0456033946558162,-0.0233902625931152,0.208233459571438,-0.0343396052863774,0.0467940600171907,0.0363473032453768,0.13454047183782,0.0278213075920254,-0.0962899655825578,-0.0939578713257257,0.106332160368152,0.0861411030108104,0.043958636585867,0.0242602810025582
"MEyellow",-0.227123282973728,0.0580055817466531,-0.0196598134092532,-0.042566349798454,-0.0360018663323392,0.227123282973728,-0.0244479651835172,0.136557550657332,-0.178330262558809,0.13376587131251,0.10916440865027,-0.066202380267809,0.0899232795970408,0.248132978756908,0.160426953289737,0.260786035939754,0.00262936526722524
"MEpurple",0.0941375675274085,0.0499480816876401,-0.041601116415034,-0.0352423193206541,-0.0342340252960358,-0.0941375675274085,-0.0332259281937799,-0.090863945228611,0.0539611647745919,-0.150313952537149,-0.0026096723746654,-0.177361773909004,-0.0501858240260873,-0.032799067646013,-0.0904174614219037,-0.00459763643641718,-0.308346032248395
"MEblue",0.327764870365559,-0.00368958549661788,-0.0727361274053506,-0.0971864244702429,-0.0153952754328832,-0.327764870365559,0.0258253634927281,0.0189689175874827,0.127231599017454,0.151136635161071,0.0322287295841003,-0.322561171227142,-0.210589813467868,0.203931576211502,0.103296064120247,0.124403031942925,-0.294457715949284
"MElightcyan",0.181669264917462,-0.0460928756019081,0.00190327924252147,-0.0268476801895933,-0.0454651161404581,-0.181669264917462,-0.0351629761574121,-0.133106875833174,0.0863631862512359,-0.116082009406973,-0.11646170666957,-0.104764169678964,-0.101452241508405,-0.117484736994491,-0.0614904976905751,-0.136591004849342,-0.217824915273531
"MEpink",-0.0305914881478627,0.0748988619863393,0.0128664883426892,0.0156955783499008,-0.0188550089594857,0.0305914881478627,-0.0611754663941792,-0.117968673969821,0.0676132246921449,-0.291522993042114,-0.0157030104421491,-0.0558820930486615,0.051285875960567,-0.257126211431445,-0.211216326134393,-0.131569959140173,-0.207783077634366
"MEtan",0.0211442944993617,0.0961126207983479,-0.0193212652533285,-0.0228545557175939,-0.0357578842770055,-0.0211442944993617,-0.0182328012109375,-0.0204133626446158,-0.0564577672443391,-0.0575468481361142,-0.0409555921840716,-0.107316202850969,0.0352264442430293,0.0740586753495267,-0.0287965182869604,0.0845502609346407,-0.221566486724956
"MEred",0.239370839698832,-0.0705813434304734,-0.0574724376739264,0.0131001468550288,0.0309309903199475,-0.239370839698832,-0.0313011632073161,-0.430800576082941,0.401607656654185,-0.531589947506874,-0.228097887907653,0.00334777465126999,-0.275410305252535,-0.453735380315012,-0.489172407606355,-0.452105967599347,-0.420757693124386
"MEcyan",0.201837105236301,0.0202890317757183,-0.0114079410579698,0.0440309058094712,-0.0078862106446207,-0.201837105236301,-0.0252224893984714,-0.249235520133788,0.1577563503989,-0.374872665700032,-0.171104331906934,-0.0872301856575763,-0.0537663386285077,-0.284907227540517,-0.265691491586969,-0.272369169493754,-0.284563497526615
"MEgrey60",0.193385994089507,0.0193007627936296,0.00915583524119882,0.0528044800663125,-0.0432001806987996,-0.193385994089507,0.043257281110644,-0.18363197979526,0.213299485875822,-0.288433484718234,-0.115986135540259,-0.171667515787398,-0.101262474437826,-0.188313737814564,-0.208450266526991,-0.197372554942488,-0.334117034934676
