"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEgreen",3.74407472719492e-07,0.328666077949951,0.644497645859819,0.275376074573071,0.572344369065302,3.74407472719492e-07,0.40708612540741,0.259297088284045,0.388080670870826,0.00133502913089365,0.508898050414852,0.0219592289975978,0.0253954381580351,0.0137777432831494,0.0511857117809212,0.336027082298375,0.558138247996112
"MEyellow",2.78599809602898e-08,0.161530145953044,0.636865416413835,0.308651518113216,0.384744134387437,2.78599809602898e-08,0.555096218754403,0.000947539949158981,1.97688368810801e-05,0.00142419819561066,0.00934593434942084,0.115661190773458,0.0324398771111034,5.79441851289494e-09,0.000263894937925632,6.4228733774064e-09,0.949400251156585
"MEpurple",0.0227818855539513,0.228119867202377,0.317652837886965,0.399358657911787,0.408530791745881,0.0227818855539513,0.422477398562449,0.0282514657224834,0.199887265431615,0.000332477324122546,0.950603505884216,2.19634842734496e-05,0.23323365926691,0.44858004495149,0.0406473247222673,0.919890054818541,2.37318542720228e-14
"MEblue",4.07048941383431e-16,0.929104057870274,0.0803356692953215,0.0198664460123437,0.710199900701202,4.07048941383431e-16,0.533021572129502,0.647620654150847,0.00242475203814469,0.000308027166880897,0.444122970471497,3.59527945336644e-15,4.28545968179023e-07,1.93160530096086e-06,0.0192754628109823,0.00629717098934249,3.63480991837798e-13
"MElightcyan",9.80457627895091e-06,0.266099768997086,0.963550500940388,0.520913270903609,0.272261162930342,9.80457627895091e-06,0.395924462226537,0.00127581466403607,0.0399813138584303,0.00569357293694835,0.00553662764887706,0.0126392900199606,0.0157558679953996,0.00646814427158779,0.164332182529161,0.00268245961837502,1.03062889275422e-07
"MEpink",0.460210862463709,0.0705013668101882,0.757365218300285,0.707479960118944,0.649032350569329,0.460210862463709,0.139446108700145,0.00434106466649101,0.108086685043495,1.50038025608921e-12,0.709309544008445,0.184318354845052,0.223135022512598,1.53291801818627e-09,1.38719453564373e-06,0.00384479979722868,3.97204660085519e-07
"MEtan",0.609788432015982,0.020175377037908,0.642679998118983,0.584767642667888,0.387975781222453,0.609788432015982,0.659874826713251,0.622802707003115,0.179831681993487,0.171565934820924,0.330742943402174,0.010622713693675,0.402890219159894,0.0867249956850589,0.51519447127555,0.0639072850233581,6.13021479872421e-08
"MEred",4.5549422552324e-09,0.088353705801826,0.167254664119443,0.754138991822612,0.455245032977937,4.5549422552324e-09,0.449865048305437,9.59914786330369e-28,2.38300714451062e-23,1.33469466348392e-42,4.08537388194313e-08,0.936658608351769,2.60915097097074e-11,1.40703176262887e-28,3.21323570888359e-32,1.31608193101664e-25,1.67825141649395e-26
"MEcyan",8.56237626767657e-07,0.624624731945741,0.784147363717648,0.292287492597553,0.849045078366503,8.56237626767657e-07,0.542628717140127,1.05065708968618e-09,0.000164252575161466,2.51642588449832e-20,4.2782423966529e-05,0.0380199131026811,0.201518266668857,1.81155037870274e-11,9.75820145242364e-10,1.25406904496639e-09,2.32494360332002e-12
"MEgrey60",2.45381596685171e-06,0.641596315843108,0.825995728898786,0.206506875122748,0.296890328815789,2.45381596685171e-06,0.29625170676245,8.10652907636892e-06,3.01668561910079e-07,2.63171354464059e-12,0.00573382935677092,4.03289087897991e-05,0.0159532936129796,1.13911599603933e-05,1.9150430486655e-06,1.29812026830903e-05,1.00883646187813e-16
