"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEgreen",7.48814945438985e-07,0.595258601531456,0.834055776995059,0.522333338345442,0.839438407962443,7.48814945438985e-07,0.718359812505698,0.335560937779353,0.388080670870826,0.00195804272531068,0.658573947595691,0.034507359853368,0.0349187274672983,0.0178300207193698,0.0671706947036678,0.41069976725357,0.584716259805451
"MEyellow",6.81021756807085e-08,0.595258601531456,0.834055776995059,0.522333338345442,0.715385051822472,6.81021756807085e-08,0.718359812505698,0.00208458788814976,5.43643014229702e-05,0.00195827251896466,0.0186918686988417,0.159034137313505,0.0419810174378986,1.59346509104611e-08,0.00058056886343639,2.78457538038628e-08,0.949400251156585
"MEpurple",0.0278445267881627,0.595258601531456,0.63530567577393,0.549118154628707,0.715385051822472,0.0278445267881627,0.718359812505698,0.0478101727611257,0.231448412605028,0.000562653933130462,0.950603505884216,6.90280934308415e-05,0.256557025193601,0.469940999472989,0.0596160762593253,0.963694343143234,6.52625992480626e-14
"MEblue",1.49251278507258e-15,0.945661260589736,0.273463610859836,0.10926545306789,0.91908222443685,1.49251278507258e-15,0.718359812505698,0.647620654150847,0.00444537873659861,0.000562653933130462,0.610669084398309,3.95480739870308e-14,1.34685875713407e-06,3.54127638509491e-06,0.0302900129886864,0.00989555441182392,8.88509091159063e-13
"MElightcyan",1.54071912954943e-05,0.595258601531456,0.963550500940388,0.674123056463495,0.715385051822472,1.54071912954943e-05,0.718359812505698,0.00255162932807214,0.0586392603256978,0.00736815321252139,0.012614424584896,0.0231720317032611,0.0269978814988885,0.00889369837343322,0.180765400782077,0.00491784263368753,1.88948630338274e-07
"MEpink",0.50623194871008,0.595258601531456,0.862562100089413,0.778227956130838,0.892419482032827,0.50623194871008,0.718359812505698,0.00795861855523353,0.139876886526875,4.7154808048518e-12,0.780240498409289,0.225277989255064,0.256557025193601,4.81774234287113e-09,4.3597542548803e-06,0.00650658427223316,6.72192501683187e-07
"MEtan",0.638825976397695,0.443858294833975,0.834055776995059,0.714716007705196,0.715385051822472,0.638825976397695,0.806513677093974,0.647620654150847,0.219794277992039,0.188722528303017,0.485089650323188,0.02124542738735,0.422075467691318,0.100418416056384,0.51519447127555,0.0878725169071174,1.22604295974484e-07
"MEred",1.25260912018891e-08,0.595258601531456,0.408844734514195,0.790050372385593,0.715385051822472,1.25260912018891e-08,0.718359812505698,2.11181252992681e-26,5.24261571792337e-22,2.93632825966463e-41,2.99594084675829e-07,0.936658608351769,1.14802642722712e-10,1.54773493889176e-27,7.06911855954391e-31,2.89538024823661e-24,7.38430623257339e-26
"MEcyan",1.56976898240737e-06,0.763852136767977,0.862562100089413,0.522333338345442,0.943133979531325,1.56976898240737e-06,0.718359812505698,7.70481865769863e-09,0.000361355665355224,9.22689490982716e-20,0.000188242665452727,0.0557625392172657,0.246300103706381,6.6423513885767e-11,3.578007199222e-09,6.89737974731514e-09,5.11487592730405e-12
"MEgrey60",4.15261163621058e-06,0.763852136767977,0.865328858846347,0.454315125270047,0.715385051822472,4.15261163621058e-06,0.718359812505698,2.54776628114452e-05,1.10611806033696e-06,7.23721224776162e-12,0.012614424584896,0.000110904499171948,0.0269978814988885,1.92773476252809e-05,5.26636838383011e-06,2.85586459027986e-05,3.17062888018841e-16
