"analysis","module","macrophage_score_cor","macrophage_score_p","macrophage_score_fdr"
"all_samples","MEgreen",0.0242602810025582,0.558138247996112,0.584716259805451
"all_samples","MEyellow",0.00262936526722524,0.949400251156585,0.949400251156585
"all_samples","MEpurple",-0.308346032248395,2.37318542720228e-14,6.52625992480626e-14
"all_samples","MEblue",-0.294457715949284,3.63480991837798e-13,8.88509091159063e-13
"all_samples","MElightcyan",-0.217824915273531,1.03062889275422e-07,1.88948630338274e-07
"all_samples","MEpink",-0.207783077634366,3.97204660085519e-07,6.72192501683187e-07
"all_samples","MEtan",-0.221566486724956,6.13021479872421e-08,1.22604295974484e-07
"all_samples","MEred",-0.420757693124386,1.67825141649395e-26,7.38430623257339e-26
"all_samples","MEcyan",-0.284563497526615,2.32494360332002e-12,5.11487592730405e-12
"all_samples","MEgrey60",-0.334117034934676,1.00883646187813e-16,3.17062888018841e-16
"all_samples","MEmagenta",-0.0580550530646563,0.160812534439045,0.18620398724521
"all_samples","MEgreenyellow",-0.119251593092429,0.00387138617056894,0.00501002916191274
"all_samples","MEsalmon",0.127137189354955,0.0020632576718082,0.00283697929873628
"all_samples","MEdarkgreen",0.419512573960081,2.4375921567288e-26,8.93783790800559e-26
"all_samples","MElightgreen",0.511750702322491,2.31899503027362e-40,1.27544726665049e-39
"all_samples","MEturquoise",0.616603934161097,1.47557215334859e-62,1.62312936868345e-61
"all_samples","MEblack",0.921812394211544,4.03275194472143e-242,8.87205427838715e-241
"all_samples","MElightyellow",0.539479215741052,1.74493149349984e-45,1.27961642856655e-44
"all_samples","MEroyalblue",-0.0566149440385557,0.171468328021617,0.188615160823779
"all_samples","MEdarkred",-0.12746411358322,0.00200858428260559,0.00283697929873628
"all_samples","MEmidnightblue",-0.080179214796329,0.0525927205550731,0.0642799917895338
"all_samples","MEbrown",-0.145622985551343,0.000410143585045484,0.000644511347928618
