"gene_symbol","module","kME_own","selected_in_wgcna_input","target_group"
"CXCL13","black",0.717346319699894,TRUE,"81_gene_program"
"CXCR4","black",0.705679832680302,TRUE,"81_gene_program_and_7_driver"
"ABCC4","blue",0.302958246384134,TRUE,"81_gene_program"
"HPGD","greenyellow",0.528567011024212,TRUE,"81_gene_program"
"PPARG","greenyellow",0.50661280838601,TRUE,"81_gene_program"
"AKR1C3","greenyellow",0.436266539653704,TRUE,"81_gene_program"
"DDIT4","grey",0.567267537562164,TRUE,"81_gene_program"
"CA9","grey",0.478304041157044,TRUE,"81_gene_program"
"SLCO2A1","grey",-0.3498930209879,TRUE,"81_gene_program"
"AKR1C1","grey",-0.24844643295721,TRUE,"81_gene_program"
"PTGES","grey",0.239119215026265,TRUE,"81_gene_program"
"HSPA1L","grey",0.213965997906586,TRUE,"81_gene_program"
"CPS1","grey",0.209746062303516,TRUE,"81_gene_program"
"SIRT5","grey",-0.188065242292745,TRUE,"81_gene_program"
"DKK1","grey",0.166078657698775,TRUE,"81_gene_program"
"SQSTM1","grey",0.13084090704618,TRUE,"81_gene_program"
"CCL20","grey",-0.121471267066833,TRUE,"81_gene_program"
"C4BPA","grey",0.00743042369297025,TRUE,"81_gene_program"
"PLAC8","magenta",0.671583511485539,TRUE,"81_gene_program"
"PTGER4","magenta",0.618544854948977,TRUE,"81_gene_program_and_7_driver"
"PTGER2","magenta",0.538288452592888,TRUE,"81_gene_program"
"ATG5","purple",0.640652140172813,TRUE,"81_gene_program"
"NR1I2","red",0.502170970830354,TRUE,"81_gene_program"
"PPARA","red",0.378831690275623,TRUE,"81_gene_program"
"STAT3","salmon",0.584862023711573,TRUE,"81_gene_program_and_7_driver"
"TIMP2","turquoise",0.901822890502536,TRUE,"81_gene_program"
"MMP2","turquoise",0.837940777453298,TRUE,"81_gene_program"
"LUM","turquoise",0.798670129517579,TRUE,"81_gene_program"
"TNC","turquoise",0.747539264163545,TRUE,"81_gene_program"
"NR3C1","turquoise",0.742296756968024,TRUE,"81_gene_program"
"PTGER3","turquoise",0.736796509854519,TRUE,"81_gene_program"
"RGS2","turquoise",0.688438246280904,TRUE,"81_gene_program"
"DPT","turquoise",0.679077192887918,TRUE,"81_gene_program"
"ADAMTS1","turquoise",0.678671163715883,TRUE,"81_gene_program"
"TIMP1","turquoise",0.668938359260594,TRUE,"81_gene_program_and_7_driver"
"PTGS1","turquoise",0.548985677440958,TRUE,"81_gene_program"
"MMP9","turquoise",0.532895956473124,TRUE,"81_gene_program_and_7_driver"
"DUSP1","turquoise",0.511260708887623,TRUE,"81_gene_program"
"PTGS2","turquoise",0.312591025844505,TRUE,"81_gene_program"
"SIRT1","yellow",0.657764821171921,TRUE,"81_gene_program"
"PLA2G4A","yellow",0.366269918930118,TRUE,"81_gene_program"
"AHSG",NA,NA,FALSE,"81_gene_program"
"ATF4",NA,NA,FALSE,"81_gene_program"
"BECN1",NA,NA,FALSE,"81_gene_program"
"CADM3",NA,NA,FALSE,"81_gene_program"
"CASP14",NA,NA,FALSE,"81_gene_program"
"CGA",NA,NA,FALSE,"81_gene_program"
"CRP",NA,NA,FALSE,"81_gene_program"
"CYP11A1",NA,NA,FALSE,"81_gene_program"
"CYP2A6",NA,NA,FALSE,"81_gene_program"
"ESR1",NA,NA,FALSE,"81_gene_program"
"FLG",NA,NA,FALSE,"81_gene_program"
"GSTA2",NA,NA,FALSE,"81_gene_program"
"HSD3B2",NA,NA,FALSE,"81_gene_program"
"HSPA1A",NA,NA,FALSE,"81_gene_program"
"IGFBP1",NA,NA,FALSE,"81_gene_program"
"MAP1LC3B",NA,NA,FALSE,"81_gene_program"
"NEAT1",NA,NA,FALSE,"81_gene_program_and_7_driver"
"NR1I3",NA,NA,FALSE,"81_gene_program"
"OMD",NA,NA,FALSE,"81_gene_program"
"PARP10",NA,NA,FALSE,"81_gene_program"
"PGR",NA,NA,FALSE,"81_gene_program"
"PPARD",NA,NA,FALSE,"81_gene_program"
"PTGER1",NA,NA,FALSE,"81_gene_program"
"PTGES2",NA,NA,FALSE,"81_gene_program"
"PTGES3",NA,NA,FALSE,"81_gene_program_and_7_driver"
"PTGFR",NA,NA,FALSE,"81_gene_program"
"PTX3",NA,NA,FALSE,"81_gene_program"
"RELA",NA,NA,FALSE,"81_gene_program"
"RPS2",NA,NA,FALSE,"81_gene_program"
"RXRA",NA,NA,FALSE,"81_gene_program"
"RXRB",NA,NA,FALSE,"81_gene_program"
"SCGN",NA,NA,FALSE,"81_gene_program"
"SIRT2",NA,NA,FALSE,"81_gene_program"
"SIRT3",NA,NA,FALSE,"81_gene_program"
"SNHG25",NA,NA,FALSE,"81_gene_program"
"SNORA13",NA,NA,FALSE,"81_gene_program"
"SNORA65",NA,NA,FALSE,"81_gene_program"
"SPP2",NA,NA,FALSE,"81_gene_program"
"STAR",NA,NA,FALSE,"81_gene_program"
"SUSD2",NA,NA,FALSE,"81_gene_program"
