"","age_at_diagnosis","os_event","rfs_event","dataset_validation","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEred",-0.00747770342052985,-0.098395075179414,-0.062649587142656,0.00716461317318086,0.00183978706171583,0.0513411287378907,-0.0145962488667696,0.108138493826697,0.386836408396886,0.414600610836729,-0.372330084337095,0.132777249581181,0.0485327299613999,0.245946874598075,-0.138670497122389
"MEmidnightblue",-0.0199996414926088,-0.0610247632270121,-0.00855633624666107,-0.0543886181070718,-0.0254399600789105,-0.0989982033720462,0.0884747132796968,-0.157637735829883,0.081125770661031,0.202191803635405,-0.148283553339871,-0.21821249417194,-0.142877494061129,-0.208599153329043,-0.0781115568650874
"MEpink",0.0702054141177611,0.0103905808887491,0.0207668743549763,-0.0203323144708011,-0.0681907062845054,-0.143380450472955,0.0903212684582835,-0.336872870109312,-0.0216539531499947,-0.0510140609662179,0.0388049585122551,-0.31039267904454,-0.25312759226216,-0.169511335772501,-0.228774934315887
"MEpurple",0.100070395354813,-0.0182156007790637,-0.0301197825650727,-0.0332387092855721,-0.0258282410023256,0.00541809450322463,-0.0673955156801932,-0.0327343939242357,-0.021449342819443,-0.113614027485497,0.0343686621298506,0.113947045692911,-0.00380375845462539,0.126240348848908,-0.217568189609323
"MEcyan",-0.0425739202860586,-0.0131833747664875,-0.0432683610744455,-0.0617666702947189,-0.0375488493348611,-0.146687186498966,0.0990722104687386,-0.126459285091255,-0.108434651273281,-0.0995162773069707,-0.117671411941596,-0.138395783979961,-0.0846378293758015,-0.161758759333857,-0.234499677686205
"MEblue",0.0559384985942164,-0.0340718984264726,-0.0497001881514864,-0.0368886105881688,-0.0223213776504422,0.0448824570670101,-0.0543117085910529,0.0282201508524023,0.0578433799581148,-0.175661102210745,0.00849815343566128,0.153773484958739,0.0743404390849058,0.163623022913207,-0.182825817922192
"MEgreenyellow",0.0220590056739425,-0.0263448869273987,0.0205002133463661,-0.04157346510709,-0.0261647525688577,-0.26163014331869,0.203958122721009,-0.39239853433518,-0.119104449072482,-0.10138336164499,-0.126495018777612,-0.30665793291098,-0.308644803479031,-0.278031017630307,-0.371199219432493
"MElightgreen",0.0137057860258957,-0.0897010206320938,-0.0600635114466738,-0.0180229950613564,-0.0149010972984168,-0.032897674794848,0.209203818447325,-0.050948678996171,-0.0731639147575036,-0.157305640165831,-0.116157534588755,-0.0298479684564588,-0.0796364267853651,-0.100695506882312,-0.13202007340065
"MEmagenta",-0.0719302537767993,-0.0726876054750349,-0.00621651284139906,0.0125463283490441,-0.0367562323280582,-0.454287198568533,0.403951139926675,-0.527883089768073,-0.230524394075318,0.0462970742469555,-0.29261900288753,-0.472143453870064,-0.522286163027808,-0.48102244695224,-0.412457590797004
"MElightyellow",-0.0294939430904191,-0.0259330783877065,0.035105086150705,-0.0154846106259597,0.0511467159974408,-0.167115976907362,0.277839888233498,-0.188760138357412,-0.125310818001665,-0.149222927297409,-0.184053995404102,-0.172786197737483,-0.211968323299787,-0.263323545914658,-0.217974360096835
"MElightcyan",-0.0535817992917236,-0.0345219664538256,-0.0707785633698491,0.0190560226752196,0.0230625660467646,0.0746150002268764,-0.0479207844102274,0.108656774578934,0.015614569269556,0.262347050168678,0.0941142109217997,0.0973383323483306,0.0905841304814473,0.169116146552646,0.511688962402945
"MEturquoise",-0.058005001960392,0.0879654226666722,0.114170985824219,0.1215383194058,-0.00480809063904207,0.0797160493174846,-0.352187536798601,0.0589906153421204,-0.380031665667252,0.0638006921014779,0.617145620187969,0.113936969436809,0.0733881640096236,0.0357567380394816,0.634818767445348
"MEgreen",-0.0471389502786835,0.0113027952526894,-0.0187334471843885,0.0825464978868208,0.0329104023151058,0.243211216280862,-0.353227027353964,0.410564681565126,-0.187321346174169,0.0321172370999224,0.414549880693157,0.409717068468294,0.345965440343509,0.258518376971785,0.906489053534411
"MEgrey60",0.0391013063796246,-0.0578153607722119,-0.110748658366517,0.0101827282363963,0.0387100070627157,0.247919539911854,-0.257473475507362,0.441904305310286,-0.128625562316953,-0.0647593245331566,0.159649582856122,0.391874309916687,0.347326219622424,0.234494297055799,0.544644536698716
"MEtan",-0.011840305459872,-0.0978986593211077,-0.0818879570110954,0.0338781376214153,0.0856372409871503,0.306813593872843,-0.139203937974881,0.541971822264239,0.205479706330474,-0.095466012802295,-0.100006231134855,0.552702583069172,0.371897762802925,0.473199521571923,0.149832539480216
"MEblack",-0.0352838703046454,0.0355878076167827,-0.0241666968496998,-0.0167403262022853,-0.0290809442440903,0.0207027603608607,0.0481903691078501,0.0874065902796708,0.0228453444405782,-0.105872771459513,-0.0817178519099288,0.0643248071664582,0.0699581633871131,0.0217570752167703,-0.0128579343849339
"MEsalmon",-0.0741830731188314,-0.0143557008885409,-0.0761117801180425,0.0615779630293544,0.0358977476846982,0.126144635576624,0.0087706292078556,0.361170325252978,-0.000625482780603055,-0.135388140155769,-0.129435414836395,0.353576769732277,0.202188102596367,0.154421609047508,0.138392961025773
"MEbrown",0.00193823968792224,-0.105417032480776,-0.145160784639084,-0.0388393950732918,0.0412768187140998,0.0410472711428504,0.127209177984164,0.210286885080155,0.0379120648962116,-0.311304602475608,-0.246726558525826,0.265047885781058,0.125262474890397,0.146823988606661,-0.284169165808107
"MEyellow",-0.023130459662353,-0.130364223870106,-0.117138047691519,0.0125500833273939,0.0758515214477627,0.0223463345295228,0.170379091852288,0.229955846814603,-0.0032628703928364,-0.202806678797515,-0.281111464208014,0.244498410415918,0.0776561965731146,0.0857525227853301,-0.160882993698897
