"module","module_gene_n","target_gene_n","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_module","driver_enrichment_p","driver_enrichment_fdr"
"turquoise",1274,14,0.000342715350953146,0.00753973772096922,2,0.124727406973884,1
"grey",1213,12,0.0026193861818042,NA,0,1,NA
"greenyellow",316,3,0.138881671228041,1,0,1,1
"magenta",490,3,0.325741718120154,1,1,0.222178038892084,1
"salmon",267,1,0.671045336295903,1,1,0.126582881724602,1
"black",586,2,0.701914737643284,1,1,0.260660469041406,1
"red",621,2,0.732494757112536,1,0,1,1
"yellow",673,2,0.773139090326499,1,0,1,1
"purple",455,1,0.85239164466218,1,0,1,1
"blue",1066,1,0.990258575814224,1,0,1,1
"brown",815,0,1,1,0,1,1
"cyan",174,0,1,1,0,1,1
"darkgreen",50,0,1,1,0,1,1
"darkred",52,0,1,1,0,1,1
"green",628,0,1,1,0,1,1
"grey60",93,0,1,1,0,1,1
"lightcyan",111,0,1,1,0,1,1
"lightgreen",67,0,1,1,0,1,1
"lightyellow",55,0,1,1,0,1,1
"midnightblue",173,0,1,1,0,1,1
"pink",500,0,1,1,0,1,1
"royalblue",54,0,1,1,0,1,1
"tan",267,0,1,1,0,1,1
