"module","module_gene_n","target_gene_n","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_module","driver_enrichment_p","driver_enrichment_fdr"
"turquoise",1289,13,0.00136834086525837,0.025998476439909,1,0.498494403592959,1
"red",643,6,0.0454643662186129,0.431911479076822,1,0.282778509631966,1
"grey",1508,10,0.0792815822643392,NA,0,1,NA
"green",696,4,0.318603127849405,1,2,0.0420035148104827,0.798066781399171
"cyan",132,1,0.420681888395158,1,0,1,1
"salmon",177,1,0.519861579565283,1,1,0.0854385478762526,0.8116662048244
"tan",181,1,0.527828896559034,1,0,1,1
"pink",563,2,0.680339888163154,1,0,1,1
"magenta",560,1,0.906301359506854,1,0,1,1
"blue",1046,2,0.937943724161332,1,0,1,1
"black",585,0,1,1,0,1,1
"brown",911,0,1,1,0,1,1
"greenyellow",311,0,1,1,0,1,1
"grey60",59,0,1,1,0,1,1
"lightcyan",67,0,1,1,0,1,1
"lightgreen",59,0,1,1,0,1,1
"lightyellow",55,0,1,1,0,1,1
"midnightblue",74,0,1,1,0,1,1
"purple",353,0,1,1,0,1,1
"yellow",731,0,1,1,0,1,1
