"gene_symbol","module","kME_own","kME_green","kME_yellow","kME_purple","kME_blue","kME_lightcyan","kME_pink","kME_tan","kME_red","kME_cyan","kME_grey60","kME_magenta","kME_greenyellow","kME_salmon","kME_darkgreen","kME_lightgreen","kME_turquoise","kME_black","kME_lightyellow","kME_royalblue","kME_darkred","kME_midnightblue","kME_brown","kME_grey"
"HCLS1","black",0.929211976771054,0.0810215480133442,0.140316375321454,-0.17500903087648,-0.16210343253245,-0.135596504268323,-0.198953043323206,-0.114601411320311,-0.413395726660918,-0.228809276458947,-0.285781444625576,-0.0114114911481528,-0.101017982475668,0.20305427142166,0.45375222908246,0.613894648736152,0.64029388472931,0.929211976771054,0.539846914608176,-0.216972092566021,-0.110740466993059,-0.104243628534479,-0.0949869539157973,0.122268415038424
"CD53","black",0.927236981151611,0.128688974345379,0.113691547501332,-0.181707500284354,-0.139803605521064,-0.100488838656449,-0.234358883288804,-0.156319530077218,-0.421985568715907,-0.212412424228194,-0.251348276090799,-0.0753591037244793,-0.155091043603546,0.145307650007473,0.385187176044628,0.552912655235873,0.592686881140148,0.927236981151611,0.561538576323819,-0.145434458579153,-0.104416108565937,-0.205962018004156,-0.127612925677837,0.170095970131983
"ARHGAP30","black",0.924190591339316,0.0136012394839125,0.0569896235306657,-0.263983517259169,-0.228262354018436,-0.206466686274466,-0.193846760750897,-0.151655338618894,-0.43113641124965,-0.291432716900415,-0.331761503547638,0.0082319581558536,-0.0836421501206215,0.21192046497154,0.467173173457809,0.623475442129387,0.551137070633564,0.924190591339316,0.573919480547212,-0.174077236556494,-0.124248471905089,-0.0444713167879842,-0.0788722306185257,0.15088381201231
"SLA","black",0.919039752306837,0.0272147011450561,0.0845947741038813,-0.20975924655608,-0.17760426172422,-0.151910058043366,-0.197950047412603,-0.126319314977828,-0.428905895966802,-0.247441194950025,-0.290749445835675,-0.0751722640169417,-0.156896401913075,0.164909627511576,0.413983969377496,0.536555959790162,0.595395365387386,0.919039752306837,0.559463120062168,-0.211210432259802,-0.122583541286885,-0.115249673639471,-0.102754082775785,0.166789267016922
"IL10RA","black",0.912629920654008,0.00240553112967571,0.114527251129154,-0.20385803109346,-0.205033253912795,-0.157325362474067,-0.168086081030918,-0.0939762718534006,-0.427935327932005,-0.254330011270365,-0.296008601115132,-0.0126309020699097,-0.0869210326916968,0.169137931584707,0.453479747898512,0.621025626337799,0.593880860258789,0.912629920654008,0.557220818858577,-0.186839143913887,-0.118042258228099,-0.0791122677176778,-0.11868573344458,0.119818175254936
"LAIR1","black",0.905261254763501,0.0713276513616796,0.0552710270680664,-0.22951313591137,-0.179391522155961,-0.151717099492797,-0.221644031792496,-0.152090062375028,-0.418526490709678,-0.248839388179212,-0.280916568597194,-0.107054853593016,-0.226986172838329,0.178905394773272,0.386754069657191,0.409473657141105,0.634666572862032,0.905261254763501,0.554658477546297,-0.215286339921716,-0.108906148809259,-0.0660038973575796,-0.0629851437504216,0.1918876178041
"DOCK2","black",0.90375834824256,0.0706835692096753,0.09853483476701,-0.209867988575902,-0.230782700349296,-0.145714669383021,-0.211947378794216,-0.153024325454021,-0.420354971267478,-0.236476365941368,-0.285866415003558,-0.0410424320541965,-0.0747118293928829,0.101741587974148,0.394772552541228,0.62373224389745,0.587379357641742,0.90375834824256,0.52040706307094,-0.113684017583762,-0.151013157789126,-0.191354291691041,-0.2010371278041,0.0586584329009587
"CD86","black",0.902349948155939,0.233335296822291,0.224957170702863,-0.0466318914050691,0.0265936622764643,-0.0172447806758917,-0.191108703861647,-0.0804370980673989,-0.409557339593029,-0.150183635855858,-0.149273833904189,-0.129142050832777,-0.233716671447967,0.226679385630676,0.356711417094716,0.419550762328173,0.603374811115039,0.902349948155939,0.593227790622203,-0.325914343595592,-0.0449852343912812,-0.225842935722376,-0.04141333733226,0.20981264591146
"APBB1IP","black",0.896418382773843,-0.0148000837405974,0.0477693255155828,-0.239330314935517,-0.268443914241026,-0.18713296671573,-0.170586082381654,-0.104178564858648,-0.400808940421127,-0.253857343045938,-0.314377147611839,-0.0723453566058439,-0.122775873461187,0.104938848784706,0.408609758268759,0.554207335287804,0.61245064912773,0.896418382773843,0.522409635818676,-0.0948481298449559,-0.148148188787386,-0.0521441522046243,-0.148127793519061,0.104988516892854
"AIF1","black",0.896200375263433,0.0464954797366893,0.0301577165453987,-0.242015827080633,-0.218677774306873,-0.121242097720084,-0.242304544780848,-0.232375224138827,-0.374649480343622,-0.229708426439884,-0.280961279867193,-0.116727994875402,-0.148912282673746,0.118885376133517,0.352137911796896,0.536260724171982,0.60457994871647,0.896200375263433,0.479629922943757,-0.0962970721699905,-0.103719377808367,-0.168200321996219,-0.135795190411934,0.0883109325669016
"FCER1G","black",0.894534980806114,0.167392339721096,0.0793320525404438,-0.176296713434699,-0.0328033989060143,-0.0869190324135829,-0.305537427338419,-0.181366356211418,-0.370354785671966,-0.212235228434868,-0.215915386542704,-0.125433964705222,-0.264316333866171,0.281605439918683,0.373576261994389,0.38029700947731,0.628318515301048,0.894534980806114,0.571244105472621,-0.235336320658677,-0.0270865893577737,-0.0708247569689539,0.0670817906196616,0.275101105757678
"SLAMF8","black",0.893524162705236,-0.0280439032754086,0.0029440386637892,-0.201165389088903,-0.0713882247014342,-0.113890452193706,-0.216529246134125,-0.130022943653731,-0.3528333470509,-0.207680167431774,-0.245334231609316,-0.196593743818052,-0.350108637175561,0.182309830686635,0.306075339166467,0.362003377166599,0.652348932295546,0.893524162705236,0.612475102376572,-0.154795598263883,-0.0438277115860026,0.0581622936495739,0.0778292473284139,0.329837230190609
"TYROBP","black",0.89102505549051,0.0457151377153974,-0.00820061308436201,-0.265627097910529,-0.198695980455076,-0.141950660279955,-0.283818185162644,-0.232944654699348,-0.3712783018256,-0.241699543163799,-0.28970522743448,-0.141140740743054,-0.223292258006,0.152196104667171,0.360059375000394,0.408085708338911,0.668576506434941,0.89102505549051,0.525980461591162,-0.0923317050327022,-0.0904880753340461,-0.0847941681616784,-0.0480248473648545,0.191015848578487
"HCK","black",0.888294603082654,0.0327253087931522,-0.00108496129880013,-0.272940982888829,-0.171321649584215,-0.199586702497344,-0.286238513134409,-0.229014392232482,-0.39458734941126,-0.272725206085707,-0.288478332607037,-0.0908665155143284,-0.226367569073975,0.18672442572359,0.367130677785672,0.460460718794704,0.625316065597003,0.888294603082654,0.514764476245518,-0.105841683138875,-0.0882791977184884,-0.0422344962072572,-0.0179479446610963,0.26444478037495
