"analysis","module","module_gene_n","target_gene_n_in_input","target_gene_n_in_module","target_enrichment_OR","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_input","driver_gene_n_in_module","driver_enrichment_fdr","driver_enrichment_p"
"tumor_only","turquoise",1289,41,13,3.15888484250012,0.00136834086525837,0.025998476439909,5,1,1,0.498494403592959
"tumor_only","red",643,41,6,2.50837229871635,0.0454643662186129,0.431911479076822,5,1,1,0.282778509631966
"tumor_only","grey",1508,41,10,1.821864119487,0.0792815822643392,NA,5,0,NA,1
"tumor_only","green",696,41,4,1.44766586021826,0.318603127849405,1,5,2,0.798066781399171,0.0420035148104827
"tumor_only","cyan",132,41,1,1.87544371768193,0.420681888395158,1,5,0,1,1
"tumor_only","salmon",177,41,1,1.3895529279656,0.519861579565283,1,5,1,0.8116662048244,0.0854385478762526
"tumor_only","tan",181,41,1,1.35814422608083,0.527828896559034,1,5,0,1,1
"tumor_only","pink",563,41,2,0.859097772084335,0.680339888163154,1,5,0,1,1
"tumor_only","magenta",560,41,1,0.420418793539181,0.906301359506854,1,5,0,1,1
"tumor_only","blue",1046,41,2,0.437937365591465,0.937943724161332,1,5,0,1,1
"tumor_only","black",585,41,0,0,1,1,5,0,1,1
"tumor_only","brown",911,41,0,0,1,1,5,0,1,1
"tumor_only","greenyellow",311,41,0,0,1,1,5,0,1,1
"tumor_only","grey60",59,41,0,0,1,1,5,0,1,1
"tumor_only","lightcyan",67,41,0,0,1,1,5,0,1,1
"tumor_only","lightgreen",59,41,0,0,1,1,5,0,1,1
"tumor_only","lightyellow",55,41,0,0,1,1,5,0,1,1
"tumor_only","midnightblue",74,41,0,0,1,1,5,0,1,1
"tumor_only","purple",353,41,0,0,1,1,5,0,1,1
"tumor_only","yellow",731,41,0,0,1,1,5,0,1,1
