family_id,theme_id,theme_label,gene_symbol,representative_term_count,fraction_of_family_representatives,family_top_driver,global_cleaned_term_count,global_driver_rank
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,SIRT1,8,0.7272727272727273,True,31,4
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARD,7,0.6363636363636364,False,35,1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS2,7,0.6363636363636364,False,32,3
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2,6,0.5454545454545454,False,13,13
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1,6,0.5454545454545454,False,12,15
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP3A4,6,0.5454545454545454,False,10,17
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARG,5,0.45454545454545453,False,32,2
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CRP,3,0.2727272727272727,False,11,16
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,STAT3,2,0.18181818181818182,False,20,9
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,RELA,1,0.09090909090909091,False,25,5
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,ESR1,1,0.09090909090909091,False,24,6
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,MMP9,1,0.09090909090909091,False,24,7
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,MMP2,1,0.09090909090909091,False,23,8
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,BECN1,1,0.09090909090909091,False,20,10
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,DKK1,1,0.09090909090909091,False,13,12
family_02,inflammation_defense,Inflammation / defense / stimulus response,PPARD,4,1.0,True,35,1
family_02,inflammation_defense,Inflammation / defense / stimulus response,PPARG,4,1.0,True,32,2
family_02,inflammation_defense,Inflammation / defense / stimulus response,PTGS2,4,1.0,True,32,3
family_02,inflammation_defense,Inflammation / defense / stimulus response,RELA,4,1.0,True,25,5
