term_id,term_name,global_fdr,intersection_size,intersection_genes,go_depth,term_theme_id,term_theme_label,status,representative_term_id,fold_reason,gene_jaccard_to_representative
GO:0001516,prostaglandin biosynthetic process,0.01804116983302586,3,PTGS1;PTGS2;SIRT1,23,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0001516,,
GO:0001666,response to hypoxia,0.020329567669730736,7,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1,6,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,retained_representative,GO:0001666,,
GO:0001676,long-chain fatty acid metabolic process,0.020329567669730736,4,CYP1A2;CYP3A4;PTGS1;PTGS2,10,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0001676,,
GO:0003013,circulatory system process,0.025618847845572085,6,CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2,3,development_reproduction,Development / reproduction / circulation,folded,GO:0008015,ancestor-descendant redundancy,1.000000
GO:0006082,organic acid metabolic process,0.005849796511218857,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3,0,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0006082,,
GO:0006629,lipid metabolic process,0.0029677134277770645,9,BECN1;CYP1A2;CYP3A4;ESR1;PPARD;PPARG;PTGS1;PTGS2;SIRT1,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0008610,ancestor-descendant redundancy,0.777778
GO:0006631,fatty acid metabolic process,0.001982446792593204,7,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1,9,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001676,ancestor-descendant redundancy,0.571429
GO:0006633,fatty acid biosynthetic process,0.005849796511218857,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1,15,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,0.600000
GO:0006636,unsaturated fatty acid biosynthetic process,0.026253202802905256,3,PTGS1;PTGS2;SIRT1,17,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,1.000000
GO:0006690,icosanoid metabolic process,0.028606256739203573,4,CYP1A2;PTGS1;PTGS2;SIRT1,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,0.750000
GO:0006692,prostanoid metabolic process,0.040022080267862956,3,PTGS1;PTGS2;SIRT1,12,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,1.000000
GO:0006693,prostaglandin metabolic process,0.040022080267862956,3,PTGS1;PTGS2;SIRT1,13,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,1.000000
GO:0006915,apoptotic process,0.02933133489791236,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,4,apoptosis_cell_death,Apoptosis / programmed cell death,retained_representative,GO:0006915,,
GO:0006950,response to stress,0.00752390252693529,15,BECN1;CRP;CXCR4;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,2,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0006954,ancestor-descendant redundancy,0.733333
GO:0006952,defense response,0.0006036566795846424,12,BECN1;CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1,3,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0006954,ancestor-descendant redundancy,0.916667
GO:0006954,inflammatory response,0.000246249980700841,11,CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1,4,inflammation_defense,Inflammation / defense / stimulus response,retained_representative,GO:0006954,,
GO:0007275,multicellular organism development,0.025618847845572085,14,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,4,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0007275,,
GO:0007565,female pregnancy,0.0059639120599296585,6,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1,5,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0007565,,
GO:0007566,embryo implantation,0.004696542460027737,5,MMP2;MMP9;PPARD;PTGS2;TIMP1,2,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0007566,,
GO:0008015,blood circulation,0.01590157939375247,6,CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2,4,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0008015,,
GO:0008202,steroid metabolic process,0.026253202802905256,5,CYP1A2;CYP3A4;ESR1;PPARD;SIRT1,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0008203,ancestor-descendant redundancy,0.600000
GO:0008203,cholesterol metabolic process,0.040022080267862956,3,CYP1A2;CYP3A4;PPARD,10,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0008203,,
