gene_symbol,protein_name,max_evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,supporting_ids,audit_note
TSLP,thymic stromal lymphopoietin,A,"A,B",experimental_or_curated,2,CTD; Literature,3,no,yes,CTD:C012125; PMID:20064775; PMID:27863430; PMID:28240277 | PMID:27863430; DOI:10.18632/oncotarget.13403 | PMID:32240662; DOI:10.1016/j.taap.2020.114981,"See master evidence_note for species, co-treatment and assay caveats."
ATF4,activating transcription factor 4,A,A,experimental_or_curated,1,Literature,1,no,no,PMID:37976928; DOI:10.1016/j.ecoenv.2023.115686,"See master evidence_note for species, co-treatment and assay caveats."
IL33,interleukin 33,A,A,experimental_or_curated,1,Literature,1,no,no,PMID:32240662; DOI:10.1016/j.taap.2020.114981,"See master evidence_note for species, co-treatment and assay caveats."
TXN,thioredoxin,A,A,experimental_or_curated,1,Literature,1,no,no,PMID:40238463; DOI:10.1080/00498254.2025.2493619,"See master evidence_note for species, co-treatment and assay caveats."
TXNRD2,thioredoxin reductase 2,A,A,experimental_or_curated,1,Literature,1,no,no,PMID:40238463; DOI:10.1080/00498254.2025.2493619,"See master evidence_note for species, co-treatment and assay caveats."
ACAA2,acetyl-CoA acyltransferase 2,B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,CTD:C012125; PMID:37810885 | GSE40342; PMID:25475144; GPL1355; probe:1386880_at,"See master evidence_note for species, co-treatment and assay caveats."
ACOX1,acyl-CoA oxidase 1,B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,CTD:C012125; PMID:22112501 | GSE40342; PMID:25475144; GPL1355; probe:1367680_at,"See master evidence_note for species, co-treatment and assay caveats."
ACSL1,acyl-CoA synthetase long chain family member 1,B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,CTD:C012125; PMID:31546122 | GSE40342; PMID:25475144; GPL1355; probe:1370939_at,"See master evidence_note for species, co-treatment and assay caveats."
AQP7,aquaporin 7,B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,CTD:C012125; PMID:31546122 | GSE40342; PMID:25475144; GPL1355; probe:1368317_at,"See master evidence_note for species, co-treatment and assay caveats."
PPARD,peroxisome proliferator activated receptor delta,B,"B,C",experimental_or_curated_plus_prediction,2,CTD; T3DB,4,yes,yes,CTD:C012125; PMID:23843199 | CTD:C012125; PMID:30600365 | CTD:C012125; PMID:31577137 | T3D3648; UniProt:Q03181; PMID:23843199; DOI:10.1002/jat.2902,"See master evidence_note for species, co-treatment and assay caveats."
RXRA,retinoid X receptor alpha,B,"B,C",experimental_or_curated_plus_prediction,2,CTD; T3DB,3,yes,yes,CTD:C012125; PMID:23843199 | CTD:C012125; PMID:29410257 | T3D3648; UniProt:P19793; PMID:23843199; DOI:10.1002/jat.2902,"See master evidence_note for species, co-treatment and assay caveats."
STEAP4,STEAP4 metalloreductase,B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,CTD:C012125; PMID:31546122 | GSE40342; PMID:25475144; GPL1355; probe:1385397_at,"See master evidence_note for species, co-treatment and assay caveats."
THRB,thyroid hormone receptor beta,B,B,experimental_or_curated,2,CTD; ChEMBL/PubChem BioAssay,2,no,yes,CHEMBL1905899; CHEMBL1794561; CHEMBL1201862; PubChem AID:588545; activity:6962318 | CTD:C012125; PMID:33677245,"See master evidence_note for species, co-treatment and assay caveats."
ABHD12,"abhydrolase domain containing 12, lysophospholipase",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
ABHD6,"abhydrolase domain containing 6, acylglycerol lipase",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:29933238,"See master evidence_note for species, co-treatment and assay caveats."
ACACA,acetyl-CoA carboxylase alpha,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31577137,"See master evidence_note for species, co-treatment and assay caveats."
ACAT1,acetyl-CoA acetyltransferase 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1367763_at,"See master evidence_note for species, co-treatment and assay caveats."
ACE,angiotensin I converting enzyme,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30940551,"See master evidence_note for species, co-treatment and assay caveats."
ACLY,ATP citrate lyase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
ACMSD,aminocarboxymuconate semialdehyde decarboxylase,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1370147_at,"See master evidence_note for species, co-treatment and assay caveats."
ACOT1,acyl-CoA thioesterase 1,B,B,experimental_or_curated,1,GEO,2,no,no,GSE40342; PMID:25475144; GPL1355; probe:1388211_s_at | GSE40342; PMID:25475144; GPL1355; probe:1398250_at,"See master evidence_note for species, co-treatment and assay caveats."
ACOT2,acyl-CoA thioesterase 2,B,B,experimental_or_curated,1,GEO,2,no,no,GSE40342; PMID:25475144; GPL1355; probe:1388211_s_at | GSE40342; PMID:25475144; GPL1355; probe:1391433_at,"See master evidence_note for species, co-treatment and assay caveats."
ACOT4,acyl-CoA thioesterase 4,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1377037_at,"See master evidence_note for species, co-treatment and assay caveats."
ACOT8,acyl-CoA thioesterase 8,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1368206_at,"See master evidence_note for species, co-treatment and assay caveats."
ACP3,acid phosphatase 3,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1368789_at,"See master evidence_note for species, co-treatment and assay caveats."
ACSL4,acyl-CoA synthetase long chain family member 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
ACSM3,acyl-CoA synthetase medium chain family member 3,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1383303_at,"See master evidence_note for species, co-treatment and assay caveats."
ACSM5,acyl-CoA synthetase medium chain family member 5,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
ACTA1,"actin alpha 1, skeletal muscle",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
ACTN3,actinin alpha 3,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
ADIG,adipogenin,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
ADIPOQ,"adiponectin, C1Q and collagen domain containing",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:29933238,"See master evidence_note for species, co-treatment and assay caveats."
AGTR1,angiotensin II receptor type 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30940551,"See master evidence_note for species, co-treatment and assay caveats."
AIG1,androgen induced 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1375845_at,"See master evidence_note for species, co-treatment and assay caveats."
AK1,adenylate kinase 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
AKT1,AKT serine/threonine kinase 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:38016509,"See master evidence_note for species, co-treatment and assay caveats."
ALOX5,arachidonate 5-lipoxygenase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31230093,"See master evidence_note for species, co-treatment and assay caveats."
ANGPT2,angiopoietin 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
ANGPTL4,angiopoietin like 4,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1388924_at,"See master evidence_note for species, co-treatment and assay caveats."
AOC3,amine oxidase copper containing 3,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1370725_a_at,"See master evidence_note for species, co-treatment and assay caveats."
APOC3,apolipoprotein C3,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
AR,androgen receptor,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:14565775; PMID:25349334; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
ART3,ADP-ribosyltransferase 3 (inactive),B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
ASPH,aspartate beta-hydroxylase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
ATG5,autophagy related 5,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37976928,"See master evidence_note for species, co-treatment and assay caveats."
ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)",B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1398373_at,"See master evidence_note for species, co-treatment and assay caveats."
BECN1,beclin 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37976928,"See master evidence_note for species, co-treatment and assay caveats."
BMP2,bone morphogenetic protein 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1390358_at,"See master evidence_note for species, co-treatment and assay caveats."
CASQ1,calsequestrin 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
CAT,catalase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31230093,"See master evidence_note for species, co-treatment and assay caveats."
CCL11,C-C motif chemokine ligand 11,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
CCL17,C-C motif chemokine ligand 17,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
CCL22,C-C motif chemokine ligand 22,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
CCL24,C-C motif chemokine ligand 24,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
CCN2,cellular communication network factor 2,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1367631_at,"See master evidence_note for species, co-treatment and assay caveats."
CCR7,C-C motif chemokine receptor 7,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
CD36,CD36 molecule (CD36 blood group),B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
CD80,CD80 molecule,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
CD86,CD86 molecule,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
CDC42EP2,CDC42 effector protein 2,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1389145_at,"See master evidence_note for species, co-treatment and assay caveats."
CEBPG,CCAAT enhancer binding protein gamma,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
CFL2,cofilin 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
CGA,"glycoprotein hormones, alpha polypeptide",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37812459,"See master evidence_note for species, co-treatment and assay caveats."
CLIP4,CAP-Gly domain containing linker protein family member 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
CMYA5,cardiomyopathy associated 5,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
CNR1,cannabinoid receptor 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:29933238; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
CNR2,cannabinoid receptor 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
COPS5,COP9 signalosome subunit 5,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37810885,"See master evidence_note for species, co-treatment and assay caveats."
COX8BP,"cytochrome c oxidase subunit 8B, pseudogene",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
CPT2,carnitine palmitoyltransferase 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
CRAT,carnitine O-acetyltransferase,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1371886_at,"See master evidence_note for species, co-treatment and assay caveats."
CREB3L3,cAMP responsive element binding protein 3 like 3,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1391483_at,"See master evidence_note for species, co-treatment and assay caveats."
CS,citrate synthase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
CXCR4,C-X-C motif chemokine receptor 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
CYP11A1,cytochrome P450 family 11 subfamily A member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:21633115; PMID:22112501; PMID:25445723; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
CYP11B1,cytochrome P450 family 11 subfamily B member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:22112501,"See master evidence_note for species, co-treatment and assay caveats."
CYP11B2,cytochrome P450 family 11 subfamily B member 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:22112501,"See master evidence_note for species, co-treatment and assay caveats."
CYP17A1,cytochrome P450 family 17 subfamily A member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:22112501; PMID:25445723,"See master evidence_note for species, co-treatment and assay caveats."
CYP4A11,cytochrome P450 family 4 subfamily A member 11,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1394844_s_at,"See master evidence_note for species, co-treatment and assay caveats."
CYP51A1,cytochrome P450 family 51 subfamily A member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
DAGLA,diacylglycerol lipase alpha,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
DECR2,"2,4-dienoyl-CoA reductase 2",B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1370818_at,"See master evidence_note for species, co-treatment and assay caveats."
DES,desmin,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
DHCR7,7-dehydrocholesterol reductase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:22112501; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
DNAJC9,DnaJ heat shock protein family (Hsp40) member C9,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
DUSP1,dual specificity phosphatase 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:32998617,"See master evidence_note for species, co-treatment and assay caveats."
EBP,EBP cholestenol delta-isomerase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
ECH1,enoyl-CoA hydratase 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1386885_at,"See master evidence_note for species, co-treatment and assay caveats."
ECI1,enoyl-CoA delta isomerase 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1367659_s_at,"See master evidence_note for species, co-treatment and assay caveats."
ECI2,enoyl-CoA delta isomerase 2,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1388908_at,"See master evidence_note for species, co-treatment and assay caveats."
EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1368283_at,"See master evidence_note for species, co-treatment and assay caveats."
ELOVL2,ELOVL fatty acid elongase 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31577137,"See master evidence_note for species, co-treatment and assay caveats."
ELOVL6,ELOVL fatty acid elongase 6,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31577137,"See master evidence_note for species, co-treatment and assay caveats."
ENO3,enolase 3,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
EPAS1,endothelial PAS domain protein 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
ESR1,estrogen receptor 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:28571686,"See master evidence_note for species, co-treatment and assay caveats."
FAAH,fatty acid amide hydrolase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
FABP1,fatty acid binding protein 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1369111_at,"See master evidence_note for species, co-treatment and assay caveats."
FABP3,fatty acid binding protein 3,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
FADS2,fatty acid desaturase 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31577137,"See master evidence_note for species, co-treatment and assay caveats."
FAS,Fas cell surface death receptor,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31577137,"See master evidence_note for species, co-treatment and assay caveats."
FBXO40,F-box protein 40,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
FDPS,farnesyl diphosphate synthase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
FFAR2,free fatty acid receptor 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
FHL1,four and a half LIM domains 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
FLNC,filamin C,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
FMO3,flavin containing dimethylaniline monoxygenase 3,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1368304_at,"See master evidence_note for species, co-treatment and assay caveats."
FNDC5,fibronectin type III domain containing 5,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
FSHB,follicle stimulating hormone subunit beta,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:41712757,"See master evidence_note for species, co-treatment and assay caveats."
G0S2,G0/G1 switch 2,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1388395_at,"See master evidence_note for species, co-treatment and assay caveats."
G6PC1,glucose-6-phosphatase catalytic subunit 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1370725_a_at,"See master evidence_note for species, co-treatment and assay caveats."
G6PD,glucose-6-phosphate dehydrogenase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31230093,"See master evidence_note for species, co-treatment and assay caveats."
GCM1,GCM transcription factor 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
GJB2,gap junction protein beta 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
GPAM,"glycerol-3-phosphate acyltransferase, mitochondrial",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:29933238,"See master evidence_note for species, co-treatment and assay caveats."
GPD1,glycerol-3-phosphate dehydrogenase 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1371363_at,"See master evidence_note for species, co-treatment and assay caveats."
GPD2,glycerol-3-phosphate dehydrogenase 2,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1387670_at,"See master evidence_note for species, co-treatment and assay caveats."
GPX1,glutathione peroxidase 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31230093,"See master evidence_note for species, co-treatment and assay caveats."
GRN,granulin precursor,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:16493179,"See master evidence_note for species, co-treatment and assay caveats."
GSR,glutathione-disulfide reductase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31230093,"See master evidence_note for species, co-treatment and assay caveats."
GUCY2C,guanylate cyclase 2C,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1369162_at,"See master evidence_note for species, co-treatment and assay caveats."
HACL1,2-hydroxyacyl-CoA lyase 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1371012_at,"See master evidence_note for species, co-treatment and assay caveats."
HAND2,heart and neural crest derivatives expressed 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:25445723,"See master evidence_note for species, co-treatment and assay caveats."
HSD3B1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:25445723,"See master evidence_note for species, co-treatment and assay caveats."
HSDL2,hydroxysteroid dehydrogenase like 2,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1384244_at,"See master evidence_note for species, co-treatment and assay caveats."
HSPA9,heat shock protein family A (Hsp70) member 9,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31230093,"See master evidence_note for species, co-treatment and assay caveats."
HSPB6,heat shock protein family B (small) member 6,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
HSPB7,heat shock protein family B (small) member 7,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
IDH3G,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37810885,"See master evidence_note for species, co-treatment and assay caveats."
IFNG,interferon gamma,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775,"See master evidence_note for species, co-treatment and assay caveats."
IL13,interleukin 13,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:28240277,"See master evidence_note for species, co-treatment and assay caveats."
IL18,interleukin 18,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:41712757,"See master evidence_note for species, co-treatment and assay caveats."
IL1A,interleukin 1 alpha,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31230093,"See master evidence_note for species, co-treatment and assay caveats."
IL1B,interleukin 1 beta,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:41712757,"See master evidence_note for species, co-treatment and assay caveats."
IL4,interleukin 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:20064775; PMID:27863430,"See master evidence_note for species, co-treatment and assay caveats."
IL5,interleukin 5,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:27863430,"See master evidence_note for species, co-treatment and assay caveats."
IL6,interleukin 6,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:28240277,"See master evidence_note for species, co-treatment and assay caveats."
ING5,inhibitor of growth family member 5,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37810885,"See master evidence_note for species, co-treatment and assay caveats."
INHBA,inhibin subunit beta A,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:22112501,"See master evidence_note for species, co-treatment and assay caveats."
INHBB,inhibin subunit beta B,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
