gene_symbol,protein_name,max_evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,supporting_ids,audit_note
OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
ORM2,orosomucoid 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
OTUD1,OTU deubiquitinase 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1384254_at,"See master evidence_note for species, co-treatment and assay caveats."
PANK1,pantothenate kinase 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1382924_at,"See master evidence_note for species, co-treatment and assay caveats."
PCK1,phosphoenolpyruvate carboxykinase 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
PCTP,phosphatidylcholine transfer protein,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1387058_at,"See master evidence_note for species, co-treatment and assay caveats."
PDK4,pyruvate dehydrogenase kinase 4,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1378074_at,"See master evidence_note for species, co-treatment and assay caveats."
PEX11A,peroxisomal biogenesis factor 11 alpha,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
PFKM,"phosphofructokinase, muscle",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
PGAM2,phosphoglycerate mutase 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
PGR,progesterone receptor,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:16183386; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
PID1,phosphotyrosine interaction domain containing 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
PLAC8,placenta associated 8,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
