analysis_category,category,term,description,number_of_genes,number_of_genes_in_background,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,significant_fdr_lt_0_05
GO_CC,Component,GO:0005886,Plasma membrane,43,5544,"['9606.ENSP00000053867', '9606.ENSP00000075120', '9606.ENSP00000219070', '9606.ENSP00000221130', '9606.ENSP00000241052', '9606.ENSP00000246657', '9606.ENSP00000261170', '9606.ENSP00000263339', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000297494', '9606.ENSP00000304592', '9606.ENSP00000304915', '9606.ENSP00000314897', '9606.ENSP00000323036', '9606.ENSP00000330393', '9606.ENSP00000332049', '9606.ENSP00000336790', '9606.ENSP00000339787', '9606.ENSP00000348838', '9606.ENSP00000351022', '9606.ENSP00000352608', '9606.ENSP00000356954', '9606.ENSP00000358513', '9606.ENSP00000360293', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000372295', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000494061', '9606.ENSP00000498466']","['GRN', 'SLC2A3', 'MMP2', 'GSR', 'CAT', 'CCR7', 'GUCY2C', 'IL1A', 'CD80', 'STAT3', 'WNT4', 'ACE', 'NOS3', 'FASN', 'IL13', 'ANGPT2', 'ACPP', 'LEPR', 'CD86', 'ATF4', 'ACSL4', 'UBE2C', 'TPM1', 'RYR1', 'CCN2', 'CNR1', 'SORBS1', 'AR', 'BMP2', 'GJB2', 'G6PD', 'NFE2L2', 'IL6', 'CXCR4', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'SLC2A1', 'AKT1', 'LDLR', 'MUC2', 'FAS']",0.00038,0.019,0.00038,0.019,True
GO_CC,Component,GO:1904813,ficolin-1-rich granule lumen,5,124,"['9606.ENSP00000241052', '9606.ENSP00000262768', '9606.ENSP00000361405', '9606.ENSP00000363512', '9606.ENSP00000466259']","['CAT', 'TIMP2', 'MMP9', 'ALOX5', 'ACLY']",0.00041,0.0202,0.00041,0.0202,True
GO_CC,Component,GO:0005739,Mitochondrion,19,1681,"['9606.ENSP00000212015', '9606.ENSP00000219070', '9606.ENSP00000221130', '9606.ENSP00000231509', '9606.ENSP00000241052', '9606.ENSP00000246657', '9606.ENSP00000269305', '9606.ENSP00000292427', '9606.ENSP00000297185', '9606.ENSP00000325120', '9606.ENSP00000339787', '9606.ENSP00000355231', '9606.ENSP00000358513', '9606.ENSP00000372191', '9606.ENSP00000374455', '9606.ENSP00000419692', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000483300']","['SIRT1', 'MMP2', 'GSR', 'NR3C1', 'CAT', 'CCR7', 'TP53', 'CYP11B1', 'HSPA9', 'PGR', 'ACSL4', 'BECN1', 'CNR1', 'SIRT3', 'SQSTM1', 'RXRA', 'NR4A1', 'AKT1', 'ACACA']",0.00046,0.0219,0.00046,0.0219,True
GO_CC,Component,GO:0005783,Endoplasmic reticulum,21,2021,"['9606.ENSP00000053867', '9606.ENSP00000218388', '9606.ENSP00000241052', '9606.ENSP00000261170', '9606.ENSP00000265131', '9606.ENSP00000269305', '9606.ENSP00000287936', '9606.ENSP00000290167', '9606.ENSP00000292427', '9606.ENSP00000337383', '9606.ENSP00000339787', '9606.ENSP00000348069', '9606.ENSP00000352608', '9606.ENSP00000352798', '9606.ENSP00000354032', '9606.ENSP00000355231', '9606.ENSP00000358903', '9606.ENSP00000374455', '9606.ENSP00000385675', '9606.ENSP00000389814', '9606.ENSP00000498939']","['GRN', 'TIMP1', 'CAT', 'GUCY2C', 'TNC', 'TP53', 'HMGCR', 'WNT4', 'CYP11B1', 'NLRP3', 'ACSL4', 'SREBF1', 'RYR1', 'COL18A1', 'BSCL2', 'BECN1', 'CYP17A1', 'SQSTM1', 'IL6', 'ADIPOQ', 'CYP3A4']",0.00067,0.031,0.00067,0.031,True
GO_CC,Component,GO:0005901,Caveola,4,78,"['9606.ENSP00000297494', '9606.ENSP00000360293', '9606.ENSP00000415743', '9606.ENSP00000416293']","['NOS3', 'SORBS1', 'CD36', 'SLC2A1']",0.00068,0.031,0.00068,0.031,True
GO_CC,Component,GO:0097413,Lewy body,2,7,"['9606.ENSP00000336790', '9606.ENSP00000374455']","['ATF4', 'SQSTM1']",0.00082,0.0365,0.00082,0.0365,True
GO_CC,Component,GO:0043232,Intracellular non-membrane-bounded organelle,40,5191,"['9606.ENSP00000212015', '9606.ENSP00000219070', '9606.ENSP00000231509', '9606.ENSP00000263734', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000287820', '9606.ENSP00000297185', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000325120', '9606.ENSP00000332049', '9606.ENSP00000336528', '9606.ENSP00000336790', '9606.ENSP00000339787', '9606.ENSP00000348069', '9606.ENSP00000351022', '9606.ENSP00000352608', '9606.ENSP00000354032', '9606.ENSP00000357643', '9606.ENSP00000358072', '9606.ENSP00000358513', '9606.ENSP00000360293', '9606.ENSP00000363822', '9606.ENSP00000370842', '9606.ENSP00000374455', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000391269', '9606.ENSP00000405330', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000483300']","['SIRT1', 'MMP2', 'NR3C1', 'EPAS1', 'STAT3', 'TP53', 'PPARG', 'HSPA9', 'NOS3', 'STAT6', 'CEBPB', 'PPARD', 'PGR', 'CD86', 'NR1I2', 'ATF4', 'ACSL4', 'SREBF1', 'TPM1', 'RYR1', 'BSCL2', 'MKI67', 'ATG5', 'CNR1', 'SORBS1', 'AR', 'IL33', 'SQSTM1', 'G6PD', 'NFE2L2', 'RELA', 'PPARA', 'RBFOX1', 'ESR1', 'SLC2A1', 'RXRA', 'CEBPA', 'NR4A1', 'AKT1', 'ACACA']",0.00083,0.0365,0.00083,0.0365,True
GO_CC,Component,GO:0110165,Cellular anatomical entity,96,18293,"['9606.ENSP00000053867', '9606.ENSP00000075120', '9606.ENSP00000212015', '9606.ENSP00000218388', '9606.ENSP00000219070', '9606.ENSP00000221130', '9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000231509', '9606.ENSP00000239223', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000257940', '9606.ENSP00000261170', '9606.ENSP00000262768', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000263734', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000265131', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000287936', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000292427', '9606.ENSP00000295834', '9606.ENSP00000297185', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000301455', '9606.ENSP00000304592', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000314897', '9606.ENSP00000323036', '9606.ENSP00000325120', '9606.ENSP00000330393', '9606.ENSP00000332049', '9606.ENSP00000336528', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000339787', '9606.ENSP00000345681', '9606.ENSP00000348069', '9606.ENSP00000348838', '9606.ENSP00000349078', '9606.ENSP00000350512', '9606.ENSP00000351022', '9606.ENSP00000352608', '9606.ENSP00000352798', '9606.ENSP00000354032', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000357643', '9606.ENSP00000358072', '9606.ENSP00000358513', '9606.ENSP00000358903', '9606.ENSP00000360293', '9606.ENSP00000361405', '9606.ENSP00000363512', '9606.ENSP00000363641', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000372191', '9606.ENSP00000372295', '9606.ENSP00000374455', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000389814', '9606.ENSP00000391269', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000466259', '9606.ENSP00000483300', '9606.ENSP00000494061', '9606.ENSP00000498466', '9606.ENSP00000498939']","['GRN', 'SLC2A3', 'SIRT1', 'TIMP1', 'MMP2', 'GSR', 'IFNG', 'IL4', 'IL5', 'NR3C1', 'DUSP1', 'CAT', 'INHBA', 'CCR7', 'ZC3H10', 'GUCY2C', 'TIMP2', 'IL1A', 'IL1B', 'EPAS1', 'CD80', 'STAT3', 'TNC', 'TP53', 'IL18', 'PPARG', 'HMGCR', 'WNT4', 'ACE', 'CYP11B1', 'FABP1', 'HSPA9', 'NOS3', 'STAT6', 'ANGPTL4', 'FASN', 'IL13', 'CEBPB', 'PPARD', 'ANGPT2', 'ACPP', 'PGR', 'LEPR', 'CD86', 'NR1I2', 'ATF4', 'NLRP3', 'ACSL4', 'GATA2', 'SREBF1', 'UBE2C', 'FDPS', 'COPS5', 'TPM1', 'RYR1', 'COL18A1', 'BSCL2', 'BECN1', 'CCN2', 'MKI67', 'ATG5', 'CNR1', 'CYP17A1', 'SORBS1', 'MMP9', 'ALOX5', 'TXN', 'AR', 'BMP2', 'IL33', 'SIRT3', 'GJB2', 'SQSTM1', 'G6PD', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'CXCR4', 'ADIPOQ', 'RBFOX1', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'SLC2A1', 'RXRA', 'CEBPA', 'NR4A1', 'AKT1', 'LDLR', 'ACLY', 'ACACA', 'MUC2', 'FAS', 'CYP3A4']",0.00083,0.0365,0.00083,0.0365,True
GO_CC,Component,GO:0034399,Nuclear periphery,5,150,"['9606.ENSP00000269305', '9606.ENSP00000305422', '9606.ENSP00000336790', '9606.ENSP00000360293', '9606.ENSP00000363512']","['TP53', 'CEBPB', 'ATF4', 'SORBS1', 'ALOX5']",0.00095,0.0389,0.00095,0.0389,True
GO_CC,Component,GO:0000407,Phagophore assembly site,3,39,"['9606.ENSP00000355231', '9606.ENSP00000358072', '9606.ENSP00000374455']","['BECN1', 'ATG5', 'SQSTM1']",0.0011,0.0444,0.0011,0.0444,True
