analysis_category,category,term,description,hit_gene_count,gene_coverage_percent,number_of_genes,number_of_genes_in_background,background_gene_count,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,fdr_lt_0_05,neg_log10_fdr,rank_score,is_representative,reduced_rank,representative_term,representative_description,redundancy_cluster_size,redundancy_intersection_count,redundancy_jaccard,redundancy_overlap_coefficient,redundancy_reason,redundancy_cluster_terms
KEGG,KEGG,hsa05200,Pathways in cancer,26,27.083333333333332,26,515,515,"['9606.ENSP00000219070', '9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000263734', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000300134', '9606.ENSP00000304915', '9606.ENSP00000310928', '9606.ENSP00000361405', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000451828', '9606.ENSP00000498466']","['MMP2', 'IFNG', 'IL4', 'IL5', 'EPAS1', 'STAT3', 'TP53', 'PPARG', 'WNT4', 'STAT6', 'IL13', 'PPARD', 'MMP9', 'AR', 'BMP2', 'NFE2L2', 'RELA', 'IL6', 'CXCR4', 'AGTR1', 'ESR1', 'SLC2A1', 'RXRA', 'CEBPA', 'AKT1', 'FAS']",4.31e-19,1.45e-16,4.31e-19,1.45e-16,True,15.838631997765026,4.289629499394694,1,1.0,hsa05200,Pathways in cancer,13,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04062;hsa04670;hsa04917;hsa04919;hsa05200;hsa05205;hsa05211;hsa05215;hsa05217;hsa05221;hsa05224;hsa05225;hsa05226
KEGG,KEGG,hsa05321,Inflammatory bowel disease,12,12.5,12,59,59,"['9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264657', '9606.ENSP00000280357', '9606.ENSP00000300134', '9606.ENSP00000304915', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698']","['IFNG', 'IL4', 'IL5', 'IL1A', 'IL1B', 'STAT3', 'IL18', 'STAT6', 'IL13', 'RELA', 'IL6', 'TNF']",8.42e-16,1.41e-13,8.42e-16,1.41e-13,True,12.85078088734462,1.6063476109180774,1,2.0,hsa05321,Inflammatory bowel disease,10,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04630;hsa04640;hsa04657;hsa04658;hsa04659;hsa05134;hsa05140;hsa05144;hsa05146;hsa05321
KEGG,KEGG,hsa05418,Fluid shear stress and atherosclerosis,14,14.583333333333334,14,129,129,"['9606.ENSP00000219070', '9606.ENSP00000229135', '9606.ENSP00000239223', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000269305', '9606.ENSP00000297494', '9606.ENSP00000361405', '9606.ENSP00000363641', '9606.ENSP00000374455', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000451828']","['MMP2', 'IFNG', 'DUSP1', 'IL1A', 'IL1B', 'TP53', 'NOS3', 'MMP9', 'TXN', 'SQSTM1', 'NFE2L2', 'RELA', 'TNF', 'AKT1']",7.96e-15,8.91e-13,7.96e-15,8.91e-13,True,12.050122295963126,1.7573095014946227,1,3.0,hsa05418,Fluid shear stress and atherosclerosis,4,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04380;hsa05012;hsa05219;hsa05418
KEGG,KEGG,hsa04932,Non-alcoholic fatty liver disease,14,14.583333333333334,14,146,146,"['9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000330393', '9606.ENSP00000336790', '9606.ENSP00000348069', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000451828', '9606.ENSP00000498466']","['IL1A', 'IL1B', 'LEPR', 'ATF4', 'SREBF1', 'RELA', 'PPARA', 'IL6', 'ADIPOQ', 'TNF', 'RXRA', 'CEBPA', 'AKT1', 'FAS']",3.86e-14,3.24e-12,3.86e-14,3.24e-12,True,11.489454989793387,1.675545519344869,1,4.0,hsa04932,Non-alcoholic fatty liver disease,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04932;hsa05020
KEGG,KEGG,hsa04920,Adipocytokine signaling pathway,11,11.458333333333332,11,68,68,"['9606.ENSP00000264657', '9606.ENSP00000330393', '9606.ENSP00000339787', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000451828']","['STAT3', 'LEPR', 'ACSL4', 'RELA', 'PPARA', 'ADIPOQ', 'TNF', 'CD36', 'SLC2A1', 'RXRA', 'AKT1']",1.33e-13,8.96e-12,1.33e-13,8.96e-12,True,11.047691990337874,1.2658813738928811,1,5.0,hsa04920,Adipocytokine signaling pathway,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04920;hsa04931
KEGG,KEGG,hsa04060,Cytokine-cytokine receptor interaction,16,16.666666666666664,16,282,282,"['9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000304915', '9606.ENSP00000330393', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000398698', '9606.ENSP00000498466']","['IFNG', 'IL4', 'IL5', 'INHBA', 'CCR7', 'IL1A', 'IL1B', 'IL18', 'IL13', 'LEPR', 'BMP2', 'IL33', 'IL6', 'CXCR4', 'TNF', 'FAS']",1.04e-12,5.85e-11,1.04e-12,5.85e-11,True,10.232844133917819,1.705474022319636,1,6.0,hsa04060,Cytokine-cytokine receptor interaction,3,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04060;hsa04061;hsa04350
KEGG,KEGG,hsa03320,PPAR signaling pathway,10,10.416666666666668,10,75,75,"['9606.ENSP00000287820', '9606.ENSP00000295834', '9606.ENSP00000301455', '9606.ENSP00000310928', '9606.ENSP00000339787', '9606.ENSP00000360293', '9606.ENSP00000385523', '9606.ENSP00000389814', '9606.ENSP00000415743', '9606.ENSP00000419692']","['PPARG', 'FABP1', 'ANGPTL4', 'PPARD', 'ACSL4', 'SORBS1', 'PPARA', 'ADIPOQ', 'CD36', 'RXRA']",1.03e-11,4.96e-10,1.03e-11,4.96e-10,True,9.304518323509802,0.9692206586989379,1,7.0,hsa03320,PPAR signaling pathway,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa03320;hsa04975
KEGG,KEGG,hsa05332,Graft-versus-host disease,8,8.333333333333332,8,36,36,"['9606.ENSP00000229135', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264246', '9606.ENSP00000332049', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000498466']","['IFNG', 'IL1A', 'IL1B', 'CD80', 'CD86', 'IL6', 'TNF', 'FAS']",3.49e-11,1.47e-09,3.49e-11,1.47e-09,True,8.832682665251824,0.7360568887709852,1,8.0,hsa05332,Graft-versus-host disease,7,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04620;hsa04940;hsa05143;hsa05322;hsa05323;hsa05330;hsa05332
KEGG,KEGG,hsa05164,Influenza A,12,12.5,12,163,163,"['9606.ENSP00000229135', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000337383', '9606.ENSP00000349078', '9606.ENSP00000370842', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['IFNG', 'IL1A', 'IL1B', 'IL18', 'NLRP3', 'FDPS', 'IL33', 'RELA', 'IL6', 'TNF', 'AKT1', 'FAS']",5.12e-11,1.91e-09,5.12e-11,1.91e-09,True,8.718966632752272,1.089870829094034,1,9.0,hsa05164,Influenza A,8,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04623;hsa04625;hsa05130;hsa05132;hsa05133;hsa05135;hsa05152;hsa05164
KEGG,KEGG,hsa04933,AGE-RAGE signaling pathway in diabetic complications,10,10.416666666666668,10,96,96,"['9606.ENSP00000219070', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264657', '9606.ENSP00000297494', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000451828']","['MMP2', 'IL1A', 'IL1B', 'STAT3', 'NOS3', 'RELA', 'IL6', 'TNF', 'AGTR1', 'AKT1']",9.67e-11,2.95e-09,9.67e-11,2.95e-09,True,8.530177984021837,0.8885602066689414,1,10.0,hsa04933,AGE-RAGE signaling pathway in diabetic complications,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04933
