hub_rank,gene_symbol,degree,weighted_degree,betweenness_centrality,pathway_or_term_membership_count,GO_BP_membership_count,GO_MF_membership_count,GO_CC_membership_count,KEGG_membership_count,member_terms
11,IL4,18,16.265,0.005801317116985671,24,16,1,1,6,GO:0051128 | Regulation of cellular component organization; GO:0008202 | Steroid metabolic process; GO:0050790 | Regulation of catalytic activity; GO:0002683 | Negative regulation of immune system process; GO:0150077 | Regulation of neuroinflammatory response; GO:0009894 | Regulation of catabolic process; GO:1904035 | Regulation of epithelial cell apoptotic process; GO:0043030 | Regulation of macrophage activation; GO:0002703 | Regulation of leukocyte mediated immunity; GO:0002366 | Leukocyte activation involved in immune response; GO:0032733 | Positive regulation of interleukin-10 production; GO:0033003 | Regulation of mast cell activation; GO:1900544 | Positive regulation of purine nucleotide metabolic process; GO:0010633 | Negative regulation of epithelial cell migration; GO:0045670 | Regulation of osteoclast differentiation; GO:0030890 | Positive regulation of B cell proliferation; GO:0005615 | Extracellular space; GO:0005515 | Protein binding; hsa05200 | Pathways in cancer; hsa05321 | Inflammatory bowel disease; hsa04060 | Cytokine-cytokine receptor interaction; hsa04672 | Intestinal immune network for IgA production; hsa04664 | Fc epsilon RI signaling pathway; hsa04151 | PI3K-Akt signaling pathway
12,RELA,17,15.652,0.01498211575576555,28,4,2,2,20,GO:0070887 | Cellular response to chemical stimulus; GO:1901362 | Organic cyclic compound biosynthetic process; GO:0009894 | Regulation of catabolic process; GO:1903320 | Regulation of protein modification by small protein conjugation or removal; GO:0005667 | Transcription regulator complex; GO:0005829 | Cytosol; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa05200 | Pathways in cancer; hsa05321 | Inflammatory bowel disease; hsa05418 | Fluid shear stress and atherosclerosis; hsa04932 | Non-alcoholic fatty liver disease; hsa04920 | Adipocytokine signaling pathway; hsa05164 | Influenza A; hsa04933 | AGE-RAGE signaling pathway in diabetic complications; hsa04211 | Longevity regulating pathway; hsa04066 | HIF-1 signaling pathway; hsa04668 | TNF signaling pathway; hsa05160 | Hepatitis C; hsa05131 | Shigellosis; hsa04010 | MAPK signaling pathway; hsa05202 | Transcriptional misregulation in cancer; hsa05167 | Kaposi sarcoma-associated herpesvirus infection; hsa04151 | PI3K-Akt signaling pathway; hsa04218 | Cellular senescence; hsa05166 | Human T-cell leukemia virus 1 infection; hsa05165 | Human papillomavirus infection; hsa05203 | Viral carcinogenesis
13,IL13,17,14.876999999999999,0.003168796755971788,16,9,1,2,4,GO:0070887 | Cellular response to chemical stimulus; GO:0050790 | Regulation of catalytic activity; GO:0050708 | Regulation of protein secretion; GO:1904035 | Regulation of epithelial cell apoptotic process; GO:0043030 | Regulation of macrophage activation; GO:0002703 | Regulation of leukocyte mediated immunity; GO:0032733 | Positive regulation of interleukin-10 production; GO:0033003 | Regulation of mast cell activation; GO:0030890 | Positive regulation of B cell proliferation; GO:0005615 | Extracellular space; GO:0009897 | External side of plasma membrane; GO:0005515 | Protein binding; hsa05200 | Pathways in cancer; hsa05321 | Inflammatory bowel disease; hsa04060 | Cytokine-cytokine receptor interaction; hsa04664 | Fc epsilon RI signaling pathway
14,ESR1,17,14.474,0.019867500020857635,14,7,2,3,2,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:1901362 | Organic cyclic compound biosynthetic process; GO:0008202 | Steroid metabolic process; GO:0050790 | Regulation of catalytic activity; GO:1904035 | Regulation of epithelial cell apoptotic process; GO:0060740 | Prostate gland epithelium morphogenesis; GO:0005667 | Transcription regulator complex; GO:0012505 | Endomembrane system; GO:0005829 | Cytosol; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa05200 | Pathways in cancer; hsa04915 | Estrogen signaling pathway
15,IL1A,16,14.307,0.0019590894604766883,21,8,1,2,10,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0050790 | Regulation of catalytic activity; GO:0050708 | Regulation of protein secretion; GO:0045766 | Positive regulation of angiogenesis; GO:0009611 | Response to wounding; GO:0001659 | Temperature homeostasis; GO:0051930 | Regulation of sensory perception of pain; GO:0005615 | Extracellular space; GO:0005829 | Cytosol; GO:0005515 | Protein binding; hsa05321 | Inflammatory bowel disease; hsa05418 | Fluid shear stress and atherosclerosis; hsa04932 | Non-alcoholic fatty liver disease; hsa04060 | Cytokine-cytokine receptor interaction; hsa05332 | Graft-versus-host disease; hsa05164 | Influenza A; hsa04933 | AGE-RAGE signaling pathway in diabetic complications; hsa04217 | Necroptosis; hsa04010 | MAPK signaling pathway; hsa04218 | Cellular senescence
16,PPARA,16,13.394,0.032309569507190515,15,8,2,0,5,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0009894 | Regulation of catabolic process; GO:1904035 | Regulation of epithelial cell apoptotic process; GO:0044283 | Small molecule biosynthetic process; GO:0009611 | Response to wounding; GO:0044255 | Cellular lipid metabolic process; GO:1900544 | Positive regulation of purine nucleotide metabolic process; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa04932 | Non-alcoholic fatty liver disease; hsa04920 | Adipocytokine signaling pathway; hsa03320 | PPAR signaling pathway; hsa05160 | Hepatitis C; hsa04922 | Glucagon signaling pathway
17,CEBPB,15,13.076,0.016633098923816706,12,6,2,2,2,GO:0070887 | Cellular response to chemical stimulus; GO:1901362 | Organic cyclic compound biosynthetic process; GO:0002683 | Negative regulation of immune system process; GO:0045444 | Fat cell differentiation; GO:0022008 | Neurogenesis; GO:0045670 | Regulation of osteoclast differentiation; GO:0005667 | Transcription regulator complex; GO:0034399 | Nuclear periphery; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa04668 | TNF signaling pathway; hsa05202 | Transcriptional misregulation in cancer
18,ADIPOQ,15,12.543,0.010849763874219764,14,6,1,2,5,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0050790 | Regulation of catalytic activity; GO:0002683 | Negative regulation of immune system process; GO:0045444 | Fat cell differentiation; GO:0044255 | Cellular lipid metabolic process; GO:0005615 | Extracellular space; GO:0012505 | Endomembrane system; GO:0005515 | Protein binding; hsa04932 | Non-alcoholic fatty liver disease; hsa04920 | Adipocytokine signaling pathway; hsa03320 | PPAR signaling pathway; hsa04152 | AMPK signaling pathway; hsa04211 | Longevity regulating pathway
19,SREBF1,14,11.879,0.02577311599682661,14,8,2,2,2,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:1901362 | Organic cyclic compound biosynthetic process; GO:0008202 | Steroid metabolic process; GO:0009894 | Regulation of catabolic process; GO:0050708 | Regulation of protein secretion; GO:0045444 | Fat cell differentiation; GO:0044283 | Small molecule biosynthetic process; GO:0012505 | Endomembrane system; GO:0005829 | Cytosol; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa04932 | Non-alcoholic fatty liver disease; hsa04152 | AMPK signaling pathway
20,IL18,13,11.845,0.017370192273143632,12,5,1,2,4,GO:0070887 | Cellular response to chemical stimulus; GO:0050790 | Regulation of catalytic activity; GO:0150077 | Regulation of neuroinflammatory response; GO:0001525 | Angiogenesis; GO:0002703 | Regulation of leukocyte mediated immunity; GO:0005615 | Extracellular space; GO:0005829 | Cytosol; GO:0005515 | Protein binding; hsa05321 | Inflammatory bowel disease; hsa04060 | Cytokine-cytokine receptor interaction; hsa05164 | Influenza A; hsa05131 | Shigellosis
