gene_symbol,string_id,preferred_name,degree_at_required_score_700
IL6,9606.ENSP00000385675,IL6,38
TNF,9606.ENSP00000398698,TNF,36
AKT1,9606.ENSP00000451828,AKT1,32
TP53,9606.ENSP00000269305,TP53,32
IL1B,9606.ENSP00000263341,IL1B,29
STAT3,9606.ENSP00000264657,STAT3,29
PPARG,9606.ENSP00000287820,PPARG,23
MMP9,9606.ENSP00000361405,MMP9,21
IFNG,9606.ENSP00000229135,IFNG,20
SIRT1,9606.ENSP00000212015,SIRT1,19
IL4,9606.ENSP00000231449,IL4,18
ESR1,9606.ENSP00000405330,ESR1,17
IL13,9606.ENSP00000304915,IL13,17
RELA,9606.ENSP00000384273,RELA,17
IL1A,9606.ENSP00000263339,IL1A,16
PPARA,9606.ENSP00000385523,PPARA,16
ADIPOQ,9606.ENSP00000389814,ADIPOQ,15
CEBPB,9606.ENSP00000305422,CEBPB,15
SREBF1,9606.ENSP00000348069,SREBF1,14
CD36,9606.ENSP00000415743,CD36,13
CD80,9606.ENSP00000264246,CD80,13
CD86,9606.ENSP00000332049,CD86,13
IL18,9606.ENSP00000280357,IL18,13
NFE2L2,9606.ENSP00000380252,NFE2L2,13
CEBPA,9606.ENSP00000427514,CEBPA,12
CXCR4,9606.ENSP00000386884,CXCR4,12
IL5,9606.ENSP00000231454,IL5,12
STAT6,9606.ENSP00000300134,STAT6,12
NR3C1,9606.ENSP00000231509,NR3C1,11
CCR7,9606.ENSP00000246657,CCR7,10
FASN,9606.ENSP00000304592,FASN,10
MMP2,9606.ENSP00000219070,MMP2,10
RXRA,9606.ENSP00000419692,RXRA,10
TIMP1,9606.ENSP00000218388,TIMP1,10
IL33,9606.ENSP00000370842,IL33,9
AR,9606.ENSP00000363822,AR,8
NLRP3,9606.ENSP00000337383,NLRP3,8
ACACA,9606.ENSP00000483300,ACACA,7
BECN1,9606.ENSP00000355231,BECN1,7
CCN2,9606.ENSP00000356954,CCN2,7
HMGCR,9606.ENSP00000287936,HMGCR,7
LEPR,9606.ENSP00000330393,LEPR,7
NOS3,9606.ENSP00000297494,NOS3,7
SQSTM1,9606.ENSP00000374455,SQSTM1,7
TXN,9606.ENSP00000363641,TXN,7
ACE,9606.ENSP00000290866,ACE,6
ACLY,9606.ENSP00000466259,ACLY,6
PGR,9606.ENSP00000325120,PGR,6
ATG5,9606.ENSP00000358072,ATG5,5
NR4A1,9606.ENSP00000440864,NR4A1,5
EPAS1,9606.ENSP00000263734,EPAS1,4
FAS,9606.ENSP00000498466,FAS,4
G6PD,9606.ENSP00000377192,G6PD,4
PPARD,9606.ENSP00000310928,PPARD,4
SLC2A1,9606.ENSP00000416293,SLC2A1,4
ATF4,9606.ENSP00000336790,ATF4,3
CYP17A1,9606.ENSP00000358903,CYP17A1,3
GSR,9606.ENSP00000221130,GSR,3
TIMP2,9606.ENSP00000262768,TIMP2,3
AGTR1,9606.ENSP00000398832,AGTR1,2
ANGPTL4,9606.ENSP00000301455,ANGPTL4,2
BMP2,9606.ENSP00000368104,BMP2,2
COPS5,9606.ENSP00000350512,COPS5,2
CYP3A4,9606.ENSP00000498939,CYP3A4,2
DUSP1,9606.ENSP00000239223,DUSP1,2
FABP1,9606.ENSP00000295834,FABP1,2
FDPS,9606.ENSP00000349078,FDPS,2
GATA2,9606.ENSP00000345681,GATA2,2
HSPA9,9606.ENSP00000297185,HSPA9,2
NR1I2,9606.ENSP00000336528,NR1I2,2
VEGFA,9606.ENSP00000352798,COL18A1,2
ACSL4,9606.ENSP00000339787,ACSL4,1
ALOX5,9606.ENSP00000363512,ALOX5,1
ANGPT2,9606.ENSP00000314897,ANGPT2,1
CYP11B1,9606.ENSP00000292427,CYP11B1,1
MKI67,9606.ENSP00000357643,MKI67,1
SIRT3,9606.ENSP00000372191,SIRT3,1
UBE2C,9606.ENSP00000348838,UBE2C,1
ACP3,9606.ENSP00000323036,ACPP,0
BSCL2,9606.ENSP00000354032,BSCL2,0
CAT,9606.ENSP00000241052,CAT,0
CNR1,9606.ENSP00000358513,CNR1,0
GJB2,9606.ENSP00000372295,GJB2,0
GRN,9606.ENSP00000053867,GRN,0
GUCY2C,9606.ENSP00000261170,GUCY2C,0
INHBA,9606.ENSP00000242208,INHBA,0
LDLR,9606.ENSP00000454071,LDLR,0
MIR143,9606.ENSP00000257940,ZC3H10,0
MUC2,9606.ENSP00000494061,MUC2,0
RBFOX1,9606.ENSP00000391269,RBFOX1,0
RYR1,9606.ENSP00000352608,RYR1,0
SLC2A3,9606.ENSP00000075120,SLC2A3,0
SORBS1,9606.ENSP00000360293,SORBS1,0
TNC,9606.ENSP00000265131,TNC,0
TPM1,9606.ENSP00000351022,TPM1,0
WNT4,9606.ENSP00000290167,WNT4,0
