analysis_category,category,term,description,number_of_genes,number_of_genes_in_background,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,significant_fdr_lt_0_05
KEGG,KEGG,hsa05170,Human immunodeficiency virus 1 infection,5,203,"['9606.ENSP00000384273', '9606.ENSP00000386884', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['RELA', 'CXCR4', 'TNF', 'AKT1', 'FAS']",0.0034,0.0109,0.0034,0.0109,True
KEGG,KEGG,hsa00140,Steroid hormone biosynthesis,3,60,"['9606.ENSP00000292427', '9606.ENSP00000358903', '9606.ENSP00000498939']","['CYP11B1', 'CYP17A1', 'CYP3A4']",0.0036,0.0112,0.0036,0.0112,True
KEGG,KEGG,hsa05217,Basal cell carcinoma,3,63,"['9606.ENSP00000269305', '9606.ENSP00000290167', '9606.ENSP00000368104']","['TP53', 'WNT4', 'BMP2']",0.0041,0.0126,0.0041,0.0126,True
KEGG,KEGG,hsa04140,Autophagy - animal,4,131,"['9606.ENSP00000355231', '9606.ENSP00000358072', '9606.ENSP00000374455', '9606.ENSP00000451828']","['BECN1', 'ATG5', 'SQSTM1', 'AKT1']",0.0042,0.0131,0.0042,0.0131,True
KEGG,KEGG,hsa05211,Renal cell carcinoma,3,65,"['9606.ENSP00000263734', '9606.ENSP00000416293', '9606.ENSP00000451828']","['EPAS1', 'SLC2A1', 'AKT1']",0.0044,0.0135,0.0044,0.0135,True
KEGG,KEGG,hsa04622,RIG-I-like receptor signaling pathway,3,69,"['9606.ENSP00000358072', '9606.ENSP00000384273', '9606.ENSP00000398698']","['ATG5', 'RELA', 'TNF']",0.0052,0.0157,0.0052,0.0157,True
KEGG,KEGG,hsa01524,Platinum drug resistance,3,70,"['9606.ENSP00000269305', '9606.ENSP00000451828', '9606.ENSP00000498466']","['TP53', 'AKT1', 'FAS']",0.0054,0.0161,0.0054,0.0161,True
KEGG,KEGG,hsa04550,Signaling pathways regulating pluripotency of stem cells,4,141,"['9606.ENSP00000242208', '9606.ENSP00000264657', '9606.ENSP00000290167', '9606.ENSP00000451828']","['INHBA', 'STAT3', 'WNT4', 'AKT1']",0.0055,0.0162,0.0055,0.0162,True
KEGG,KEGG,hsa00900,Terpenoid backbone biosynthesis,2,22,"['9606.ENSP00000287936', '9606.ENSP00000349078']","['HMGCR', 'FDPS']",0.006,0.0177,0.006,0.0177,True
KEGG,KEGG,hsa04261,Adrenergic signaling in cardiomyocytes,4,146,"['9606.ENSP00000336790', '9606.ENSP00000351022', '9606.ENSP00000398832', '9606.ENSP00000451828']","['ATF4', 'TPM1', 'AGTR1', 'AKT1']",0.0061,0.0179,0.0061,0.0179,True
KEGG,KEGG,hsa05012,Parkinson disease,5,236,"['9606.ENSP00000239223', '9606.ENSP00000269305', '9606.ENSP00000336790', '9606.ENSP00000363641', '9606.ENSP00000380252']","['DUSP1', 'TP53', 'ATF4', 'TXN', 'NFE2L2']",0.0064,0.0185,0.0064,0.0185,True
KEGG,KEGG,hsa04614,Renin-angiotensin system,2,23,"['9606.ENSP00000290866', '9606.ENSP00000398832']","['ACE', 'AGTR1']",0.0065,0.0186,0.0065,0.0186,True
KEGG,KEGG,hsa05220,Chronic myeloid leukemia,3,75,"['9606.ENSP00000269305', '9606.ENSP00000384273', '9606.ENSP00000451828']","['TP53', 'RELA', 'AKT1']",0.0065,0.0186,0.0065,0.0186,True
KEGG,KEGG,hsa01521,EGFR tyrosine kinase inhibitor resistance,3,77,"['9606.ENSP00000264657', '9606.ENSP00000385675', '9606.ENSP00000451828']","['STAT3', 'IL6', 'AKT1']",0.0069,0.0196,0.0069,0.0196,True
KEGG,KEGG,hsa05014,Amyotrophic lateral sclerosis,6,350,"['9606.ENSP00000241052', '9606.ENSP00000269305', '9606.ENSP00000336790', '9606.ENSP00000355231', '9606.ENSP00000374455', '9606.ENSP00000398698']","['CAT', 'TP53', 'ATF4', 'BECN1', 'SQSTM1', 'TNF']",0.0078,0.0217,0.0078,0.0217,True
KEGG,KEGG,hsa05225,Hepatocellular carcinoma,4,161,"['9606.ENSP00000269305', '9606.ENSP00000290167', '9606.ENSP00000380252', '9606.ENSP00000451828']","['TP53', 'WNT4', 'NFE2L2', 'AKT1']",0.0085,0.0237,0.0085,0.0237,True
KEGG,KEGG,hsa04022,cGMP-PKG signaling pathway,4,163,"['9606.ENSP00000297494', '9606.ENSP00000336790', '9606.ENSP00000398832', '9606.ENSP00000451828']","['NOS3', 'ATF4', 'AGTR1', 'AKT1']",0.0089,0.0245,0.0089,0.0245,True
KEGG,KEGG,hsa04136,Autophagy - other,2,31,"['9606.ENSP00000355231', '9606.ENSP00000358072']","['BECN1', 'ATG5']",0.0111,0.0304,0.0111,0.0304,True
KEGG,KEGG,hsa00760,Nicotinate and nicotinamide metabolism,2,33,"['9606.ENSP00000212015', '9606.ENSP00000372191']","['SIRT1', 'SIRT3']",0.0125,0.0338,0.0125,0.0338,True
KEGG,KEGG,hsa05203,Viral carcinogenesis,4,183,"['9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000336790', '9606.ENSP00000384273']","['STAT3', 'TP53', 'ATF4', 'RELA']",0.0131,0.0351,0.0131,0.0351,True
KEGG,KEGG,hsa04064,NF-kappa B signaling pathway,3,101,"['9606.ENSP00000263341', '9606.ENSP00000384273', '9606.ENSP00000398698']","['IL1B', 'RELA', 'TNF']",0.0141,0.0377,0.0141,0.0377,True
KEGG,KEGG,hsa04020,Calcium signaling pathway,4,191,"['9606.ENSP00000297494', '9606.ENSP00000352608', '9606.ENSP00000386884', '9606.ENSP00000398832']","['NOS3', 'RYR1', 'CXCR4', 'AGTR1']",0.015,0.0397,0.015,0.0397,True
KEGG,KEGG,hsa04670,Leukocyte transendothelial migration,3,111,"['9606.ENSP00000219070', '9606.ENSP00000361405', '9606.ENSP00000386884']","['MMP2', 'MMP9', 'CXCR4']",0.018,0.0474,0.018,0.0474,True
KEGG,KEGG,hsa04975,Fat digestion and absorption,2,41,"['9606.ENSP00000295834', '9606.ENSP00000415743']","['FABP1', 'CD36']",0.0185,0.0481,0.0185,0.0481,True
