analysis_category,category,term,description,number_of_genes,number_of_genes_in_background,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,significant_fdr_lt_0_05
KEGG,KEGG,hsa04151,PI3K-Akt signaling pathway,11,349,"['9606.ENSP00000231449', '9606.ENSP00000265131', '9606.ENSP00000269305', '9606.ENSP00000297494', '9606.ENSP00000314897', '9606.ENSP00000336790', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000419692', '9606.ENSP00000440864', '9606.ENSP00000451828']","['IL4', 'TNC', 'TP53', 'NOS3', 'ANGPT2', 'ATF4', 'RELA', 'IL6', 'RXRA', 'NR4A1', 'AKT1']",1.37e-06,1.05e-05,1.37e-06,1.05e-05,True
KEGG,KEGG,hsa05140,Leishmaniasis,6,69,"['9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000384273', '9606.ENSP00000398698']","['IFNG', 'IL4', 'IL1A', 'IL1B', 'RELA', 'TNF']",1.71e-06,1.28e-05,1.71e-06,1.28e-05,True
KEGG,KEGG,hsa05133,Pertussis,6,73,"['9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000337383', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698']","['IL1A', 'IL1B', 'NLRP3', 'RELA', 'IL6', 'TNF']",2.32e-06,1.7e-05,2.32e-06,1.7e-05,True
KEGG,KEGG,hsa04621,NOD-like receptor signaling pathway,8,173,"['9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000337383', '9606.ENSP00000358072', '9606.ENSP00000363641', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698']","['IL1B', 'IL18', 'NLRP3', 'ATG5', 'TXN', 'RELA', 'IL6', 'TNF']",2.8e-06,2e-05,2.8e-06,2e-05,True
KEGG,KEGG,hsa05135,Yersinia infection,7,124,"['9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000337383', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828']","['IL1B', 'IL18', 'NLRP3', 'RELA', 'IL6', 'TNF', 'AKT1']",3.46e-06,2.42e-05,3.46e-06,2.42e-05,True
KEGG,KEGG,hsa04658,Th1 and Th2 cell differentiation,6,85,"['9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000300134', '9606.ENSP00000304915', '9606.ENSP00000384273']","['IFNG', 'IL4', 'IL5', 'STAT6', 'IL13', 'RELA']",5.31e-06,3.64e-05,5.31e-06,3.64e-05,True
KEGG,KEGG,hsa04915,Estrogen signaling pathway,7,133,"['9606.ENSP00000219070', '9606.ENSP00000297494', '9606.ENSP00000325120', '9606.ENSP00000336790', '9606.ENSP00000361405', '9606.ENSP00000405330', '9606.ENSP00000451828']","['MMP2', 'NOS3', 'PGR', 'ATF4', 'MMP9', 'ESR1', 'AKT1']",5.37e-06,3.64e-05,5.37e-06,3.64e-05,True
KEGG,KEGG,hsa05320,Autoimmune thyroid disease,5,48,"['9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000264246', '9606.ENSP00000332049', '9606.ENSP00000498466']","['IL4', 'IL5', 'CD80', 'CD86', 'FAS']",5.76e-06,3.8e-05,5.76e-06,3.8e-05,True
KEGG,KEGG,hsa05132,Salmonella infection,8,209,"['9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000337383', '9606.ENSP00000363641', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828']","['IL1B', 'IL18', 'NLRP3', 'TXN', 'RELA', 'IL6', 'TNF', 'AKT1']",1.06e-05,6.87e-05,1.06e-05,6.87e-05,True
KEGG,KEGG,hsa05134,Legionellosis,5,55,"['9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698']","['IL1B', 'IL18', 'RELA', 'IL6', 'TNF']",1.07e-05,6.87e-05,1.07e-05,6.87e-05,True
KEGG,KEGG,hsa05010,Alzheimer disease,10,354,"['9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000290167', '9606.ENSP00000336790', '9606.ENSP00000355231', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['IL1A', 'IL1B', 'WNT4', 'ATF4', 'BECN1', 'RELA', 'IL6', 'TNF', 'AKT1', 'FAS']",1.08e-05,6.87e-05,1.08e-05,6.87e-05,True
KEGG,KEGG,hsa05215,Prostate cancer,6,97,"['9606.ENSP00000269305', '9606.ENSP00000336790', '9606.ENSP00000361405', '9606.ENSP00000363822', '9606.ENSP00000384273', '9606.ENSP00000451828']","['TP53', 'ATF4', 'MMP9', 'AR', 'RELA', 'AKT1']",1.09e-05,6.87e-05,1.09e-05,6.87e-05,True
