gene_symbol,uniprot_accession,target_chembl_id,pref_name,target_type,activity_count
MMP9,P14780,CHEMBL321,Matrix metalloproteinase-9,SINGLE PROTEIN,7141.0
MMP9,P14780,CHEMBL2095216,Collagenase,PROTEIN FAMILY,
MMP9,P14780,CHEMBL3885505,Matrix metalloproteinase 2/9,PROTEIN FAMILY,
MMP9,P14780,CHEMBL4523972,MMP-2/MMP-9,SELECTIVITY GROUP,
STAT3,P40763,CHEMBL4026,Signal transducer and activator of transcription 3,SINGLE PROTEIN,5116.0
STAT3,P40763,CHEMBL4296101,PTPN9/STAT3,PROTEIN-PROTEIN INTERACTION,
STAT3,P40763,CHEMBL4523691,Protein cereblon/Signal transducer and activator of transcription 3,PROTEIN-PROTEIN INTERACTION,
STAT3,P40763,CHEMBL5482983,JAK2-STAT3,PROTEIN COMPLEX,
PTGER4,P35408,CHEMBL1836,Prostaglandin E2 receptor EP4 subtype,SINGLE PROTEIN,3405.0
PTGER4,P35408,CHEMBL2363068,Prostaglandin E2 receptor,PROTEIN FAMILY,
PTGES3,Q15185,CHEMBL3341580,Prostaglandin E synthase 3,SINGLE PROTEIN,13.0
CXCR4,P61073,CHEMBL2107,C-X-C chemokine receptor type 4,SINGLE PROTEIN,3710.0
