gene_a,gene_b,score,string_id_a,string_id_b
CXCR4,MMP9,0.844,9606.ENSP00000361405,9606.ENSP00000386884
CXCR4,STAT3,0.775,9606.ENSP00000264657,9606.ENSP00000386884
MMP9,STAT3,0.89,9606.ENSP00000264657,9606.ENSP00000361405
MMP9,TIMP1,0.999,9606.ENSP00000218388,9606.ENSP00000361405
STAT3,TIMP1,0.772,9606.ENSP00000218388,9606.ENSP00000264657
