atom_index_1based,atom_name,protein_aligned_rmsf_A,core_aligned_internal_rmsf_A,component
1,C1x,1.0900265295715175,0.047066651232106294,core
2,C2x,1.1968501944067989,0.04756856288574566,core
3,C3x,1.3023431944854846,0.046565060663543795,core
4,C4x,1.4769010650646992,0.046416221359382615,core
5,C5x,1.528903466233683,0.046948567009258604,core
6,C6x,1.6061107107321881,0.04710576263721228,core
7,C7x,1.1677585394960495,0.19061046063658496,branch_A
8,O1x,1.7782486391302779,0.8732783700901843,branch_A
9,O2x,1.285078827243885,1.0535849886692874,branch_A
10,C8x,1.4769648089755574,1.1105675711920013,branch_A
11,C9x,1.7266125923241107,1.3953366263362048,branch_A
12,C10x,1.836779625691174,1.9517532924239172,branch_A
13,C11x,2.1076948697709628,2.206270008789295,branch_A
14,C12x,2.072576177558952,2.395699561394202,branch_A
15,C13x,2.1814010359078746,2.612705869612013,branch_A
16,C14x,2.3704538896876963,2.941574034362778,branch_A
17,C15x,2.9064729614453255,3.446192811156693,branch_A
18,C16x,2.800510940316577,3.445771733759489,branch_A
19,C17x,1.351848435989648,0.19356629633390782,branch_B
20,O3x,1.7457064396901651,0.7111656876674727,branch_B
21,O4x,1.427210076739185,0.8638996224147317,branch_B
22,C18x,1.7040684727441462,0.9540975030742386,branch_B
23,C19x,1.8609010996090007,1.4725524728191814,branch_B
24,C20x,1.781303890054677,2.168801091524272,branch_B
25,C21x,1.6723281992049102,2.8352475654069824,branch_B
26,C22x,1.4212621390272622,2.9361565766832194,branch_B
27,C23x,1.5389314778206977,3.13018744158984,branch_B
28,C24x,1.6207923293739437,3.473318658860015,branch_B
29,C25x,2.125418211868193,3.9458608268859465,branch_B
30,C26x,2.364736329084824,3.7869778398242437,branch_B
