bin_start_ns,bin_end_ns,n_samples,total_contact_residues_mean,total_contact_pairs_mean,hydrophobic_contact_residues_mean,hydrophobic_contact_pairs_mean,hbond_proxy_mean,core_contact_retention_mean,pocket_min_distance_A_mean
0.0,5.0,50,21.16,140.58,12.68,39.7,0.7,0.2733333333333333,3.7045659439815783
5.0,10.0,50,19.8,140.24,12.18,37.44,0.72,0.26999999999999996,3.5871516220010027
10.0,15.0,50,20.3,149.58,13.46,39.32,0.5,0.27,3.5490874203597564
15.0,20.0,50,19.38,136.68,12.62,42.4,0.68,0.29333333333333333,3.4804655668432702
20.0,25.0,50,20.38,133.58,13.58,42.6,0.8,0.34333333333333327,3.5111590567315973
25.0,30.0,50,20.18,119.92,12.9,40.22,0.7,0.3666666666666666,3.5010708499219554
30.0,35.0,50,20.94,123.96,12.58,41.38,0.62,0.39,3.4553390645906443
35.0,40.0,50,21.22,123.94,12.5,40.0,0.68,0.4366666666666667,3.4147164302348068
40.0,45.0,50,20.2,123.04,11.22,36.34,0.74,0.58,3.4034848339030885
45.0,50.0,50,19.0,115.34,10.52,33.22,0.84,0.5033333333333334,3.437294828130614
50.0,55.0,50,20.42,116.82,11.62,35.66,0.84,0.33666666666666656,3.5141668271915187
55.0,60.0,50,20.82,122.24,11.52,35.2,0.54,0.3733333333333333,3.4788018682893806
60.0,65.0,50,22.26,130.08,13.22,40.54,0.74,0.2933333333333333,3.418548725870634
65.0,70.0,50,21.62,139.2,13.4,41.94,0.84,0.29,3.5173930405844196
70.0,75.0,50,21.72,146.72,13.64,42.34,0.86,0.26666666666666666,3.429513755480967
75.0,80.0,50,21.2,129.2,13.18,41.1,0.76,0.30333333333333334,3.457524414263084
80.0,85.0,50,19.56,126.62,13.24,44.66,0.62,0.31999999999999995,3.45556474436494
85.0,90.0,50,19.92,132.28,13.94,44.56,0.56,0.18666666666666665,3.534240089209325
90.0,95.0,50,19.98,124.64,13.8,46.94,0.48,0.27999999999999997,3.5776258156691148
95.0,100.0,50,18.34,118.56,11.8,42.2,0.68,0.36666666666666664,3.527864516320341
