condition,subtype,n_cells,n_donors,PTGER4_mean,PTGER4_detection_fraction,PTGER4_expressing_cell_mean,PTGER4_pseudobulk
border,FCN1_inflammatory_monocyte_like,350,6,0.10498913847294454,0.10285714285714286,1.0207277351536275,0.19467701223500655
border,SPP1_like_TAM,230,6,0.13837110355969906,0.16521739130434782,0.8375093110192311,0.21999714769617854
border,C1QC_like_TAM,173,6,0.23041335706895363,0.2832369942196532,0.8135002198556937,0.3684808835639501
border,resident_like,120,4,0.2528716353024137,0.23333333333333334,1.083735579867487,0.427611559183225
normal,FCN1_inflammatory_monocyte_like,255,6,0.142653084309378,0.12156862745098039,1.1734366612545613,0.25984105059055107
normal,resident_like,354,6,0.09577213251113599,0.07627118644067797,1.2556790707015608,0.20585838368716655
normal,C1QC_like_TAM,153,6,0.16721387589060335,0.1895424836601307,0.8821973452159417,0.26517682942589393
normal,SPP1_like_TAM,1,1,0.0,0.0,,0.0
tumor,SPP1_like_TAM,185,4,0.09814119777660339,0.10810810810810811,0.9078060794335812,0.1686058144309105
tumor,FCN1_inflammatory_monocyte_like,380,5,0.14555135560040738,0.11842105263157894,1.229100336181218,0.2940714780675139
tumor,resident_like,105,5,0.21236933578280537,0.19047619047619047,1.1149390128597283,0.3801759495571018
tumor,C1QC_like_TAM,208,6,0.1767927636323483,0.22115384615384615,0.7994107572940967,0.3117299237177553
all,SPP1_like_TAM,416,6,0.12014777742164041,0.13942307692307693,0.8617495759896967,0.19698263085559742
all,FCN1_inflammatory_monocyte_like,985,6,0.13038807115997644,0.11370558375634518,1.1467165186837214,0.25081830338038963
all,resident_like,579,6,0.14947618549641856,0.12953367875647667,1.1539561520323514,0.28834864919277414
all,C1QC_like_TAM,534,6,0.1914197165163291,0.23220973782771537,0.8243397469332236,0.31759745775461906
