donor_id,condition,analysis_group,n_cells,pseudobulk_score,cell_global_sensitivity_mean,eligible_ge_10,eligible_ge_20,eligible_ge_30
KUL01,border,B_cells,11,-0.35359793091436115,-0.1762149987574923,True,False,False
KUL01,border,C1QC_like_TAM,11,-0.29019633350809027,-0.09186806676134932,True,False,False
KUL01,border,FCN1_inflammatory_monocyte_like,144,-0.12565072807576552,0.09773607470332892,True,True,True
KUL01,border,SPP1_like_TAM,190,0.01098289511349417,0.2985076233233485,True,True,True
KUL01,border,T_cells,393,-0.34811165137863426,-0.16891627339657553,True,True,True
KUL01,border,border_epithelial,1102,0.03823278613187479,0.012197244839094753,True,True,True
KUL01,border,endothelial_like,112,-0.3300762747077403,-0.14703825987479283,True,True,True
KUL01,border,enteric_glial_like,4,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL01,border,fibroblast_like,92,0.8388850588713557,0.4063686810085483,True,True,True
KUL01,border,mast_cells,6,0.4956375437708768,0.8116652748291918,False,False,False
KUL01,border,other_myeloid,2,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL01,border,pericyte_like,28,-0.3262282768218614,-0.1476969426459064,True,True,False
KUL01,border,resident_like,2,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL01,border,smooth_muscle_like,32,-0.17988276640361855,-0.1310913596815767,True,True,True
KUL01,normal,B_cells,362,-0.32907613392363094,-0.1539206482139298,True,True,True
KUL01,normal,C1QC_like_TAM,69,-0.06080603637112073,0.13909216687655732,True,True,True
KUL01,normal,FCN1_inflammatory_monocyte_like,122,-0.013921525193518173,0.2633083841782409,True,True,True
KUL01,normal,SPP1_like_TAM,1,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL01,normal,T_cells,231,-0.35359793091436115,-0.17621499875749225,True,True,True
KUL01,normal,endothelial_like,69,-0.33811460213248384,-0.15561660166237806,True,True,True
KUL01,normal,enteric_glial_like,40,-0.026556255427759023,0.18319230758734217,True,True,True
KUL01,normal,fibroblast_like,701,1.2613513626754291,0.41374728441725644,True,True,True
KUL01,normal,mast_cells,14,-0.35359793091436115,-0.17621499875749227,True,False,False
KUL01,normal,normal_epithelial,172,-0.2876036739367842,-0.13319231177926966,True,True,True
KUL01,normal,other_myeloid,7,-0.1442744199734547,0.06001372779419699,False,False,False
KUL01,normal,pericyte_like,13,0.3012702408252244,0.12895860481576238,True,False,False
KUL01,normal,resident_like,148,-0.19367282229600366,0.014917304298124006,True,True,True
KUL01,normal,smooth_muscle_like,63,0.018281248698267222,0.07509153885269851,True,True,True
KUL01,tumor,B_cells,15,-0.23644194841101798,-0.020355397526476297,True,False,False
KUL01,tumor,C1QC_like_TAM,16,-0.09749582271188374,0.14176975671044298,True,False,False
KUL01,tumor,FCN1_inflammatory_monocyte_like,161,-0.0375389651908622,0.1514501570604416,True,True,True
KUL01,tumor,SPP1_like_TAM,156,0.035177905190355054,0.33367169658914136,True,True,True
KUL01,tumor,T_cells,306,-0.35020177402170827,-0.17169688839132521,True,True,True
KUL01,tumor,endothelial_like,101,-0.2585046405149504,-0.08395127811402231,True,True,True
KUL01,tumor,enteric_glial_like,4,0.44121304475378736,0.6519454129745641,False,False,False
KUL01,tumor,fibroblast_like,311,1.1941674079823004,0.47890211662196575,True,True,True
KUL01,tumor,mast_cells,8,-0.095009265420775,0.0932237762976537,False,False,False
KUL01,tumor,other_myeloid,6,0.06772980546729784,0.3375161994951139,False,False,False
KUL01,tumor,pericyte_like,37,-0.24223720094295,-0.06018168919432384,True,True,True
KUL01,tumor,resident_like,7,-0.35359793091436115,-0.1762149987574923,False,False,False
KUL01,tumor,smooth_muscle_like,64,-0.2796208070947637,-0.15699896172059102,True,True,True
KUL01,tumor,tumor_epithelial,730,-0.0310051831089867,-0.01323384847003564,True,True,True
KUL19,border,B_cells,1011,-0.3369765303446888,-0.1701494005843151,True,True,True
KUL19,border,C1QC_like_TAM,53,-0.19503399957993572,0.011054345943271853,True,True,True
KUL19,border,FCN1_inflammatory_monocyte_like,32,0.03132302369985628,0.09599995051717902,True,True,True
KUL19,border,SPP1_like_TAM,3,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL19,border,T_cells,1362,-0.3387277738776424,-0.1693469678940754,True,True,True
KUL19,border,border_epithelial,218,0.1040721643469309,-0.03313360122357014,True,True,True
KUL19,border,endothelial_like,154,0.08159385769043748,-0.044455991267483536,True,True,True
KUL19,border,enteric_glial_like,25,-0.35359793091436115,-0.1762149987574923,True,True,False
KUL19,border,fibroblast_like,248,1.0850784258041613,0.2966117855422604,True,True,True
KUL19,border,mast_cells,29,-0.0225094267153841,0.19689536130869273,True,True,False
KUL19,border,other_myeloid,28,0.008611648036918829,0.22261130808192345,True,True,False
KUL19,border,pericyte_like,17,-0.2311530434362433,-0.1444091462010103,True,False,False
KUL19,border,resident_like,30,-0.35359793091436115,-0.17621499875749233,True,True,True
KUL19,border,smooth_muscle_like,53,-0.14880245547486698,-0.09441750280016813,True,True,True
KUL19,normal,B_cells,472,-0.35359793091436115,-0.17621499875749227,True,True,True
KUL19,normal,C1QC_like_TAM,53,-0.04996854332177755,0.20084825220484684,True,True,True
KUL19,normal,FCN1_inflammatory_monocyte_like,59,-0.061589391843648034,-0.03450554962697445,True,True,True
KUL19,normal,T_cells,202,-0.35359793091436115,-0.1762149987574923,True,True,True
KUL19,normal,endothelial_like,50,-0.20515750902230345,-0.07313075555149988,True,True,True
KUL19,normal,enteric_glial_like,81,-0.2721413201120493,-0.08027596088694136,True,True,True
KUL19,normal,fibroblast_like,450,1.2559551970014273,0.40161289208827283,True,True,True
KUL19,normal,mast_cells,2,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL19,normal,normal_epithelial,287,-0.3440104327451712,-0.16622521920694938,True,True,True
KUL19,normal,other_myeloid,21,-0.1982821246886851,0.030410895251094305,True,True,False
KUL19,normal,pericyte_like,13,-0.35359793091436115,-0.17621499875749227,True,False,False
KUL19,normal,resident_like,128,-0.2570373583114777,-0.05958903644703518,True,True,True
KUL19,normal,smooth_muscle_like,57,-0.24823518481423143,-0.060641817698585274,True,True,True
KUL19,tumor,B_cells,537,-0.34042570396974653,-0.17088825643068697,True,True,True
KUL19,tumor,C1QC_like_TAM,129,-0.17828679174254117,-0.0041598002611477084,True,True,True
KUL19,tumor,FCN1_inflammatory_monocyte_like,35,-0.022824664836864034,0.22784559030609322,True,True,True
KUL19,tumor,SPP1_like_TAM,8,-0.12183246188472811,0.13211644800449596,False,False,False
KUL19,tumor,T_cells,1309,-0.34751716585925996,-0.17463548065137524,True,True,True
KUL19,tumor,endothelial_like,176,-0.11151227336902934,-0.1082809707862911,True,True,True
KUL19,tumor,enteric_glial_like,12,-0.35359793091436115,-0.17621499875749227,True,False,False
KUL19,tumor,fibroblast_like,189,0.8369558506097734,0.22325172752433076,True,True,True
KUL19,tumor,mast_cells,31,0.40778347439563206,0.7614203717762025,True,True,True
KUL19,tumor,other_myeloid,27,-0.15588811069502753,0.07234427395769111,True,True,False
KUL19,tumor,pericyte_like,28,-0.06846294110887594,0.02386860903011893,True,True,False
KUL19,tumor,resident_like,9,0.4179165868152818,0.07999712790576122,False,False,False
KUL19,tumor,smooth_muscle_like,64,-0.2572941496947767,-0.10451318560358815,True,True,True
KUL19,tumor,tumor_epithelial,574,0.004656398096128463,-0.08053125024636731,True,True,True
KUL21,border,B_cells,15,-0.33535340327841867,-0.15194321390087936,True,False,False
KUL21,border,C1QC_like_TAM,11,-0.35359793091436115,-0.1762149987574923,True,False,False
KUL21,border,FCN1_inflammatory_monocyte_like,136,-0.2295249687194354,-0.02997402737483179,True,True,True
KUL21,border,SPP1_like_TAM,9,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL21,border,T_cells,221,-0.35359793091436115,-0.17621499875749227,True,True,True
KUL21,border,border_epithelial,740,0.18447778076040425,0.022598353384294098,True,True,True
KUL21,border,endothelial_like,53,-0.20238920997194912,-0.06363217058026152,True,True,True
KUL21,border,fibroblast_like,349,1.1789483109741612,0.3501599392938088,True,True,True
KUL21,border,mast_cells,44,0.20900757087096786,0.5010256559562305,True,True,True
KUL21,border,other_myeloid,6,0.020725103925940087,0.24400860263552468,False,False,False
KUL21,border,pericyte_like,48,0.23965599534074997,0.08066154992183645,True,True,True
KUL21,border,resident_like,84,-0.2798539002267637,-0.09358013029586101,True,True,True
KUL21,border,smooth_muscle_like,25,-0.18921157469653516,-0.004931163208990595,True,True,False
KUL21,normal,B_cells,329,-0.35260533402675737,-0.17489448783027042,True,True,True
KUL21,normal,C1QC_like_TAM,18,0.17436222569275572,0.43891116536488767,True,False,False
KUL21,normal,FCN1_inflammatory_monocyte_like,30,0.0032662953183597945,0.2719637590173209,True,True,True
KUL21,normal,T_cells,507,-0.35359793091436115,-0.1762149987574923,True,True,True
KUL21,normal,endothelial_like,12,-0.35359793091436115,-0.17621499875749227,True,False,False
KUL21,normal,enteric_glial_like,5,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL21,normal,fibroblast_like,123,1.5383918744162621,0.5412594034101381,True,True,True
KUL21,normal,mast_cells,2,1.639372466104591,2.0906504494702656,False,False,False
KUL21,normal,normal_epithelial,249,-0.2995795286914847,-0.1601240068647118,True,True,True
KUL21,normal,other_myeloid,15,-0.275069681984147,-0.07174417872673654,True,False,False
KUL21,normal,pericyte_like,7,-0.35359793091436115,-0.1762149987574923,False,False,False
KUL21,normal,resident_like,30,-0.2785414599379319,-0.07636289230736054,True,True,True
KUL21,normal,smooth_muscle_like,13,-0.2868824292515951,-0.08745938198999878,True,False,False
KUL21,tumor,B_cells,104,-0.35359793091436115,-0.1762149987574923,True,True,True
KUL21,tumor,C1QC_like_TAM,2,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL21,tumor,FCN1_inflammatory_monocyte_like,139,-0.2881159258240871,-0.08910037615692451,True,True,True
KUL21,tumor,SPP1_like_TAM,9,0.15197842505423736,0.4554520882051451,False,False,False
KUL21,tumor,T_cells,226,-0.35359793091436115,-0.17621499875749227,True,True,True
KUL21,tumor,endothelial_like,99,-0.26734363840464725,-0.1263610699906686,True,True,True
KUL21,tumor,fibroblast_like,613,1.7704872492765051,0.5064806162766874,True,True,True
KUL21,tumor,mast_cells,27,0.18603877103995767,0.5416959382603472,True,True,False
KUL21,tumor,other_myeloid,10,-0.35359793091436115,-0.1762149987574923,True,False,False
KUL21,tumor,pericyte_like,51,0.18901358858883213,-0.0062312305351806966,True,True,True
KUL21,tumor,resident_like,84,-0.23267425595315558,-0.09347829197944299,True,True,True
KUL21,tumor,smooth_muscle_like,26,-0.3299387508383442,-0.14473977834358306,True,True,False
KUL21,tumor,tumor_epithelial,759,0.28214979425760306,0.03118869466832658,True,True,True
KUL28,border,B_cells,121,-0.33904716624600106,-0.1568572474044852,True,True,True
KUL28,border,C1QC_like_TAM,22,-0.14744861325807807,0.0980377517841836,True,True,False
KUL28,border,FCN1_inflammatory_monocyte_like,11,0.48430400845870175,0.9384959989301741,True,False,False
KUL28,border,SPP1_like_TAM,1,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL28,border,T_cells,19,-0.35359793091436115,-0.17621499875749225,True,False,False
KUL28,border,border_epithelial,17,-0.35359793091436115,-0.17621499875749227,True,False,False
KUL28,border,endothelial_like,70,-0.24208191782739982,-0.147247992106729,True,True,True
KUL28,border,enteric_glial_like,3,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL28,border,fibroblast_like,75,0.4461239602887133,0.19775918521570182,True,True,True
KUL28,border,mast_cells,12,1.2826194136219569,2.0005426656616088,True,False,False
KUL28,border,pericyte_like,53,-0.2548022389246176,-0.060238163473099446,True,True,True
KUL28,border,smooth_muscle_like,2,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL28,normal,B_cells,271,-0.35196452389059435,-0.17404197983065275,True,True,True
KUL28,normal,C1QC_like_TAM,5,-0.17593840288497323,0.06013608295325805,False,False,False
KUL28,normal,FCN1_inflammatory_monocyte_like,2,-0.35359793091436115,-0.17621499875749227,False,False,False
KUL28,normal,T_cells,124,-0.35359793091436115,-0.17621499875749225,True,True,True
KUL28,normal,endothelial_like,55,-0.31391269891534923,-0.16590650271795024,True,True,True
KUL28,normal,enteric_glial_like,78,-0.35359793091436115,-0.17621499875749233,True,True,True
KUL28,normal,fibroblast_like,284,0.5475946586630245,0.22985639252783266,True,True,True
KUL28,normal,mast_cells,19,0.13174129940495577,0.46946076856560043,True,False,False
KUL28,normal,normal_epithelial,20,-0.35359793091436115,-0.17621499875749225,True,True,False
KUL28,normal,other_myeloid,2,0.6186392905437773,1.117210248511397,False,False,False
