donor_id,subtype,n_cells,PTGER4_mean,PTGER4_detection_fraction,PTGER4_expressing_cell_mean,PTGER4_pseudobulk,rank_mean,rank_detection,rank_expressing_cell_mean,rank_pseudobulk
KUL01,C1QC_like_TAM,16,0.0,0.0,,0.0,3,3,,3
KUL01,FCN1_inflammatory_monocyte_like,161,0.1672576892377285,0.14906832298136646,1.122020331969762,0.3150648125845944,1,1,1.0,1
KUL01,SPP1_like_TAM,156,0.1026994633316263,0.10897435897435898,0.9424186046902177,0.17832458587785727,2,2,2.0,2
KUL01,resident_like,7,0.0,0.0,,0.0,3,3,,3
KUL19,C1QC_like_TAM,129,0.18923741233080454,0.27906976744186046,0.6781007275187164,0.25434481794804925,2,1,4.0,3
KUL19,FCN1_inflammatory_monocyte_like,35,0.0523188641719899,0.05714285714285714,0.9155801230098233,0.08579294255760044,4,4,2.0,4
KUL19,SPP1_like_TAM,8,0.19875995570318197,0.25,0.7950398228127279,0.2999333719975985,1,2,3.0,1
KUL19,resident_like,9,0.14331758350710322,0.1111111111111111,1.289858251563929,0.25655869689909405,3,3,1.0,2
KUL21,C1QC_like_TAM,2,0.28592613803432404,0.5,0.5718522760686481,0.3262578921700866,1,1,3.0,2
KUL21,FCN1_inflammatory_monocyte_like,139,0.08919908048620533,0.06474820143884892,1.3776302430647267,0.21746586879160684,3,4,1.0,3
KUL21,SPP1_like_TAM,9,0.060547295923607684,0.1111111111111111,0.5449256633124692,0.07742185937384678,4,3,4.0,4
KUL21,resident_like,84,0.2501062143527456,0.2261904761904762,1.1057327371384542,0.4362146627590246,2,2,2.0,1
KUL28,C1QC_like_TAM,26,0.033953459557922984,0.038461538461538464,0.8827899485059976,0.05308989549323906,2,2,2.0,2
KUL28,FCN1_inflammatory_monocyte_like,14,0.23005451916764663,0.14285714285714285,1.6103816341735264,0.5232338065594888,1,1,1.0,1
KUL28,SPP1_like_TAM,12,0.0,0.0,,0.0,3,3,,3
KUL28,resident_like,4,0.0,0.0,,0.0,3,3,,3
KUL30,C1QC_like_TAM,30,0.31109527580059476,0.2,1.5554763790029738,0.7563938837719746,2,2,1.0,1
KUL30,FCN1_inflammatory_monocyte_like,31,0.3525945631913316,0.25806451612903225,1.36630393236641,0.569009285442787,1,1,2.0,2
KUL30,resident_like,1,0.0,0.0,,0.0,3,3,,3
KUL31,C1QC_like_TAM,5,0.3147536292524335,0.4,0.7868840731310838,0.4208615475328473,1,1,1.0,1
