donor_id,threshold,score,analysis_group,n_cells,score_value,rank,rank_percentile,n_candidate_groups
KUL19,10,Score_C,fibroblast_like,189,0.4975084288534933,2,0.8333333333333334,7
KUL19,10,Score_C,C1QC_like_TAM,129,0.37424096863110207,3,0.6666666666666667,7
KUL19,10,Score_C,other_myeloid,27,0.2708231546545654,4,0.5,7
KUL19,10,Score_C,tumor_epithelial,574,0.09710732000106553,5,0.33333333333333337,7
KUL19,10,Score_C,FCN1_inflammatory_monocyte_like,35,-0.03577645864344703,6,0.16666666666666663,7
KUL19,10,Score_C,endothelial_like,176,-0.0614112031572181,7,0.0,7
KUL21,10,Score_C,fibroblast_like,613,0.8641117166181184,1,1.0,7
KUL21,10,Score_C,mast_cells,27,0.5038442107499775,2,0.8333333333333334,7
KUL21,10,Score_C,tumor_epithelial,759,0.2856436739617133,3,0.6666666666666667,7
KUL21,10,Score_C,other_myeloid,10,0.14165193167296486,4,0.5,7
KUL21,10,Score_C,resident_like,84,0.026246384784356567,5,0.33333333333333337,7
KUL21,10,Score_C,endothelial_like,99,-0.14349380297286835,6,0.16666666666666663,7
KUL21,10,Score_C,FCN1_inflammatory_monocyte_like,139,-0.19448642761879573,7,0.0,7
KUL28,10,Score_C,SPP1_like_TAM,12,1.308646401657551,1,1.0,7
KUL28,10,Score_C,mast_cells,10,1.0306765587637285,2,0.8333333333333334,7
KUL28,10,Score_C,tumor_epithelial,40,0.30915947492103324,3,0.6666666666666667,7
KUL28,10,Score_C,C1QC_like_TAM,26,0.2132794763176141,4,0.5,7
KUL28,10,Score_C,endothelial_like,127,-0.12569103284308042,5,0.33333333333333337,7
KUL28,10,Score_C,fibroblast_like,43,-0.21168555475987746,6,0.16666666666666663,7
KUL28,10,Score_C,FCN1_inflammatory_monocyte_like,14,-0.24624223888015373,7,0.0,7
KUL30,10,Score_C,fibroblast_like,126,0.6361777385754277,1,1.0,5
KUL30,10,Score_C,FCN1_inflammatory_monocyte_like,31,0.07231804821973946,2,0.75,5
KUL30,10,Score_C,tumor_epithelial,68,0.055828139231055195,3,0.5,5
KUL30,10,Score_C,C1QC_like_TAM,30,0.03644402885010963,4,0.25,5
KUL30,10,Score_C,endothelial_like,111,-0.23282338783601494,5,0.0,5
KUL31,10,Score_C,tumor_epithelial,41,0.06391122151911544,1,1.0,1
KUL01,10,Score_D,fibroblast_like,311,0.25622953053948305,1,1.0,6
KUL01,10,Score_D,FCN1_inflammatory_monocyte_like,161,0.2279184942401794,2,0.8,6
KUL01,10,Score_D,SPP1_like_TAM,156,0.18529462052163326,3,0.6,6
KUL01,10,Score_D,C1QC_like_TAM,16,0.17416956412662293,4,0.4,6
KUL01,10,Score_D,endothelial_like,101,0.12858123164028898,5,0.19999999999999996,6
KUL01,10,Score_D,tumor_epithelial,730,0.10946754853092815,6,0.0,6
KUL19,10,Score_D,mast_cells,31,0.4285771697066947,1,1.0,7
KUL19,10,Score_D,C1QC_like_TAM,129,0.3096479864314132,2,0.8333333333333334,7
KUL19,10,Score_D,other_myeloid,27,0.2643624134022081,3,0.6666666666666667,7
KUL19,10,Score_D,FCN1_inflammatory_monocyte_like,35,0.255034659762152,4,0.5,7
KUL19,10,Score_D,fibroblast_like,189,0.15764918644478004,5,0.33333333333333337,7
KUL19,10,Score_D,endothelial_like,176,0.0,6,0.16666666666666663,7
KUL19,10,Score_D,tumor_epithelial,574,0.0,6,0.16666666666666663,7
KUL21,10,Score_D,fibroblast_like,613,0.19540534871464066,1,1.0,7
KUL21,10,Score_D,resident_like,84,0.15816096928426582,2,0.8333333333333334,7
KUL21,10,Score_D,tumor_epithelial,759,0.08018546385680793,3,0.6666666666666667,7
KUL21,10,Score_D,FCN1_inflammatory_monocyte_like,139,0.0,4,0.5,7
KUL21,10,Score_D,endothelial_like,99,0.0,4,0.5,7
KUL21,10,Score_D,mast_cells,27,0.0,4,0.5,7
KUL21,10,Score_D,other_myeloid,10,0.0,4,0.5,7
KUL28,10,Score_D,C1QC_like_TAM,26,0.4555026064694253,1,1.0,7
KUL28,10,Score_D,fibroblast_like,43,0.2360336421130232,2,0.8333333333333334,7
KUL28,10,Score_D,FCN1_inflammatory_monocyte_like,14,0.0,3,0.6666666666666667,7
KUL28,10,Score_D,SPP1_like_TAM,12,0.0,3,0.6666666666666667,7
KUL28,10,Score_D,endothelial_like,127,0.0,3,0.6666666666666667,7
KUL28,10,Score_D,mast_cells,10,0.0,3,0.6666666666666667,7
KUL28,10,Score_D,tumor_epithelial,40,0.0,3,0.6666666666666667,7
KUL30,10,Score_D,C1QC_like_TAM,30,0.269794306372993,1,1.0,5
KUL30,10,Score_D,fibroblast_like,126,0.2534836872708124,2,0.75,5
KUL30,10,Score_D,tumor_epithelial,68,0.060163423382656525,3,0.5,5
KUL30,10,Score_D,endothelial_like,111,0.05800387225128201,4,0.25,5
KUL30,10,Score_D,FCN1_inflammatory_monocyte_like,31,0.0,5,0.0,5
KUL31,10,Score_D,tumor_epithelial,41,0.0,1,1.0,1
KUL01,20,Score_A,fibroblast_like,311,1.1941674079823004,1,1.0,5
KUL01,20,Score_A,SPP1_like_TAM,156,0.035177905190355054,2,0.75,5
