donor_id,C1QC_n_cells,SPP1_n_cells,C1QC_PTGER4_mean,SPP1_PTGER4_mean,other_macrophage_PTGER4_mean,Delta1_C1QC_minus_SPP1,Delta2_C1QC_minus_other_mean,Delta1_valid,Delta2_valid,C1QC_top1_mean,C1QC_top2_mean,C1QC_higher_than_SPP1,C1QC_higher_than_other_mean,C1QC_rank_mean,C1QC_rank_pseudobulk
KUL01,16,156,0.0,0.1026994633316263,0.08998571752311828,-0.1026994633316263,-0.08998571752311828,True,True,False,False,False,False,3,3
KUL19,129,8,0.18923741233080454,0.19875995570318197,0.1314654677940917,-0.009522543372377429,0.05777194453671283,True,True,False,True,False,True,2,3
KUL21,2,9,0.28592613803432404,0.060547295923607684,0.1332841969208529,0.22537884211071635,0.15264194111347115,True,True,True,True,True,True,1,2
KUL28,26,12,0.033953459557922984,0.0,0.07668483972254887,0.033953459557922984,-0.04273138016462589,True,True,False,True,True,False,2,2
KUL30,30,0,0.31109527580059476,,0.1762972815956658,,0.13479799420492897,False,True,False,True,False,True,2,1
KUL31,5,0,0.3147536292524335,,,,,False,False,True,True,False,False,1,1
