donor_id,threshold,score,source_group,source_n_cells,C1QC_n_cells,source_synthesis_score,C1QC_PTGER4_mean,C1QC_PTGER4_detection_fraction,C1QC_PTGER4_pseudobulk,Axis_1_mean,Axis_2_detection,Axis_3_pseudobulk,coverage
KUL19,10,Score_D,other_myeloid,27,129,0.2643624134022081,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.05002725902976027,0.07377555722852319,0.06723920990909156,True
KUL28,10,Score_A,mast_cells,10,26,1.1892444631051757,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.040378963782525416,0.045740171657891376,0.06313686426216697,True
KUL28,10,Score_B,mast_cells,10,26,1.4360871092607672,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.048760125585939985,0.05523411958695259,0.07624171454984191,True
KUL28,10,Score_C,mast_cells,10,26,1.0306765587637285,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.03499503485528349,0.03964140610629725,0.054718510792097615,True
KUL28,10,Score_D,mast_cells,10,26,0.0,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.0,0.0,0.0,True
KUL28,10,Score_A,tumor_epithelial,40,26,0.21780906231651764,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.007395371188713009,0.008377271627558372,0.011563460355864315,True
KUL28,10,Score_B,tumor_epithelial,40,26,-0.006412800778022304,0.033953459557922984,0.038461538461538464,0.05308989549323906,-0.00021773677186959735,-0.00024664618377008866,-0.00034045492312416626,True
KUL28,10,Score_C,tumor_epithelial,40,26,0.30915947492103324,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.010497033728680006,0.011890749035424355,0.016413244214302316,True
KUL28,10,Score_D,tumor_epithelial,40,26,0.0,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.0,0.0,0.0,True
KUL28,10,Score_A,SPP1_like_TAM,12,26,3.1899894082354288,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.1083111763627243,0.12269190031674726,0.1693562043077584,True
KUL28,10,Score_B,SPP1_like_TAM,12,26,1.577116484779337,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.05354856078408888,0.06065832633766682,0.08372894935759956,True
KUL28,10,Score_C,SPP1_like_TAM,12,26,1.308646401657551,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.04443307267430109,0.05033255390990581,0.06947590070160273,True
KUL28,10,Score_D,SPP1_like_TAM,12,26,0.0,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.0,0.0,0.0,True
KUL28,10,Score_A,C1QC_like_TAM,26,26,0.05009792707553993,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.00170099794089512,0.001926843349059228,0.0026596937128683263,True
KUL28,10,Score_B,C1QC_like_TAM,26,26,0.39837896232339925,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.01352634398597486,0.015322267781669202,0.021149897476454287,True
KUL28,10,Score_C,C1QC_like_TAM,26,26,0.2132794763176141,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.007241576073685103,0.008203056781446696,0.011322985108554888,True
KUL28,10,Score_D,C1QC_like_TAM,26,26,0.4555026064694253,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.015465889327288141,0.01751933101805482,0.024182585774359788,True
KUL28,10,Score_A,FCN1_inflammatory_monocyte_like,14,26,0.17375563272219496,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.005899604848594366,0.006682908950853653,0.00922466838258296,True
KUL28,10,Score_B,FCN1_inflammatory_monocyte_like,14,26,-0.23262378052860327,0.033953459557922984,0.038461538461538464,0.05308989549323906,-0.007898382124389083,-0.008947068481869358,-0.012349972197505726,True
KUL28,10,Score_C,FCN1_inflammatory_monocyte_like,14,26,-0.24624223888015373,0.033953459557922984,0.038461538461538464,0.05308989549323906,-0.00836077589926971,-0.009470855341544375,-0.01307297472816857,True
KUL28,10,Score_D,FCN1_inflammatory_monocyte_like,14,26,0.0,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.0,0.0,0.0,True
KUL28,10,Score_A,fibroblast_like,43,26,0.23856317165779872,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.008100045000892907,0.009175506602223028,0.012665293851848185,True
KUL28,10,Score_B,fibroblast_like,43,26,-0.07495915573676451,0.033953459557922984,0.038461538461538464,0.05308989549323906,-0.0025451226628042845,-0.00288304445141402,-0.003979573744326259,True
KUL28,10,Score_C,fibroblast_like,43,26,-0.21168555475987746,0.033953459557922984,0.038461538461538464,0.05308989549323906,-0.00718745692253599,-0.008141752106149133,-0.011238363979630229,True
KUL28,10,Score_D,fibroblast_like,43,26,0.2360336421130232,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.0080141587217938,0.009078217004347047,0.012531001392668991,True
KUL28,10,Score_A,endothelial_like,127,26,-0.10400966337250085,0.033953459557922984,0.038461538461538464,0.05308989549323906,-0.003531487898951391,-0.00400037166817311,-0.005521862158733045,True
KUL28,10,Score_B,endothelial_like,127,26,-0.1663480253739829,0.033953459557922984,0.038461538461538464,0.05308989549323906,-0.005648090952075875,-0.00639800097592242,-0.008831399282611433,True
KUL28,10,Score_C,endothelial_like,127,26,-0.12569103284308042,0.033953459557922984,0.038461538461538464,0.05308989549323906,-0.0042676454004311,-0.004834270493964632,-0.006672923798076417,True
KUL28,10,Score_D,endothelial_like,127,26,0.0,0.033953459557922984,0.038461538461538464,0.05308989549323906,0.0,0.0,0.0,True
KUL30,10,Score_A,tumor_epithelial,68,30,-0.22903644717605212,0.31109527580059476,0.2,0.7563938837719746,-0.07125215670262229,-0.045807289435210424,-0.17324176780482878,True
KUL30,10,Score_B,tumor_epithelial,68,30,-0.0877793610086921,0.31109527580059476,0.2,0.7563938837719746,-0.027307744522599042,-0.01755587220173842,-0.06639577178838685,True
KUL30,10,Score_C,tumor_epithelial,68,30,0.055828139231055195,0.31109527580059476,0.2,0.7563938837719746,0.01736787037151912,0.01116562784621104,0.04222806305674038,True
KUL30,10,Score_D,tumor_epithelial,68,30,0.060163423382656525,0.31109527580059476,0.2,0.7563938837719746,0.018716556790335483,0.012032684676531305,0.0455072454734252,True
KUL30,10,Score_A,C1QC_like_TAM,30,30,0.08075066583360978,0.31109527580059476,0.2,0.7563938837719746,0.025121150658588498,0.016150133166721956,0.06107930974705699,True
KUL30,10,Score_B,C1QC_like_TAM,30,30,-0.05612618051146795,0.31109527580059476,0.2,0.7563938837719746,-0.017460589605849088,-0.01122523610229359,-0.04245349965835615,True
KUL30,10,Score_C,C1QC_like_TAM,30,30,0.03644402885010963,0.31109527580059476,0.2,0.7563938837719746,0.011337565206409689,0.007288805770021927,0.027566040522232313,True
KUL30,10,Score_D,C1QC_like_TAM,30,30,0.269794306372993,0.31109527580059476,0.2,0.7563938837719746,0.08393173415053642,0.053958861274598605,0.20407076321703418,True
KUL30,10,Score_A,FCN1_inflammatory_monocyte_like,31,30,0.3738868572812331,0.31109527580059476,0.2,0.7563938837719746,0.11631443498412282,0.07477737145624662,0.2828057320702499,True
KUL30,10,Score_B,FCN1_inflammatory_monocyte_like,31,30,0.22813365777688147,0.31109527580059476,0.2,0.7563938837719746,0.07097130318549744,0.0456267315553763,0.1725589034249619,True
KUL30,10,Score_C,FCN1_inflammatory_monocyte_like,31,30,0.07231804821973946,0.31109527580059476,0.2,0.7563938837719746,0.022497803156280558,0.014463609643947892,0.05470092935973766,True
KUL30,10,Score_D,FCN1_inflammatory_monocyte_like,31,30,0.0,0.31109527580059476,0.2,0.7563938837719746,0.0,0.0,0.0,True
KUL30,10,Score_A,fibroblast_like,126,30,1.1122273021880338,0.31109527580059476,0.2,0.7563938837719746,0.3460086593271378,0.22244546043760677,0.8412819287392325,True
KUL30,10,Score_B,fibroblast_like,126,30,0.7787844638013008,0.31109527580059476,0.2,0.7563938837719746,0.24227616755548398,0.15575689276026017,0.5890678051959407,True
KUL30,10,Score_C,fibroblast_like,126,30,0.6361777385754277,0.31109527580059476,0.2,0.7563938837719746,0.19791188904032136,0.12723554771508555,0.48120095045033967,True
KUL30,10,Score_D,fibroblast_like,126,30,0.2534836872708124,0.31109527580059476,0.2,0.7563938837719746,0.07885757760246509,0.05069673745416248,0.1917335106876104,True
KUL30,10,Score_A,endothelial_like,111,30,-0.18945077826298706,0.31109527580059476,0.2,0.7563938837719746,-0.058937242114361285,-0.037890155652597415,-0.14329940995396395,True
KUL30,10,Score_B,endothelial_like,111,30,-0.2607517239107355,0.31109527580059476,0.2,0.7563938837719746,-0.0811186294654908,-0.0521503447821471,-0.19723100914907885,True
KUL30,10,Score_C,endothelial_like,111,30,-0.23282338783601494,0.31109527580059476,0.2,0.7563938837719746,-0.07243025605167391,-0.04656467756720299,-0.17610618655823204,True
KUL30,10,Score_D,endothelial_like,111,30,0.05800387225128201,0.31109527580059476,0.2,0.7563938837719746,0.018044730635515042,0.011600774450256403,0.04387377420596066,True
KUL19,20,Score_A,mast_cells,31,129,0.40778347439563206,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.0771678894858943,0.1138000393662229,0.10371761355738005,True
KUL19,20,Score_B,mast_cells,31,129,0.7006781470403749,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.1325945194226635,0.19553808754615112,0.17821385574916063,True
KUL19,20,Score_C,mast_cells,31,129,0.6004730494198526,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.11363196604660021,0.16757387425670303,0.1527272084374024,True
KUL19,20,Score_D,mast_cells,31,129,0.4285771697066947,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.08110283457935498,0.11960293108093804,0.10900638220573947,True
KUL19,20,Score_A,tumor_epithelial,574,129,0.004656398096128463,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.0008811647264934352,0.0012994599338032918,0.001184330726053437,True
KUL19,20,Score_B,tumor_epithelial,574,129,-0.047380475359144025,0.18923741233080454,0.27906976744186046,0.25434481794804925,-0.008966158551967862,-0.013222458239761124,-0.01205097837951352,True
KUL19,20,Score_C,tumor_epithelial,574,129,0.09710732000106553,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.01837633795538102,0.027099717209599684,0.024698743627093976,True
KUL19,20,Score_D,tumor_epithelial,574,129,0.0,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.0,0.0,0.0,True
KUL19,20,Score_A,C1QC_like_TAM,129,129,-0.17828679174254117,0.18923741233080454,0.27906976744186046,0.25434481794804925,-0.03373853112211954,-0.049754453509546374,-0.045346321588298405,True
KUL19,20,Score_B,C1QC_like_TAM,129,129,0.2958076164570021,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.05597786788606619,0.08255096273218664,0.07523713435540258,True
KUL19,20,Score_C,C1QC_like_TAM,129,129,0.37424096863110207,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.07082039249192355,0.10443934008309826,0.09518625103517926,True
