threshold,score,source_group,n_donors_with_group,top1_donors,top2_donors,top1_fraction,top2_fraction,median_rank,mean_rank,median_rank_percentile,mean_score
20,Score_B,C1QC_like_TAM,3,1,1,0.3333333333333333,0.3333333333333333,3.0,2.6666666666666665,0.5,0.21268679942297783
20,Score_B,FCN1_inflammatory_monocyte_like,4,0,1,0.0,0.25,4.0,4.0,0.4166666666666667,0.01939709938001568
20,Score_B,resident_like,1,0,0,0.0,0.0,4.0,4.0,0.4,0.015227046307481442
20,Score_B,fibroblast_like,5,3,4,0.6,0.8,1.0,1.6,1.0,0.6329224943883316
20,Score_B,endothelial_like,5,0,0,0.0,0.0,5.0,5.2,0.0,-0.17637216103491063
20,Score_B,other_myeloid,1,0,0,0.0,0.0,3.0,3.0,0.6666666666666667,0.35001097315921076
20,Score_C,mast_cells,2,1,2,0.5,1.0,1.5,1.5,0.9,0.5521586300849151
20,Score_C,tumor_epithelial,6,2,3,0.3333333333333333,0.5,2.5,2.5,0.675,0.1845018014386571
20,Score_C,SPP1_like_TAM,1,0,0,0.0,0.0,3.0,3.0,0.5,0.18859560820979437
20,Score_C,C1QC_like_TAM,3,0,1,0.0,0.3333333333333333,3.0,3.0,0.6666666666666667,0.20798815793294192
20,Score_C,FCN1_inflammatory_monocyte_like,4,0,1,0.0,0.25,5.0,4.5,0.20833333333333331,-0.015559908314676966
20,Score_C,resident_like,1,0,0,0.0,0.0,4.0,4.0,0.4,0.026246384784356567
20,Score_C,fibroblast_like,5,3,4,0.6,0.8,1.0,1.8,1.0,0.5350821931362381
20,Score_C,endothelial_like,5,0,0,0.0,0.0,5.0,5.0,0.0,-0.13566859092865835
20,Score_C,other_myeloid,1,0,0,0.0,0.0,4.0,4.0,0.5,0.2708231546545654
20,Score_D,mast_cells,2,1,1,0.5,0.5,2.5,2.5,0.7,0.21428858485334734
20,Score_D,tumor_epithelial,6,1,1,0.16666666666666666,0.16666666666666666,3.0,3.5,0.4166666666666667,0.04163607262839877
20,Score_D,SPP1_like_TAM,1,0,0,0.0,0.0,3.0,3.0,0.5,0.18529462052163326
20,Score_D,C1QC_like_TAM,3,2,3,0.6666666666666666,1.0,1.0,1.3333333333333333,1.0,0.34498163309127716
20,Score_D,FCN1_inflammatory_monocyte_like,4,0,1,0.0,0.25,4.0,3.75,0.45,0.12073828850058285
20,Score_D,resident_like,1,0,1,0.0,1.0,2.0,2.0,0.8,0.15816096928426582
20,Score_D,fibroblast_like,5,2,4,0.4,0.8,2.0,2.2,0.75,0.21976027901654788
20,Score_D,endothelial_like,5,0,0,0.0,0.0,4.0,4.2,0.25,0.0373170207783142
20,Score_D,other_myeloid,1,0,0,0.0,0.0,3.0,3.0,0.6666666666666667,0.2643624134022081
30,Score_A,mast_cells,1,0,1,0.0,1.0,2.0,2.0,0.8,0.40778347439563206
30,Score_A,tumor_epithelial,6,1,3,0.16666666666666666,0.5,2.5,2.6666666666666665,0.55,-0.006188086218814129
30,Score_A,SPP1_like_TAM,1,0,1,0.0,1.0,2.0,2.0,0.75,0.035177905190355054
30,Score_A,C1QC_like_TAM,2,0,0,0.0,0.0,4.5,4.5,0.25,-0.048768062954465695
30,Score_A,FCN1_inflammatory_monocyte_like,4,0,1,0.0,0.25,4.0,3.75,0.325,0.006351825357354943
30,Score_A,resident_like,1,0,0,0.0,0.0,3.0,3.0,0.5,-0.23267425595315558
30,Score_A,fibroblast_like,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0304801963428822
30,Score_A,endothelial_like,5,0,0,0.0,0.0,4.0,4.2,0.19999999999999996,-0.186164198784823
30,Score_B,mast_cells,1,1,1,1.0,1.0,1.0,1.0,1.0,0.7006781470403749
30,Score_B,tumor_epithelial,6,2,3,0.3333333333333333,0.5,3.0,2.8333333333333335,0.5,0.026643505733901323
30,Score_B,SPP1_like_TAM,1,0,1,0.0,1.0,2.0,2.0,0.75,0.2041652819263912
30,Score_B,C1QC_like_TAM,2,0,0,0.0,0.0,3.0,3.0,0.55,0.11984071797276707
30,Score_B,FCN1_inflammatory_monocyte_like,4,0,1,0.0,0.25,3.5,3.5,0.45,0.01939709938001568
30,Score_B,resident_like,1,0,0,0.0,0.0,3.0,3.0,0.5,0.015227046307481442
30,Score_B,fibroblast_like,5,3,5,0.6,1.0,1.0,1.4,1.0,0.6329224943883316
30,Score_B,endothelial_like,5,0,0,0.0,0.0,5.0,4.6,0.0,-0.17637216103491063
30,Score_C,mast_cells,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6004730494198526
30,Score_C,tumor_epithelial,6,2,4,0.3333333333333333,0.6666666666666666,2.0,2.1666666666666665,0.75,0.1845018014386571
30,Score_C,SPP1_like_TAM,1,0,0,0.0,0.0,3.0,3.0,0.5,0.18859560820979437
30,Score_C,C1QC_like_TAM,2,0,0,0.0,0.0,3.5,3.5,0.425,0.20534249874060584
30,Score_C,FCN1_inflammatory_monocyte_like,4,0,1,0.0,0.25,4.5,4.0,0.22499999999999998,-0.015559908314676966
30,Score_C,resident_like,1,0,0,0.0,0.0,3.0,3.0,0.5,0.026246384784356567
30,Score_C,fibroblast_like,5,3,4,0.6,0.8,1.0,1.6,1.0,0.5350821931362381
30,Score_C,endothelial_like,5,0,1,0.0,0.2,5.0,4.4,0.0,-0.13566859092865835
30,Score_D,mast_cells,1,1,1,1.0,1.0,1.0,1.0,1.0,0.4285771697066947
30,Score_D,tumor_epithelial,6,1,2,0.16666666666666666,0.3333333333333333,3.0,3.1666666666666665,0.5,0.04163607262839877
30,Score_D,SPP1_like_TAM,1,0,0,0.0,0.0,3.0,3.0,0.5,0.18529462052163326
30,Score_D,C1QC_like_TAM,2,1,2,0.5,1.0,1.5,1.5,0.9,0.28972114640220314
30,Score_D,FCN1_inflammatory_monocyte_like,4,0,1,0.0,0.25,3.5,3.5,0.425,0.12073828850058285
30,Score_D,resident_like,1,0,1,0.0,1.0,2.0,2.0,0.75,0.15816096928426582
30,Score_D,fibroblast_like,5,3,4,0.6,0.8,1.0,1.8,1.0,0.21976027901654788
30,Score_D,endothelial_like,5,0,1,0.0,0.2,4.0,3.8,0.25,0.0373170207783142
