threshold,score,source_group,n_donors_with_group,top1_donors,top2_donors,top1_fraction,top2_fraction,median_rank,mean_rank,median_rank_percentile,mean_score,analysis_type,n_cells_total,median_score,donor_id,n_cells,eligible,Score_A_pseudobulk,Score_B_pseudobulk,Score_C_pseudobulk,Score_D_pseudobulk
30,Score_B,FCN1_inflammatory_monocyte_like,4.0,0.0,1.0,0.0,0.25,3.5,3.5,0.45,0.01939709938001568,source_rank,,,,,,,,,
30,Score_B,resident_like,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.015227046307481442,source_rank,,,,,,,,,
30,Score_B,fibroblast_like,5.0,3.0,5.0,0.6,1.0,1.0,1.4,1.0,0.6329224943883316,source_rank,,,,,,,,,
30,Score_B,endothelial_like,5.0,0.0,0.0,0.0,0.0,5.0,4.6,0.0,-0.17637216103491063,source_rank,,,,,,,,,
30,Score_C,mast_cells,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6004730494198526,source_rank,,,,,,,,,
30,Score_C,tumor_epithelial,6.0,2.0,4.0,0.3333333333333333,0.6666666666666666,2.0,2.1666666666666665,0.75,0.1845018014386571,source_rank,,,,,,,,,
30,Score_C,SPP1_like_TAM,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.18859560820979437,source_rank,,,,,,,,,
30,Score_C,C1QC_like_TAM,2.0,0.0,0.0,0.0,0.0,3.5,3.5,0.425,0.20534249874060584,source_rank,,,,,,,,,
30,Score_C,FCN1_inflammatory_monocyte_like,4.0,0.0,1.0,0.0,0.25,4.5,4.0,0.22499999999999998,-0.015559908314676966,source_rank,,,,,,,,,
30,Score_C,resident_like,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.026246384784356567,source_rank,,,,,,,,,
30,Score_C,fibroblast_like,5.0,3.0,4.0,0.6,0.8,1.0,1.6,1.0,0.5350821931362381,source_rank,,,,,,,,,
30,Score_C,endothelial_like,5.0,0.0,1.0,0.0,0.2,5.0,4.4,0.0,-0.13566859092865835,source_rank,,,,,,,,,
30,Score_D,mast_cells,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4285771697066947,source_rank,,,,,,,,,
30,Score_D,tumor_epithelial,6.0,1.0,2.0,0.16666666666666666,0.3333333333333333,3.0,3.1666666666666665,0.5,0.04163607262839877,source_rank,,,,,,,,,
30,Score_D,SPP1_like_TAM,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.18529462052163326,source_rank,,,,,,,,,
30,Score_D,C1QC_like_TAM,2.0,1.0,2.0,0.5,1.0,1.5,1.5,0.9,0.28972114640220314,source_rank,,,,,,,,,
30,Score_D,FCN1_inflammatory_monocyte_like,4.0,0.0,1.0,0.0,0.25,3.5,3.5,0.425,0.12073828850058285,source_rank,,,,,,,,,
30,Score_D,resident_like,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.75,0.15816096928426582,source_rank,,,,,,,,,
30,Score_D,fibroblast_like,5.0,3.0,4.0,0.6,0.8,1.0,1.8,1.0,0.21976027901654788,source_rank,,,,,,,,,
30,Score_D,endothelial_like,5.0,0.0,1.0,0.0,0.2,4.0,3.8,0.25,0.0373170207783142,source_rank,,,,,,,,,
10,Score_A,mast_cells,3.0,,,,,,,,0.5943555695135885,group_score,68.0,0.40778347439563206,,,,,,,
10,Score_A,tumor_epithelial,6.0,,,,,,,,-0.006188086218814129,group_score,2212.0,-0.01317439250642912,,,,,,,
10,Score_A,SPP1_like_TAM,2.0,,,,,,,,1.612583656712892,group_score,168.0,1.612583656712892,,,,,,,
10,Score_A,C1QC_like_TAM,4.0,,,,,,,,-0.03623350538631881,group_score,201.0,-0.023698947818171907,,,,,,,
10,Score_A,FCN1_inflammatory_monocyte_like,5.0,,,,,,,,0.039832586830322946,group_score,380.0,-0.022824664836864034,,,,,,,
10,Score_A,resident_like,1.0,,,,,,,,-0.23267425595315558,group_score,84.0,-0.23267425595315558,,,,,,,
10,Score_A,fibroblast_like,5.0,,,,,,,,1.0304801963428822,group_score,1282.0,1.1122273021880338,,,,,,,
10,Score_A,endothelial_like,5.0,,,,,,,,-0.186164198784823,group_score,614.0,-0.18945077826298706,,,,,,,
10,Score_A,other_myeloid,2.0,,,,,,,,-0.25474302080469435,group_score,37.0,-0.25474302080469435,,,,,,,
10,Score_B,mast_cells,3.0,,,,,,,,0.8793950991282579,group_score,68.0,0.7006781470403749,,,,,,,
10,Score_B,tumor_epithelial,6.0,,,,,,,,0.026643505733901323,group_score,2212.0,-0.026896638068583164,,,,,,,
10,Score_B,SPP1_like_TAM,2.0,,,,,,,,0.8906408833528642,group_score,168.0,0.8906408833528642,,,,,,,
10,Score_B,C1QC_like_TAM,4.0,,,,,,,,0.10280088280055528,group_score,201.0,0.11984071797276707,,,,,,,
10,Score_B,FCN1_inflammatory_monocyte_like,5.0,,,,,,,,-0.031007076601708112,group_score,380.0,0.06323385267552104,,,,,,,
10,Score_B,resident_like,1.0,,,,,,,,0.015227046307481442,group_score,84.0,0.015227046307481442,,,,,,,
10,Score_B,fibroblast_like,5.0,,,,,,,,0.6329224943883316,group_score,1282.0,0.7787844638013008,,,,,,,
10,Score_B,endothelial_like,5.0,,,,,,,,-0.17637216103491063,group_score,614.0,-0.1663480253739829,,,,,,,
10,Score_B,other_myeloid,2.0,,,,,,,,0.24709733338458156,group_score,37.0,0.24709733338458156,,,,,,,
10,Score_C,mast_cells,3.0,,,,,,,,0.7116646063111863,group_score,68.0,0.6004730494198526,,,,,,,
10,Score_C,tumor_epithelial,6.0,,,,,,,,0.1845018014386571,group_score,2212.0,0.19137549698138942,,,,,,,
10,Score_C,SPP1_like_TAM,2.0,,,,,,,,0.7486210049336727,group_score,168.0,0.7486210049336727,,,,,,,
10,Score_C,C1QC_like_TAM,4.0,,,,,,,,0.09133514365273025,group_score,201.0,0.12486175258386187,,,,,,,
10,Score_C,FCN1_inflammatory_monocyte_like,5.0,,,,,,,,-0.061696374427772316,group_score,380.0,-0.03577645864344703,,,,,,,
10,Score_C,resident_like,1.0,,,,,,,,0.026246384784356567,group_score,84.0,0.026246384784356567,,,,,,,
10,Score_C,fibroblast_like,5.0,,,,,,,,0.5350821931362381,group_score,1282.0,0.6361777385754277,,,,,,,
10,Score_C,endothelial_like,5.0,,,,,,,,-0.13566859092865835,group_score,614.0,-0.12569103284308042,,,,,,,
10,Score_C,other_myeloid,2.0,,,,,,,,0.20623754316376514,group_score,37.0,0.20623754316376514,,,,,,,
10,Score_D,mast_cells,3.0,,,,,,,,0.14285905656889822,group_score,68.0,0.0,,,,,,,
10,Score_D,tumor_epithelial,6.0,,,,,,,,0.04163607262839877,group_score,2212.0,0.030081711691328263,,,,,,,
10,Score_D,SPP1_like_TAM,2.0,,,,,,,,0.09264731026081663,group_score,168.0,0.09264731026081663,,,,,,,
10,Score_D,C1QC_like_TAM,4.0,,,,,,,,0.3022786158501136,group_score,201.0,0.28972114640220314,,,,,,,
10,Score_D,FCN1_inflammatory_monocyte_like,5.0,,,,,,,,0.09659063080046629,group_score,380.0,0.0,,,,,,,
10,Score_D,resident_like,1.0,,,,,,,,0.15816096928426582,group_score,84.0,0.15816096928426582,,,,,,,
10,Score_D,fibroblast_like,5.0,,,,,,,,0.21976027901654788,group_score,1282.0,0.2360336421130232,,,,,,,
10,Score_D,endothelial_like,5.0,,,,,,,,0.0373170207783142,group_score,614.0,0.0,,,,,,,
10,Score_D,other_myeloid,2.0,,,,,,,,0.13218120670110406,group_score,37.0,0.13218120670110406,,,,,,,
20,Score_A,mast_cells,2.0,,,,,,,,0.29691112271779485,group_score,58.0,0.29691112271779485,,,,,,,
20,Score_A,tumor_epithelial,6.0,,,,,,,,-0.006188086218814129,group_score,2212.0,-0.01317439250642912,,,,,,,
20,Score_A,SPP1_like_TAM,1.0,,,,,,,,0.035177905190355054,group_score,156.0,0.035177905190355054,,,,,,,
20,Score_A,C1QC_like_TAM,3.0,,,,,,,,-0.015812732944463823,group_score,185.0,0.05009792707553993,,,,,,,
20,Score_A,FCN1_inflammatory_monocyte_like,4.0,,,,,,,,0.006351825357354943,group_score,366.0,-0.03018181501386312,,,,,,,
20,Score_A,resident_like,1.0,,,,,,,,-0.23267425595315558,group_score,84.0,-0.23267425595315558,,,,,,,
20,Score_A,fibroblast_like,5.0,,,,,,,,1.0304801963428822,group_score,1282.0,1.1122273021880338,,,,,,,
20,Score_A,endothelial_like,5.0,,,,,,,,-0.186164198784823,group_score,614.0,-0.18945077826298706,,,,,,,
20,Score_A,other_myeloid,1.0,,,,,,,,-0.15588811069502753,group_score,27.0,-0.15588811069502753,,,,,,,
20,Score_B,mast_cells,2.0,,,,,,,,0.6010490940620032,group_score,58.0,0.6010490940620032,,,,,,,
20,Score_B,tumor_epithelial,6.0,,,,,,,,0.026643505733901323,group_score,2212.0,-0.026896638068583164,,,,,,,
20,Score_B,SPP1_like_TAM,1.0,,,,,,,,0.2041652819263912,group_score,156.0,0.2041652819263912,,,,,,,
20,Score_B,C1QC_like_TAM,3.0,,,,,,,,0.21268679942297783,group_score,185.0,0.2958076164570021,,,,,,,
20,Score_B,FCN1_inflammatory_monocyte_like,4.0,,,,,,,,0.01939709938001568,group_score,366.0,0.07924247019086333,,,,,,,
20,Score_B,resident_like,1.0,,,,,,,,0.015227046307481442,group_score,84.0,0.015227046307481442,,,,,,,
20,Score_B,fibroblast_like,5.0,,,,,,,,0.6329224943883316,group_score,1282.0,0.7787844638013008,,,,,,,
20,Score_B,endothelial_like,5.0,,,,,,,,-0.17637216103491063,group_score,614.0,-0.1663480253739829,,,,,,,
20,Score_B,other_myeloid,1.0,,,,,,,,0.35001097315921076,group_score,27.0,0.35001097315921076,,,,,,,
20,Score_C,mast_cells,2.0,,,,,,,,0.5521586300849151,group_score,58.0,0.5521586300849151,,,,,,,
20,Score_C,tumor_epithelial,6.0,,,,,,,,0.1845018014386571,group_score,2212.0,0.19137549698138942,,,,,,,
20,Score_C,SPP1_like_TAM,1.0,,,,,,,,0.18859560820979437,group_score,156.0,0.18859560820979437,,,,,,,
20,Score_C,C1QC_like_TAM,3.0,,,,,,,,0.20798815793294192,group_score,185.0,0.2132794763176141,,,,,,,
20,Score_C,FCN1_inflammatory_monocyte_like,4.0,,,,,,,,-0.015559908314676966,group_score,366.0,0.018270794788146215,,,,,,,
20,Score_C,resident_like,1.0,,,,,,,,0.026246384784356567,group_score,84.0,0.026246384784356567,,,,,,,
20,Score_C,fibroblast_like,5.0,,,,,,,,0.5350821931362381,group_score,1282.0,0.6361777385754277,,,,,,,
20,Score_C,endothelial_like,5.0,,,,,,,,-0.13566859092865835,group_score,614.0,-0.12569103284308042,,,,,,,
20,Score_C,other_myeloid,1.0,,,,,,,,0.2708231546545654,group_score,27.0,0.2708231546545654,,,,,,,
20,Score_D,mast_cells,2.0,,,,,,,,0.21428858485334734,group_score,58.0,0.21428858485334734,,,,,,,
20,Score_D,tumor_epithelial,6.0,,,,,,,,0.04163607262839877,group_score,2212.0,0.030081711691328263,,,,,,,
20,Score_D,SPP1_like_TAM,1.0,,,,,,,,0.18529462052163326,group_score,156.0,0.18529462052163326,,,,,,,
20,Score_D,C1QC_like_TAM,3.0,,,,,,,,0.34498163309127716,group_score,185.0,0.3096479864314132,,,,,,,
20,Score_D,FCN1_inflammatory_monocyte_like,4.0,,,,,,,,0.12073828850058285,group_score,366.0,0.1139592471200897,,,,,,,
20,Score_D,resident_like,1.0,,,,,,,,0.15816096928426582,group_score,84.0,0.15816096928426582,,,,,,,
20,Score_D,fibroblast_like,5.0,,,,,,,,0.21976027901654788,group_score,1282.0,0.2360336421130232,,,,,,,
20,Score_D,endothelial_like,5.0,,,,,,,,0.0373170207783142,group_score,614.0,0.0,,,,,,,
20,Score_D,other_myeloid,1.0,,,,,,,,0.2643624134022081,group_score,27.0,0.2643624134022081,,,,,,,
30,Score_A,mast_cells,1.0,,,,,,,,0.40778347439563206,group_score,31.0,0.40778347439563206,,,,,,,
30,Score_A,tumor_epithelial,6.0,,,,,,,,-0.006188086218814129,group_score,2212.0,-0.01317439250642912,,,,,,,
30,Score_A,SPP1_like_TAM,1.0,,,,,,,,0.035177905190355054,group_score,156.0,0.035177905190355054,,,,,,,
30,Score_A,C1QC_like_TAM,2.0,,,,,,,,-0.048768062954465695,group_score,159.0,-0.048768062954465695,,,,,,,
30,Score_A,FCN1_inflammatory_monocyte_like,4.0,,,,,,,,0.006351825357354943,group_score,366.0,-0.03018181501386312,,,,,,,
30,Score_A,resident_like,1.0,,,,,,,,-0.23267425595315558,group_score,84.0,-0.23267425595315558,,,,,,,
30,Score_A,fibroblast_like,5.0,,,,,,,,1.0304801963428822,group_score,1282.0,1.1122273021880338,,,,,,,
30,Score_A,endothelial_like,5.0,,,,,,,,-0.186164198784823,group_score,614.0,-0.18945077826298706,,,,,,,
30,Score_B,mast_cells,1.0,,,,,,,,0.7006781470403749,group_score,31.0,0.7006781470403749,,,,,,,
30,Score_B,tumor_epithelial,6.0,,,,,,,,0.026643505733901323,group_score,2212.0,-0.026896638068583164,,,,,,,
30,Score_B,SPP1_like_TAM,1.0,,,,,,,,0.2041652819263912,group_score,156.0,0.2041652819263912,,,,,,,
30,Score_B,C1QC_like_TAM,2.0,,,,,,,,0.11984071797276707,group_score,159.0,0.11984071797276707,,,,,,,
30,Score_B,FCN1_inflammatory_monocyte_like,4.0,,,,,,,,0.01939709938001568,group_score,366.0,0.07924247019086333,,,,,,,
30,Score_B,resident_like,1.0,,,,,,,,0.015227046307481442,group_score,84.0,0.015227046307481442,,,,,,,
30,Score_B,fibroblast_like,5.0,,,,,,,,0.6329224943883316,group_score,1282.0,0.7787844638013008,,,,,,,
30,Score_B,endothelial_like,5.0,,,,,,,,-0.17637216103491063,group_score,614.0,-0.1663480253739829,,,,,,,
30,Score_C,mast_cells,1.0,,,,,,,,0.6004730494198526,group_score,31.0,0.6004730494198526,,,,,,,
30,Score_C,tumor_epithelial,6.0,,,,,,,,0.1845018014386571,group_score,2212.0,0.19137549698138942,,,,,,,
30,Score_C,SPP1_like_TAM,1.0,,,,,,,,0.18859560820979437,group_score,156.0,0.18859560820979437,,,,,,,
30,Score_C,C1QC_like_TAM,2.0,,,,,,,,0.20534249874060584,group_score,159.0,0.20534249874060584,,,,,,,
30,Score_C,FCN1_inflammatory_monocyte_like,4.0,,,,,,,,-0.015559908314676966,group_score,366.0,0.018270794788146215,,,,,,,
30,Score_C,resident_like,1.0,,,,,,,,0.026246384784356567,group_score,84.0,0.026246384784356567,,,,,,,
30,Score_C,fibroblast_like,5.0,,,,,,,,0.5350821931362381,group_score,1282.0,0.6361777385754277,,,,,,,
30,Score_C,endothelial_like,5.0,,,,,,,,-0.13566859092865835,group_score,614.0,-0.12569103284308042,,,,,,,
30,Score_D,mast_cells,1.0,,,,,,,,0.4285771697066947,group_score,31.0,0.4285771697066947,,,,,,,
