Analysis,Exposure,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message
Primary_CRC_vs_cancer_free,log2(MCOP),ok,9936,70,9866,0.21954249631367598,0.07309672751901125,1.2455067762777348,1.077525446291675,1.439675633733329,0.003311358522765802,109,214,105,Newton-IRLS converged
Age_ge_40_CRC_vs_cancer_free,log2(MCOP),ok,6178,69,6109,0.20003440703834832,0.07716504016786274,1.2214447837346922,1.0482224303526184,1.423292725391127,0.010840487594437878,109,214,105,Newton-IRLS converged
