Dropped_cycle,Analysis,Exposure,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message
2005-2006,LOCO_drop_2005-2006,log2(MCOP),ok,8650,64,8586,0.17961717010998154,0.07700372548211248,1.1967591202504888,1.0270847691079252,1.3944636654934426,0.02180410592938926,94,184,90,Newton-IRLS converged
2007-2008,LOCO_drop_2007-2008,log2(MCOP),ok,8460,57,8403,0.23463669118807523,0.07656219039526214,1.2644492997005583,1.0861065777532508,1.4720765569992393,0.002851775936767635,93,182,89,Newton-IRLS converged
2009-2010,LOCO_drop_2009-2010,log2(MCOP),ok,8362,54,8308,0.19700945133772976,0.07354006008687783,1.2177555500704949,1.0522949719389625,1.4092327904931867,0.008733916646941682,93,183,90,Newton-IRLS converged
2011-2012,LOCO_drop_2011-2012,log2(MCOP),ok,8521,60,8461,0.2888404417621511,0.0875441432148477,1.3348787206389714,1.1218400250817329,1.5883737065674,0.0013793156036251166,92,183,91,Newton-IRLS converged
2013-2014,LOCO_drop_2013-2014,log2(MCOP),ok,8452,63,8389,0.23167268024265597,0.07952572781979338,1.2607070069744009,1.0765618419675345,1.4763500762107475,0.00446991115136675,94,184,90,Newton-IRLS converged
2015-2016,LOCO_drop_2015-2016,log2(MCOP),ok,8559,61,8498,0.20985023982439122,0.07976501525531281,1.2334933179476826,1.0528227940039105,1.445167956171674,0.009953381507527715,94,184,90,Newton-IRLS converged
2017-2018,LOCO_drop_2017-2018,log2(MCOP),ok,8612,61,8551,0.19617278378889663,0.07971377425382062,1.2167371196226022,1.0386265510476564,1.4253912696283244,0.01568127380342213,94,184,90,Newton-IRLS converged
