gene_symbol,gene_id,chemical,chemical_identity,exact_evidence_rows,exact_human_supported,exact_experimental_supported,CTD_support,PubChem_support,ChEMBL_support,number_independent_sources,number_independent_references,number_species,evidence_species,evidence_tiers,evidence_types,evidence_directions,evidence_role,direct_target_binding_flag,metabolism_related_flag,ambiguous_direction_flag,evidence_source_databases,evidence_provenance,parent_naphthalene_rows_in_primary,primary_universe_rule,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_id,thyroid_disease_name,thyroid_disease_relevance_score,thyroid_disease_rank,thyroid_source,thyroid_association_scope,hypertension_disease_id,hypertension_disease_name,hypertension_disease_relevance_score,hypertension_disease_rank,hypertension_source,hypertension_association_scope,branch_evidence_note
PPARG,5468,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:743094|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743094|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743140|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743140|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743191|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743191|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743199|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743199|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0364579491195537,444,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.3374429978611282,74,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
Plasmodium falciparum,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,False,True,False,False,True,1,2,1,Plasmodium falciparum,Tier B,target activity / physicochemical assay,,ambiguous_direction;other_exact_interaction,False,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL1932231; ChEMBL-document:CHEMBL1926568|Plasmodium falciparum|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1932232; ChEMBL-document:CHEMBL1926568|Plasmodium falciparum|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded,False,False,neither,,,,,,,,,,,,,"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
RARA,5914,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,6,True,False,False,True,False,1,3,1,Homo sapiens,Tier A,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1159552|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1159552|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159553|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1159553|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159555|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1159555|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0194029423709468,1029,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
RXRA,6256,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1159527|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1159527|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159531|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1159531|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0077611769483787,2223,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
Rorc,19885,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,False,True,False,True,False,1,2,1,Mus musculus,Tier B,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1159521|Mus musculus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159521|Mus musculus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159523|Mus musculus|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1159523|Mus musculus|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,False,neither,,,,,,,,,,,,,"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
SARS-CoV-2,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,5,False,True,False,False,True,1,3,1,Severe acute respiratory syndrome coronavirus 2,Tier B,target activity / physicochemical assay,,ambiguous_direction;direct_binding,True,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL4303805; ChEMBL-document:CHEMBL4303101|Severe acute respiratory syndrome coronavirus 2|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4513082; ChEMBL-document:CHEMBL4495565|Severe acute respiratory syndrome coronavirus 2|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4513082; ChEMBL-document:CHEMBL4495565|Severe acute respiratory syndrome coronavirus 2|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4651403; ChEMBL-document:CHEMBL4651402|Severe acute respiratory syndrome coronavirus 2|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4651403; ChEMBL-document:CHEMBL4651402|Severe acute respiratory syndrome coronavirus 2|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded,False,False,neither,,,,,,,,,,,,,"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
SMAD2,4087,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1346859|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346859|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346924|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346924|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347032|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347032|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347035|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347035|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.007391597093694,1016,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0133460864670229,1428,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
SMAD3,4088,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1346859|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346859|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346924|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346924|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347032|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347032|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347035|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347035|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0224279960747168,877,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
SSU-1,190959,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,False,True,True,False,False,1,1,1,Caenorhabditis elegans,Tier B,curated chemical-gene interaction,increases,gene_to_chemical_metabolism,False,True,False,CTD,CTD|CTD-PMID:16567400|Caenorhabditis elegans|increases|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded,False,False,neither,,,,,,,,,,,,,"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
STE,P49888,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,6,True,False,False,False,True,1,6,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;direct_binding;gene_to_chemical_metabolism,True,True,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL4482696; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4482695; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4482697; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4482698; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4482699; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4482700; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded,False,False,neither,,,,,,,,,,,,,"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
