branch_class,n_genes,n_exact_human_supported,n_exact_experimental_supported,n_CTD_supported,n_PubChem_supported,n_ChEMBL_supported,n_ge2_independent_sources,n_direct_target_binding,n_metabolism_related,n_chemical_to_gene_response_or_interaction,n_gene_to_chemical_metabolism_role,n_ambiguous_direction,evidence_note
thyroid-specific,0,0,0,0,0,0,0,0,0,0,0,0,Exact 2-NAP evidence only; parent naphthalene-only rows are excluded. Metabolism-related genes are not treated as equivalent to genes whose activity/expression changes in response to 2-NAP.
hypertension-specific,29,26,4,8,24,1,3,4,6,26,6,8,Exact 2-NAP evidence only; parent naphthalene-only rows are excluded. Metabolism-related genes are not treated as equivalent to genes whose activity/expression changes in response to 2-NAP.
shared,34,34,2,5,30,1,2,8,2,32,2,1,Exact 2-NAP evidence only; parent naphthalene-only rows are excluded. Metabolism-related genes are not treated as equivalent to genes whose activity/expression changes in response to 2-NAP.
neither,47,19,30,4,18,27,2,19,9,45,9,33,Exact 2-NAP evidence only; parent naphthalene-only rows are excluded. Metabolism-related genes are not treated as equivalent to genes whose activity/expression changes in response to 2-NAP.
