mode,affinity_kcal_mol,vina_rmsd_lb_A,vina_rmsd_ub_A,receptor_frame_heavy_atom_rmsd_A,kabsch_fit_heavy_atom_rmsd_A,top_ranked_pass_2A,pass_2A
1,-8.816,0.0,0.0,7.157623672700319,1.6737335815612406,no,no
2,-8.798,1.663,2.084,7.854346338174807,1.4422990782930838,no,no
3,-8.701,4.824,7.249,2.3056885739405484,1.6422158321149964,no,no
4,-8.627,1.947,2.966,7.858268906063218,1.9661391983411707,no,no
5,-8.26,4.817,7.396,1.2696586785431745,0.7944106964521758,no,yes
6,-8.192,3.065,9.282,9.012242504504636,1.9966599082845427,no,no
7,-8.163,7.527,9.817,9.654804105728921,1.2448283966026295,no,no
8,-8.16,4.519,6.462,9.805367154778041,1.7863588730506064,no,no
9,-8.101,5.759,9.168,8.814497015712242,1.2173433565012848,no,no
10,-8.088,7.977,9.929,9.63698274980297,1.5077621674852437,no,no
11,-7.993,5.245,6.45,9.989785825531998,1.0240770282974054,no,no
12,-7.989,7.652,9.216,9.830135968540821,2.226396905822805,no,no
13,-7.984,9.756,12.93,8.764537010019412,1.7917916064410906,no,no
14,-7.962,4.577,6.937,2.589533911730063,2.0481417908825614,no,no
15,-7.907,7.36,9.924,5.421507993169429,1.437114558773619,no,no
16,-7.88,6.943,9.427,9.27120294028774,1.4078009100529016,no,no
17,-7.846,7.797,9.071,10.125582813843359,2.139891853621689,no,no
18,-7.793,2.047,2.856,5.311046435496493,1.7586655191878935,no,no
19,-7.55,7.783,9.13,10.09913645615307,1.9128880626186322,no,no
20,-7.534,7.895,9.569,10.06121308988136,2.06141283047804,no,no
