"gene_symbol","present_in_gene_matrix","selected_by_mad_filter","selected_probe"
"CD68",FALSE,FALSE,
"LST1",TRUE,TRUE,"214181_x_at"
"TYROBP",TRUE,TRUE,"204122_at"
"AIF1",TRUE,TRUE,"209901_x_at"
"FCER1G",TRUE,TRUE,"1554899_s_at"
"CTSS",TRUE,TRUE,"202902_s_at"
"C1QA",TRUE,TRUE,"218232_at"
"C1QB",TRUE,TRUE,"202953_at"
"C1QC",TRUE,TRUE,"225353_s_at"
"MS4A7",TRUE,TRUE,"223343_at"
"LILRB1",TRUE,FALSE,"207104_x_at"
"LGALS3",TRUE,TRUE,"1557197_a_at"
"CD14",TRUE,TRUE,"201743_at"
"CTSB",TRUE,TRUE,"227961_at"
"SPI1",TRUE,FALSE,"205312_at"
