"analysis","module","macrophage_score_cor","macrophage_score_p","macrophage_score_fdr"
"tumor_only","MEbrown",-0.222848222842664,8.43710937851316e-08,1.34993750056211e-07
"tumor_only","MEblue",-0.29839980607123,4.19045366402957e-13,8.38090732805914e-13
"tumor_only","MEblack",0.0173270404164699,0.680821093115962,0.680821093115962
"tumor_only","MEpink",-0.263762413980872,1.83612014258597e-10,3.2642135868195e-10
"tumor_only","MEpurple",-0.0477948161190998,0.256287422396777,0.273373250556562
"tumor_only","MEgreenyellow",-0.334367460158124,2.99091641745569e-16,7.97577711321519e-16
"tumor_only","MEsalmon",-0.301649531454554,2.26612852729846e-13,5.17972234811077e-13
"tumor_only","MEyellow",-0.427475315680443,1.5071149631584e-26,4.82276788210689e-26
"tumor_only","MElightcyan",-0.150464416744048,0.000327874353649337,0.000476908150762673
"tumor_only","MEcyan",0.504343998192293,7.48036496942513e-38,2.99214598777005e-37
"tumor_only","MEturquoise",0.636916422211004,9.95969690406005e-66,7.96775752324804e-65
"tumor_only","MEred",0.910523335875165,1.71308850299833e-218,2.74094160479732e-217
"tumor_only","MEmidnightblue",0.534105896872962,4.62145604314839e-43,2.46477655634581e-42
"tumor_only","MEgreen",-0.127031496702238,0.00246366719707797,0.00303220578101904
"tumor_only","MEmagenta",-0.143943046083716,0.000592889469634165,0.000790519292845554
"tumor_only","MEtan",0.117746652652051,0.00503397362587288,0.0057531127152833
