"","age_at_diagnosis","os_event","rfs_event","dataset_validation","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEbrown",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEblue",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEblack",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEpink",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEpurple",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEgreenyellow",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEsalmon",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEyellow",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MElightcyan",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEcyan",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEturquoise",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEred",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEmidnightblue",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEgreen",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEmagenta",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
"MEtan",565,562,557,566,566,566,566,566,566,566,566,519,496,464,566
