"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEtan",0.000306244336835156,0.424729329845958,0.543089780482992,0.071038389192094,0.766425347819633,0.000306244336835156,0.857470322653297,4.1058505546739e-06,0.0978522667140291,3.0565611122931e-32,0.713816637851255,8.46875685615284e-05,0.045613406295686,4.91013060477105e-35,2.34583226131359e-09,8.87790389029036e-10,1.25230889529216e-05
"MEgreen",5.08729820510226e-20,0.667400172221543,0.0954567264581979,0.114499595568493,0.766425347819633,5.08729820510226e-20,0.857470322653297,0.157597251829948,0.000869865023499232,7.2760565168733e-12,0.983196620979754,5.001977816693e-07,5.59661891527356e-10,2.54226441663685e-11,0.00384736131718525,0.00239447787714512,0.00224299798953989
"MEsalmon",6.87494950651456e-08,0.574708021060105,0.543089780482992,0.114499595568493,0.928189045675103,6.87494950651456e-08,0.977129856691315,0.102265536289876,0.295269985201369,0.0213302544207707,0.713816637851255,1.45682837719887e-09,0.0277163249560352,0.0468483786111975,0.0958990189324593,0.00239447787714512,1.11898924443586e-38
"MEblue",0.00143381336454245,0.571494314401198,0.0954567264581979,0.0584828951758694,0.0245380955383562,0.00143381336454245,0.977129856691315,0.106843439747212,4.70904165791664e-17,0.118039645548744,1.1370520957416e-20,0.267455865256564,5.2356468654195e-58,0.00739725624098661,0.090630880324257,0.461566880063893,1.3079190425445e-61
"MEyellow",0.0859865714602547,0.574708021060105,0.817059867655014,0.688976076986552,0.594120388106916,0.0859865714602547,0.860833963279697,5.02879804489514e-08,4.70904165791664e-17,1.88803160159193e-22,1.13396086751918e-05,0.380730307419952,6.74964178072946e-24,2.16176320032793e-20,1.041161700119e-13,2.8608245240177e-07,1.17695181413185e-223
"MEcyan",0.822443419455925,0.574708021060105,0.302564072062844,0.0584828951758694,0.928185111736111,0.822443419455925,0.860833963279697,1.59747221211764e-08,1.81458802053244e-09,3.82938580674457e-27,0.00359348881347319,0.179933167155541,0.000224508775662592,1.50921387386167e-19,5.34966385112026e-14,6.04943348576119e-07,8.31260883314486e-43
"MEblack",5.64431843735845e-30,0.667400172221543,0.0954567264581979,0.0857842846148911,0.775166426510875,5.64431843735845e-30,0.977129856691315,2.62994352004919e-05,0.0030019749782854,3.77263351883235e-10,8.86592086325703e-29,3.98424049503805e-13,1.65772835119159e-10,2.4793942286082e-08,0.000227915753930912,8.87790389029036e-10,0.517432011456439
"MEgreenyellow",1.55638910767502e-51,0.574708021060105,0.0954567264581979,0.346446404175703,0.766425347819633,1.55638910767502e-51,0.857470322653297,0.000182984553277753,7.89875929125842e-05,1.76575983382107e-07,0.001976258007373,2.98870309972341e-36,6.74964178072946e-24,0.0013051406623372,7.16655817963969e-07,0.410865048259989,0.000408356166656203
"MEturquoise",3.07386187958281e-12,0.927060233767596,0.301577817586696,0.0857842846148911,0.775166426510875,3.07386187958281e-12,0.905510074045696,0.724406939245694,0.0129420163021453,0.00402097788253678,0.713816637851255,3.98424049503805e-13,1.21807120225547e-05,1.60623165841639e-05,0.0449340315655704,0.020057899207077,1.01141471937754e-12
"MEred",9.14759624360721e-08,0.578699998204703,0.681342224496338,0.482945663144285,0.775166426510875,9.14759624360721e-08,0.860833963279697,0.363823610297368,0.463895962947318,0.0110583011859843,0.663133706029843,0.08625617981231,0.05883415203776,0.0720691566334079,0.0958990189324593,0.475901143135319,0.532702385599624
"MEpink",2.36014755698301e-08,0.424729329845958,0.549220925812792,0.346446404175703,0.766425347819633,2.36014755698301e-08,0.860833963279697,0.00673033513278883,0.000869865023499232,0.0137532144165727,0.00146083813981305,0.179933167155541,0.625604254197929,2.64428393712017e-07,0.00471168844270774,9.02551244751946e-08,0.0574030361731416
"MEmidnightblue",2.05711676333168e-10,0.927060233767596,0.233810783164224,0.4584952268217,0.928189045675103,2.05711676333168e-10,0.905510074045696,0.399238472064733,5.93631382802781e-07,0.252081311541868,0.202675736666537,0.00018179062368632,0.00191378991089892,0.552046457905043,0.25759254592435,0.0939608512825124,0.000442294401855457
"MEbrown",0.815140501918269,0.424729329845958,0.906343845298294,0.862539619941914,0.775166426510875,0.815140501918269,0.857470322653297,0.0411481295906771,0.540645409078256,1.51001646225401e-08,0.663133706029843,0.104879573848974,0.161957860757066,8.27780763009436e-05,0.0002494925854426,0.135249529860601,3.49871923720075e-07
"MEmagenta",1.72374864950714e-09,0.424729329845958,0.355023023094745,0.795553136329396,0.775166426510875,1.72374864950714e-09,0.860833963279697,8.81705767659131e-27,2.05277382883735e-22,3.57124625138225e-42,1.60280270378198e-08,0.867854166745175,5.59661891527356e-10,4.99122984111635e-28,6.99218260773769e-31,2.81185871027532e-25,3.50114933889813e-24
"MEpurple",2.41702863977377e-06,0.667400172221543,0.709399483912884,0.688976076986552,0.775166426510875,2.41702863977377e-06,0.905510074045696,1.59747221211764e-08,1.74616622786448e-05,8.58091854394154e-18,0.00379507048030476,0.00134494145514585,0.0174708369868968,9.59516200488423e-09,3.84026980027351e-09,5.31660659361766e-07,1.46685177080081e-20
