"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","selected","analysis"
1,0.525414058084188,22.1802756669514,0.950142272963296,4147.91052092736,4149.12833771122,4500.43358773513,FALSE,"all_samples"
2,0.383058705816801,8.86351667137638,0.93707007998488,2217.52474611909,2215.97787241479,2623.68552574857,FALSE,"all_samples"
3,0.215596683388638,4.1236860332159,0.921392846918701,1221.55881204592,1217.66533743905,1587.18361811066,FALSE,"all_samples"
4,0.111337104613048,2.06091058612868,0.931980233715154,692.997491160532,687.087968043657,991.456920241135,FALSE,"all_samples"
5,0.00123480506535048,0.164434796135092,0.933224001196431,404.641358818457,397.226289692288,664.437812785973,FALSE,"all_samples"
6,0.107268330820493,-1.15262352267421,0.953113602138342,243.024684921257,234.73688132874,469.937087103929,FALSE,"all_samples"
7,0.353368468436698,-1.67000293925856,0.974522923834004,150.020634273776,141.554396381499,344.965873633562,FALSE,"all_samples"
8,0.611547378881266,-1.9841841165438,0.980133192504778,95.1049050527403,87.3247228439623,263.878678487774,FALSE,"all_samples"
9,0.767887573574561,-2.18664034322356,0.981241612481729,61.8566812560124,54.9235723409298,211.302394257706,FALSE,"all_samples"
10,0.851766677847048,-2.227722523821,0.981151652751367,41.232014037551,35.0746448523672,172.364376777347,TRUE,"all_samples"
12,0.919272892964968,-2.18966413288941,0.979753324934438,19.626943670883,14.9388876803024,119.32786619853,FALSE,"all_samples"
14,0.937142438472854,-2.12203165303474,0.977394252408682,10.1543545885499,6.69550905558477,86.7065249321796,FALSE,"all_samples"
16,0.954033839791619,-2.02209526886205,0.984549834866698,5.6500245207425,3.11690554213633,65.8282965376203,FALSE,"all_samples"
18,0.946902132685389,-1.94551401470951,0.979780906806184,3.34662098746889,1.52176249688796,51.11551269604,FALSE,"all_samples"
20,0.935857844632876,-1.87127653646724,0.979451468339602,2.09053912013001,0.768049267427967,40.3898874205455,FALSE,"all_samples"
22,0.93360411934736,-1.79438740127166,0.983979044680211,1.36599411530885,0.397869352579074,32.3681195845444,FALSE,"all_samples"
24,0.929967278789194,-1.74175764989665,0.989724622216856,0.927181384397832,0.213081933379583,26.2461697917659,FALSE,"all_samples"
26,0.920467506071213,-1.69779269742882,0.983949858098086,0.649997784702845,0.116266396581577,21.4964637307621,FALSE,"all_samples"
28,0.921901932618982,-1.66072105354637,0.983843018796626,0.46844439180757,0.0647350146710131,17.7602170907538,FALSE,"all_samples"
30,0.9146735600006,-1.6287934844675,0.979262907558342,0.345750048822241,0.0361524384550778,14.7863450169678,FALSE,"all_samples"
