"analysis","module","module_gene_n","target_gene_n_in_input","target_gene_n_in_module","target_enrichment_OR","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_input","driver_gene_n_in_module","driver_enrichment_fdr","driver_enrichment_p"
"tumor_only","turquoise",1144,38,14,3.52606732944595,0.000463527998731453,0.00741644797970325,5,1,1,0.537817508723895
"tumor_only","grey",1239,38,12,2.53298737738713,0.00978919229543693,NA,5,1,NA,0.568972261644247
"tumor_only","green",581,38,5,1.9426940625962,0.138294384614703,1,5,1,1,0.314141712837191
"tumor_only","red",556,38,3,1.14836356781051,0.497904151128688,1,5,2,0.670101933891599,0.041881370868225
"tumor_only","pink",511,38,1,0.394943702900688,0.919076701580343,1,5,0,1,1
"tumor_only","yellow",596,38,1,0.334664830538915,0.947613184954764,1,5,0,1,1
"tumor_only","brown",643,38,1,0.308186913521321,0.958898013411664,1,5,0,1,1
"tumor_only","blue",858,38,1,0.224092632252431,0.986721939997206,1,5,0,1,1
"tumor_only","black",533,38,0,0,1,1,5,0,1,1
"tumor_only","cyan",53,38,0,0,1,1,5,0,1,1
"tumor_only","greenyellow",208,38,0,0,1,1,5,0,1,1
"tumor_only","lightcyan",42,38,0,0,1,1,5,0,1,1
"tumor_only","magenta",401,38,0,0,1,1,5,0,1,1
"tumor_only","midnightblue",49,38,0,0,1,1,5,0,1,1
"tumor_only","purple",333,38,0,0,1,1,5,0,1,1
"tumor_only","salmon",106,38,0,0,1,1,5,0,1,1
"tumor_only","tan",147,38,0,0,1,1,5,0,1,1
