"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","selected","analysis"
1,0.557528036177671,22.0737294162963,0.946147984922863,4151.69219808615,4152.4204810269,4500.95569726142,FALSE,"tumor_only"
2,0.434270489989818,9.06433103353487,0.949519403580918,2218.98024739307,2218.65335330212,2623.8115979241,FALSE,"tumor_only"
3,0.265407747298441,4.28433977085153,0.942115871050474,1220.93645826771,1217.3434144573,1586.45640054879,FALSE,"tumor_only"
4,0.160118811424335,2.27089142435019,0.953116821296556,691.382631717355,684.83382255239,990.235109968632,FALSE,"tumor_only"
5,0.000108719978756958,0.0456072786564682,0.934477549842993,402.796720963389,394.61517015544,672.975122703281,FALSE,"tumor_only"
6,0.134965728973501,-1.2026761674004,0.948730159988941,241.332315531178,232.960022859057,478.324130529054,FALSE,"tumor_only"
7,0.430876897353618,-1.75820696508895,0.971169030960165,148.619649309222,139.750074198579,352.803621924711,FALSE,"tumor_only"
8,0.678830641597405,-2.0483547155792,0.97634506132135,94.010485087338,85.7719321954312,272.111181505756,FALSE,"tumor_only"
9,0.810292499790987,-2.20010129082801,0.977675116377095,61.0320678775558,53.3858913443228,218.915830879989,TRUE,"tumor_only"
10,0.873239459540085,-2.22477564145814,0.975244025845373,40.6255430555576,33.84054530828,179.346500594134,FALSE,"tumor_only"
12,0.926505725501817,-2.15255999532355,0.97143083426333,19.3145600539388,14.2550876730885,125.140231265211,FALSE,"tumor_only"
14,0.936376168255361,-2.05550133304917,0.964173598891791,10.0016539326583,6.29578534916674,90.49609502057,FALSE,"tumor_only"
16,0.955405628641343,-1.94013807988184,0.975602309681606,5.58008648378293,2.91281087948675,68.9015383173622,FALSE,"tumor_only"
18,0.943800721613448,-1.88396140971119,0.970120956275428,3.31839070316833,1.40136470492771,53.7934637527376,FALSE,"tumor_only"
20,0.908363141260805,-1.83761374930669,0.939352958539449,2.08272613305348,0.697762449589571,42.7400783622395,FALSE,"tumor_only"
22,0.924936341755073,-1.75880423168491,0.973235285134555,1.36770952466671,0.360923815674322,34.4430680190534,FALSE,"tumor_only"
24,0.923200308931056,-1.69318501074521,0.974815483299276,0.93291990213698,0.190645200169149,28.0872901347002,FALSE,"tumor_only"
26,0.917364110489755,-1.64683596123072,0.973969884080956,0.657026714928917,0.103364222669547,23.1370098643976,FALSE,"tumor_only"
28,0.907277090201249,-1.64219964467056,0.985948577602233,0.475456120221211,0.0571086244040494,19.2273488958037,FALSE,"tumor_only"
30,0.892071846639579,-1.63314175919213,0.981622683587832,0.352166018003958,0.031916947363687,16.1025681996499,FALSE,"tumor_only"
