"analysis","module","macrophage_score_cor","macrophage_score_p","macrophage_score_fdr"
"all_samples","MEtan",0.183977460233531,7.51385337175295e-06,1.25230889529216e-05
"all_samples","MEgreen",-0.128828723511823,0.00179439839163191,0.00224299798953989
"all_samples","MEsalmon",0.505393965383485,2.98397131849562e-39,1.11898924443586e-38
"all_samples","MEblue",0.616316520893126,1.743892056726e-62,1.3079190425445e-61
"all_samples","MEyellow",0.9098118308124,7.84634542754566e-225,1.17695181413185e-223
"all_samples","MEcyan",0.529070565374269,1.66252176662897e-43,8.31260883314486e-43
"all_samples","MEblack",-0.0290631009364409,0.48293654402601,0.517432011456439
"all_samples","MEgreenyellow",-0.1499797767824,0.000272237444437469,0.000408356166656203
"all_samples","MEturquoise",-0.293088016507039,4.7199353570952e-13,1.01141471937754e-12
"all_samples","MEred",0.025845486560056,0.532702385599624,0.532702385599624
"all_samples","MEpink",-0.081163120033154,0.0497492980167228,0.0574030361731416
"all_samples","MEmidnightblue",-0.148132408281933,0.000324349228027335,0.000442294401855457
"all_samples","MEbrown",-0.213466413194164,1.86598359317373e-07,3.49871923720075e-07
"all_samples","MEmagenta",-0.406290593719556,1.16704977963271e-24,3.50114933889813e-24
"all_samples","MEpurple",-0.374877045064112,5.86740708320323e-21,1.46685177080081e-20
