"gene_symbol","module","kME_own","kME_tan","kME_green","kME_grey","kME_salmon","kME_blue","kME_yellow","kME_cyan","kME_black","kME_greenyellow","kME_turquoise","kME_red","kME_pink","kME_midnightblue","kME_brown","kME_magenta","kME_purple"
"TSPAN1","black",0.827574685348509,0.209436130079902,-0.192378959637906,0.0256284222838321,0.367474625466155,-0.188381462908162,0.142470988354155,0.11136643191248,0.827574685348509,0.672112392393578,-0.230061303875919,0.235159414289499,0.280500302273953,-0.266125048843729,-0.130805837864255,-0.428493441020401,-0.380786434530138
"FCGBP","black",0.809251027744399,0.0357241488120388,-0.193208461660503,0.0151554631653789,0.339752229454143,-0.283560028019776,-0.00971171442457461,-0.0461655744148008,0.809251027744399,0.572214157026571,-0.232507467584019,0.0817077050207612,0.22654638788783,-0.218757999031753,-0.0934121332230789,-0.388332931766305,-0.342504463406885
"STYK1","black",0.800274110313416,0.253249270676264,-0.149990575629012,-0.00495351079225449,0.216720734156545,-0.247778867338648,0.103900336412183,0.159120949983375,0.800274110313416,0.579712036408653,0.0199125204773431,0.269090623898453,0.513494740597074,-0.220573415294483,0.0516053085816379,-0.393740947940146,-0.123669820746348
"MUC2","black",0.784975475628324,0.0823163116006768,-0.132122370193512,0.135999087312164,0.287819942913346,-0.215439973698939,0.0241068147532027,-0.0328014811040208,0.784975475628324,0.474045840376118,-0.221438526678367,0.0530812202219606,0.191769353600943,-0.215528102943538,-0.120069906273392,-0.425118374826948,-0.370896484938003
"KLF4","black",0.779764289535903,0.174215802764035,-0.214381367810771,-0.0665054792941652,0.356313940066954,-0.21484700359555,0.111514322115422,0.0617531515563545,0.779764289535903,0.599226865042754,-0.184044729775164,0.305901145084482,0.307609630651706,-0.244524494592607,-0.126938869128084,-0.436232531391577,-0.365351185300411
"BCAS1","black",0.777183585360348,-0.0915788570733499,-0.386597829850035,-0.191758901955781,0.25091291398159,-0.278515336763214,-0.0924370037903962,-0.0913728758210136,0.777183585360348,0.68506133359067,-0.285868755988079,0.0762122096965334,0.308440627283703,-0.248181102678032,0.0991265133321405,-0.248698155263177,-0.184105584911235
"ST6GALNAC1","black",0.774815790637389,0.0977883174850514,-0.105235185073414,-0.033673680881933,0.218820396824784,-0.29417042499738,-0.0589163673253175,-0.0595705068305498,0.774815790637389,0.561165177444627,-0.0850763623814622,0.161550827547705,0.258747737834369,-0.230856949108137,-0.0910231657993331,-0.268543979740751,-0.221473190273144
"SLC22A23","black",0.765160376053114,0.0916682867436903,-0.181407746636717,-0.0667984219193462,0.161296649044213,-0.309766456249249,-0.0474461026486703,-0.0582966129328833,0.765160376053114,0.581766861281481,-0.184750228096077,0.0748510818910089,0.321989716389108,-0.187637213748584,0.0522037371145273,-0.269244342786104,-0.153277937751761
"MMP28","black",0.76473179950436,0.197595694162591,-0.279520910730086,0.0200662624818593,0.323813440730743,-0.0316725075930973,0.191475773323405,0.13455502321239,0.76473179950436,0.557488975669256,-0.277285526518523,0.170215835410272,0.308688588068138,-0.326667125304496,-0.111208059340177,-0.524153370697768,-0.376786890822361
"AGR2","black",0.762712812249412,0.274059443806663,0.049209211862555,0.344529704803485,0.136206005818278,-0.192580323116128,0.0825521158557574,0.0825909055479521,0.762712812249412,0.250514727133807,0.0356734114842976,0.175116711929225,0.300354582138178,-0.0862070931221825,-0.162079694768142,-0.531599856624402,-0.332091696371433
