drug,signature_id,cell_line,pert_time,pert_dose,persistent_id,tissue,disease,rrs_global,rho_global,n_global,rrs_DHODH_subtype,rho_DHODH_subtype,n_DHODH_subtype,rrs_ERAD_subtype,rho_ERAD_subtype,n_ERAD_subtype,rrs_EMT_subtype,rho_EMT_subtype,n_EMT_subtype
allopurinol,REP.B021_A549_24H_O12_allopurinol_0.01uM,A549,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_A549_24H_O12_allopurinol_0.01uM.tsv,lung,lung cancer,0.535270979020979,-0.07054195804195805,65,0.5680382775119617,-0.13607655502392343,76,0.534527972027972,-0.06905594405594405,65,0.4560159849829448,0.08796803003411034,228
allopurinol,REP.B021_A549_24H_O11_allopurinol_0.03uM,A549,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_A549_24H_O11_allopurinol_0.03uM.tsv,lung,lung cancer,0.4691870629370629,0.06162587412587412,65,0.4910047846889952,0.017990430622009567,76,0.4772071678321678,0.045585664335664335,65,0.4837421545707757,0.032515690858448666,228
allopurinol,REP.A021_A549_24H_O12_allopurinol_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A021_A549_24H_O12_allopurinol_0.04uM.tsv,lung,lung cancer,0.42545891608391606,0.14908216783216785,65,0.4421189336978811,0.11576213260423787,76,0.4244973776223776,0.15100524475524477,65,0.5273844586843675,-0.05476891736873492,228
allopurinol,REP.B021_A549_24H_O10_allopurinol_0.08uM,A549,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_A549_24H_O10_allopurinol_0.08uM.tsv,lung,lung cancer,0.4606424825174825,0.07871503496503496,65,0.421285030758715,0.15742993848257006,76,0.45743006993006996,0.08513986013986014,65,0.49691093343269105,0.006178133134617896,228
allopurinol,REP.B021_HT29_24H_O12_allopurinol_0.01uM,HT29,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_HT29_24H_O12_allopurinol_0.01uM.tsv,intestine,colon adenocarcinoma,0.5621722027972028,-0.1243444055944056,65,0.5421462747778537,-0.08429254955570746,76,0.5536057692307692,-0.10721153846153846,65,0.5132113028854575,-0.02642260577091499,228
allopurinol,REP.B021_HT29_24H_O11_allopurinol_0.03uM,HT29,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_HT29_24H_O11_allopurinol_0.03uM.tsv,intestine,colon adenocarcinoma,0.38961975524475523,0.2207604895104895,65,0.4678742310321258,0.06425153793574846,76,0.3964597902097902,0.2070804195804196,65,0.4608596737597413,0.07828065248051741,228
allopurinol,REP.A021_HT29_24H_O12_allopurinol_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A021_HT29_24H_O12_allopurinol_0.04uM.tsv,intestine,colon adenocarcinoma,0.4251311188811189,0.14973776223776225,65,0.47287764866712234,0.0542447026657553,76,0.42196241258741257,0.15607517482517483,65,0.524087834383103,-0.04817566876620596,228
allopurinol,REP.B021_HT29_24H_O10_allopurinol_0.08uM,HT29,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_HT29_24H_O10_allopurinol_0.08uM.tsv,intestine,colon adenocarcinoma,0.4084353146853147,0.18312937062937065,65,0.5060013670539987,-0.012002734107997267,76,0.4051791958041958,0.1896416083916084,65,0.5117396679278752,-0.023479335855750412,228
allopurinol,REP.B021_MCF7_24H_O12_allopurinol_0.01uM,MCF7,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_MCF7_24H_O12_allopurinol_0.01uM.tsv,breast,breast adenocarcinoma,0.5031687062937062,-0.006337412587412587,65,0.5061380724538619,-0.012276144907723857,76,0.5065777972027972,-0.013155594405594405,65,0.48350877867966957,0.032982442640660865,228
allopurinol,REP.B021_MCF7_24H_O11_allopurinol_0.03uM,MCF7,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_MCF7_24H_O11_allopurinol_0.03uM.tsv,breast,breast adenocarcinoma,0.5975524475524475,-0.19510489510489512,65,0.5057416267942584,-0.011483253588516746,76,0.60506993006993,-0.21013986013986014,65,0.4071614505551916,0.18567709888961675,228
