drug,signature_id,cell_line,pert_time,pert_dose,persistent_id,tissue,disease
sertraline,REP.B023_MCF7_24H_I05_sertraline_0.03uM,MCF7,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_MCF7_24H_I05_sertraline_0.03uM.tsv,breast,breast adenocarcinoma
sertraline,REP.A023_MCF7_24H_I06_sertraline_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A023_MCF7_24H_I06_sertraline_0.04uM.tsv,breast,breast adenocarcinoma
sertraline,REP.B023_MCF7_24H_I04_sertraline_0.08uM,MCF7,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_MCF7_24H_I04_sertraline_0.08uM.tsv,breast,breast adenocarcinoma
sertraline,REP.B023_PC3_24H_I06_sertraline_0.01uM,PC3,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_PC3_24H_I06_sertraline_0.01uM.tsv,prostate gland,prostate adenocarcinoma
sertraline,REP.B023_PC3_24H_I05_sertraline_0.03uM,PC3,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_PC3_24H_I05_sertraline_0.03uM.tsv,prostate gland,prostate adenocarcinoma
sertraline,REP.A023_PC3_24H_I06_sertraline_0.04uM,PC3,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A023_PC3_24H_I06_sertraline_0.04uM.tsv,prostate gland,prostate adenocarcinoma
sertraline,REP.B023_PC3_24H_I04_sertraline_0.08uM,PC3,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_PC3_24H_I04_sertraline_0.08uM.tsv,prostate gland,prostate adenocarcinoma
simvastatin,REP.B004_A549_24H_L24_simvastatin_0.01uM,A549,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_A549_24H_L24_simvastatin_0.01uM.tsv,lung,lung cancer
simvastatin,REP.B004_A549_24H_L23_simvastatin_0.03uM,A549,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_A549_24H_L23_simvastatin_0.03uM.tsv,lung,lung cancer
simvastatin,PBIOA015_A549_24H_P12_simvastatin_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_A549_24H_P12_simvastatin_0.04uM.tsv,lung,lung cancer
simvastatin,REP.A004_A549_24H_L24_simvastatin_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A004_A549_24H_L24_simvastatin_0.04uM.tsv,lung,lung cancer
simvastatin,PBIOA015_HCC515_24H_P12_simvastatin_0.04uM,HCC515,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HCC515_24H_P12_simvastatin_0.04uM.tsv,lung,lung cancer
simvastatin,PBIOA015_HCC515_24H_P11_simvastatin_0.125uM,HCC515,24 h,0.125 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HCC515_24H_P11_simvastatin_0.125uM.tsv,lung,lung cancer
simvastatin,PBIOA015_HCC515_24H_P10_simvastatin_0.37uM,HCC515,24 h,0.37 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HCC515_24H_P10_simvastatin_0.37uM.tsv,lung,lung cancer
