background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,raw_hypergeom_p,gprofiler_adjusted_p,gprofiler_significant,intersection_genes,parents,query_input_symbols,background_input_symbols
gelsemium_crc1893,KEGG,KEGG:00590,Arachidonic acid metabolism,Arachidonic acid metabolism,11,1875,41,6,3.2000856433241573e-08,5.248140455040471e-06,True,AKR1C3;CYP2C9;HPGD;PTGES2;PTGS1;PTGS2,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04148,Efferocytosis,Efferocytosis,48,1875,41,7,5.347206477853974e-05,0.0038642243666243427,True,PPARD;PPARG;PTGER2;PTGER4;PTGS2;RXRA;SIRT1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:03320,PPAR signaling pathway,PPAR signaling pathway,12,1875,41,4,8.596528293748133e-05,0.0038642243666243427,True,PPARA;PPARD;PPARG;RXRA,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:00591,Linoleic acid metabolism,Linoleic acid metabolism,5,1875,41,3,9.424937479607921e-05,0.0038642243666243427,True,CYP1A2;CYP2C9;CYP3A4,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05204,Chemical carcinogenesis - DNA adducts,Chemical carcinogenesis - DNA adducts,17,1875,41,4,0.0003817254092252013,0.012520593422562608,True,CYP1A2;CYP2C9;CYP3A4;PTGS2,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:00830,Retinol metabolism,Retinol metabolism,9,1875,41,3,0.0007446712162527697,0.020354346577579542,True,CYP1A2;CYP2C9;CYP3A4,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05207,Chemical carcinogenesis - receptor activation,Chemical carcinogenesis - receptor activation,101,1875,41,8,0.001165263427077536,0.02730045743431511,True,CYP1A2;CYP3A4;ESR1;PGR;PPARA;RELA;RXRA;STAT3,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:00982,Drug metabolism - cytochrome P450,Drug metabolism - cytochrome P450,11,1875,41,3,0.0014187241086068743,0.027788387491289243,True,CYP1A2;CYP2C9;CYP3A4,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04726,Serotonergic synapse,Serotonergic synapse,24,1875,41,4,0.0015249724842853263,0.027788387491289243,True,CYP2C9;DUSP1;PTGS1;PTGS2,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05418,Fluid shear stress and atherosclerosis,Fluid shear stress and atherosclerosis,83,1875,41,7,0.0017085516524137049,0.028020247099504524,True,DUSP1;IL1A;MMP2;MMP9;RELA;SELE;SQSTM1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05417,Lipid and atherosclerosis,Lipid and atherosclerosis,113,1875,41,8,0.0024285874575594446,0.036208031185297126,True,CYP2C9;HSPA1A;MMP9;PPARG;RELA;RXRA;SELE;STAT3,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04136,Autophagy - other,Autophagy - other,4,1875,41,2,0.002723270623028368,0.03721803184790838,True,ATG5;BECN1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:00980,Metabolism of xenobiotics by cytochrome P450,Metabolism of xenobiotics by cytochrome P450,15,1875,41,3,0.003680738393691141,0.046433930504946236,True,CYP1A2;CYP2C9;CYP3A4,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:01100,Metabolic pathways,Metabolic pathways,156,1875,41,9,0.005205732487858361,0.060981437714635725,True,AKR1C3;CA9;CYP1A2;CYP2C9;CYP3A4;PTGES2;PTGS1;PTGS2;SIRT1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04933,AGE-RAGE signaling pathway in diabetic complications,AGE-RAGE signaling pathway in diabetic complications,78,1875,41,6,0.005994272272274629,0.0655373768435046,True,F3;IL1A;MMP2;RELA;SELE;STAT3,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04920,Adipocytokine signaling pathway,Adipocytokine signaling pathway,36,1875,41,4,0.006990600386490268,0.07115792027912043,True,PPARA;RELA;RXRA;STAT3,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:00140,Steroid hormone biosynthesis,Steroid hormone biosynthesis,19,1875,41,3,0.007376125882604314,0.07115792027912043,True,AKR1C3;CYP1A2;CYP3A4,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04915,Estrogen signaling pathway,Estrogen signaling pathway,61,1875,41,5,0.009394914900146925,0.08559811353449547,True,ESR1;HSPA1A;MMP2;MMP9;PGR,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04211,Longevity regulating pathway,Longevity regulating pathway,41,1875,41,4,0.011105904181769825,0.09106841429012899,True,ATG5;PPARG;RELA;SIRT1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04932,Non-alcoholic fatty liver disease,Non-alcoholic fatty liver disease,63,1875,41,5,0.010748211997119611,0.09106841429012899,True,IL1A;PPARA;PPARG;RELA;RXRA,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04137,Mitophagy - animal,Mitophagy - animal,24,1875,41,3,0.014282208818749814,0.11153724982209752,True,BECN1;RELA;SQSTM1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04668,TNF signaling pathway,TNF signaling pathway,73,1875,41,5,0.019555617182025725,0.14577823717502741,True,CCL20;MMP9;PTGS2;RELA;SELE,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04657,IL-17 signaling pathway,IL-17 signaling pathway,52,1875,41,4,0.024968442376614934,0.17803584998950692,True,CCL20;MMP9;PTGS2;RELA,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05163,Human cytomegalovirus infection,Human cytomegalovirus infection,112,1875,41,6,0.03212739992124291,0.21953723279439386,True,CXCR4;PTGER2;PTGER4;PTGS2;RELA;STAT3,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04213,Longevity regulating pathway - multiple species,Longevity regulating pathway - multiple species,33,1875,41,3,0.03361317674800934,0.22050243946652337,True,ATG5;HSPA1A;SIRT1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05200,Pathways in cancer,Pathways in cancer,322,1875,41,12,0.03705263983367503,0.23371665125841867,True,CXCR4;ESR1;MMP2;MMP9;PPARD;PPARG;PTGER2;PTGER4;PTGS2;RELA;RXRA;STAT3,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05022,Pathways of neurodegeneration - multiple diseases,Pathways of neurodegeneration - multiple diseases,119,1875,41,6,0.04159377037134353,0.24874014077911244,True,BECN1;DKK1;IL1A;PTGS2;RELA;SQSTM1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04380,Osteoclast differentiation,Osteoclast differentiation,62,1875,41,4,0.04398453708907487,0.24874014077911244,True,IL1A;PPARG;RELA;SQSTM1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:00910,Nitrogen metabolism,Nitrogen metabolism,2,1875,41,1,0.04326659551783656,0.24874014077911244,True,CA9,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04924,Renin secretion,Renin secretion,18,1875,41,2,0.057234286286132904,0.25915560097354473,True,PTGER2;PTGER4,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04913,Ovarian steroidogenesis,Ovarian steroidogenesis,17,1875,41,2,0.051575650185988954,0.25915560097354473,True,AKR1C3;PTGS2,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:04922,Glucagon signaling pathway,Glucagon signaling pathway,17,1875,41,2,0.051575650185988954,0.25915560097354473,True,PPARA;SIRT1,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05321,Inflammatory bowel disease,Inflammatory bowel disease,40,1875,41,3,0.05480613542846901,0.25915560097354473,True,IL1A;RELA;STAT3,KEGG:00000,41,1893
gelsemium_crc1893,KEGG,KEGG:05202,Transcriptional misregulation in cancer,Transcriptional misregulation in cancer,96,1875,41,5,0.055038419066966465,0.25915560097354473,True,HPGD;MMP9;PPARG;RELA;RXRA,KEGG:00000,41,1893
