source_article,source_table,article_rank,gene_symbol_raw,gene_symbol,description,gifts,genecard_id,relevance_score,in_dinp_93,dinp_support_count,CTD,ToxCast,Tox21,T3DB
10.1186/s12906-021-03273-7,Table S2,1,MSH6,MSH6,MutS Homolog 6,50,GC02P047695,274.31,False,,,,,
10.1186/s12906-021-03273-7,Table S2,2,MSH2,MSH2,MutS Homolog 2,48,GC02P047402,257.25,False,,,,,
10.1186/s12906-021-03273-7,Table S2,3,MLH1,MLH1,MutL Homolog 1,48,GC03P036993,247.23,False,,,,,
10.1186/s12906-021-03273-7,Table S2,4,BRCA2,BRCA2,BRCA2 DNA Repair Associated,49,GC13P032315,246.15,False,,,,,
10.1186/s12906-021-03273-7,Table S2,5,BRCA1,BRCA1,BRCA1 DNA Repair Associated,50,GC17M043044,226.55,False,,,,,
10.1186/s12906-021-03273-7,Table S2,6,PMS2,PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",48,GC07M005973,213.29,False,,,,,
10.1186/s12906-021-03273-7,Table S2,7,APC,APC,APC Regulator Of WNT Signaling Pathway,48,GC05P112707,212.49,False,,,,,
10.1186/s12906-021-03273-7,Table S2,8,POLE,POLE,"DNA Polymerase Epsilon, Catalytic Subunit",48,GC12M132624,194.57,False,,,,,
10.1186/s12906-021-03273-7,Table S2,9,TP53,TP53,Tumor Protein P53,54,GC17M007661,183.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,10,POLD1,POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",45,GC19P050385,155.32,False,,,,,
10.1186/s12906-021-03273-7,Table S2,11,CDH1,CDH1,Cadherin 1,50,GC16P068737,152.76,False,,,,,
10.1186/s12906-021-03273-7,Table S2,12,AXIN2,AXIN2,Axin 2,48,GC17M065528,147.99,False,,,,,
10.1186/s12906-021-03273-7,Table S2,13,ATM,ATM,ATM Serine/Threonine Kinase,54,GC11P108222,147.52,False,,,,,
10.1186/s12906-021-03273-7,Table S2,14,PALB2,PALB2,Partner And Localizer Of BRCA2,43,GC16M023603,129.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,15,CHEK2,CHEK2,Checkpoint Kinase 2,53,GC22M028687,129.24,False,,,,,
10.1186/s12906-021-03273-7,Table S2,16,PTEN,PTEN,Phosphatase And Tensin Homolog,52,GC10P087863,116.91,False,,,,,
10.1186/s12906-021-03273-7,Table S2,17,NF1,NF1,Neurofibromin 1,48,GC17P031094,111.81,False,,,,,
10.1186/s12906-021-03273-7,Table S2,18,KRAS,KRAS,"KRAS Proto-Oncogene, GTPase",51,GC12M025204,110.7,False,,,,,
10.1186/s12906-021-03273-7,Table S2,19,BRIP1,BRIP1,BRCA1 Interacting Protein C-Terminal Helicase 1,47,GC17M061679,109.35,False,,,,,
10.1186/s12906-021-03273-7,Table S2,20,MUTYH,MUTYH,MutY DNA Glycosylase,44,GC01M045329,106.82,False,,,,,
10.1186/s12906-021-03273-7,Table S2,21,CTNNB1,CTNNB1,Catenin Beta 1,53,GC03P041236,104.59,False,,,,,
10.1186/s12906-021-03273-7,Table S2,22,EGFR,EGFR,Epidermal Growth Factor Receptor,54,GC07P055019,101.69,False,,,,,
10.1186/s12906-021-03273-7,Table S2,23,PIK3CA,PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",52,GC03P179148,100.83,False,,,,,
10.1186/s12906-021-03273-7,Table S2,24,SMAD4,SMAD4,SMAD Family Member 4,50,GC18P051028,99.47,False,,,,,
10.1186/s12906-021-03273-7,Table S2,25,BRAF,BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",54,GC07M140719,98.72,False,,,,,
10.1186/s12906-021-03273-7,Table S2,26,CDKN2A,CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,51,GC09M021967,98.53,False,,,,,
10.1186/s12906-021-03273-7,Table S2,27,BARD1,BARD1,BRCA1 Associated RING Domain 1,46,GC02M214725,97.56,False,,,,,
10.1186/s12906-021-03273-7,Table S2,28,STK11,STK11,Serine/Threonine Kinase 11,49,GC19P001177,95.77,False,,,,,
10.1186/s12906-021-03273-7,Table S2,29,RB1,RB1,RB Transcriptional Corepressor 1,49,GC13P048303,88.76,False,,,,,
10.1186/s12906-021-03273-7,Table S2,30,EPCAM,EPCAM,Epithelial Cell Adhesion Molecule,47,GC02P047345,86.52,False,,,,,
10.1186/s12906-021-03273-7,Table S2,31,AKT1,AKT1,AKT Serine/Threonine Kinase 1,54,GC14M104769,85.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,32,TGFBR2,TGFBR2,Transforming Growth Factor Beta Receptor 2,51,GC03P030623,84.99,False,,,,,
10.1186/s12906-021-03273-7,Table S2,33,ERBB2,ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,54,GC17P039687,83.83,False,,,,,
10.1186/s12906-021-03273-7,Table S2,34,MYC,MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",51,GC08P127735,83.47,False,,,,,
10.1186/s12906-021-03273-7,Table S2,35,MLH3,MLH3,MutL Homolog 3,42,GC14M075013,81.92,False,,,,,
10.1186/s12906-021-03273-7,Table S2,36,CCND1,CCND1,Cyclin D1,52,GC11P069641,80.41,False,,,,,
10.1186/s12906-021-03273-7,Table S2,37,RET,RET,Ret Proto-Oncogene,53,GC10P043081,79.1,False,,,,,
10.1186/s12906-021-03273-7,Table S2,38,HRAS,HRAS,"HRas Proto-Oncogene, GTPase",52,GC11M000635,77.74,False,,,,,
10.1186/s12906-021-03273-7,Table S2,39,VEGFA,VEGFA,Vascular Endothelial Growth Factor A,48,GC06P043770,75.14,False,,,,,
10.1186/s12906-021-03273-7,Table S2,40,TNF,TNF,Tumor Necrosis Factor,51,GC06P047305,74.46,False,,,,,
10.1186/s12906-021-03273-7,Table S2,41,CDKN1B,CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,48,GC12P012716,71.56,False,,,,,
10.1186/s12906-021-03273-7,Table S2,42,MSH3,MSH3,MutS Homolog 3,43,GC05P080654,71.27,False,,,,,
10.1186/s12906-021-03273-7,Table S2,43,MET,MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",54,GC07P116672,70.35,False,,,,,
10.1186/s12906-021-03273-7,Table S2,44,IL6,IL6,Interleukin 6,50,GC07P022765,70.08,False,,,,,
10.1186/s12906-021-03273-7,Table S2,45,TERT,TERT,Telomerase Reverse Transcriptase,51,GC05M001253,68.85,False,,,,,
10.1186/s12906-021-03273-7,Table S2,46,KIT,KIT,"KIT Proto-Oncogene, Receptor Tyrosine Kinase",53,GC04P054657,68.25,False,,,,,
10.1186/s12906-021-03273-7,Table S2,47,CDKN1A,CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,50,GC06P047460,67.5,False,,,,,
10.1186/s12906-021-03273-7,Table S2,48,EP300,EP300,E1A Binding Protein P300,50,GC22P041091,66.82,False,,,,,
10.1186/s12906-021-03273-7,Table S2,49,ESR1,ESR1,Estrogen Receptor 1,53,GC06P151656,65.77,True,1,1,0,0,0
10.1186/s12906-021-03273-7,Table S2,50,BMPR1A,BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,51,GC10P086756,65.63,False,,,,,
10.1186/s12906-021-03273-7,Table S2,51,CDK4,CDK4,Cyclin Dependent Kinase 4,54,GC12M057743,65.16,False,,,,,
10.1186/s12906-021-03273-7,Table S2,52,STAT3,STAT3,Signal Transducer And Activator Of Transcription 3,52,GC17M042313,64.86,True,1,1,0,0,0
10.1186/s12906-021-03273-7,Table S2,53,MDM2,MDM2,MDM2 Proto-Oncogene,52,GC12P068808,64.57,False,,,,,
10.1186/s12906-021-03273-7,Table S2,54,NBN,NBN,Nibrin,47,GC08M089933,64.03,False,,,,,
10.1186/s12906-021-03273-7,Table S2,55,TGFB1,TGFB1,Transforming Growth Factor Beta 1,52,GC19M041301,63.17,False,,,,,
10.1186/s12906-021-03273-7,Table S2,56,NRAS,NRAS,"NRAS Proto-Oncogene, GTPase",50,GC01M114704,62.34,False,,,,,
10.1186/s12906-021-03273-7,Table S2,57,BAX,BAX,"BCL2 Associated X, Apoptosis Regulator",48,GC19P048954,62.19,False,,,,,
10.1186/s12906-021-03273-7,Table S2,58,GALNT12,GALNT12,Polypeptide N-Acetylgalactosaminyltransferase 12,42,GC09P098807,61.85,False,,,,,
10.1186/s12906-021-03273-7,Table S2,59,DICER1,DICER1,"Dicer 1, Ribonuclease III",47,GC14M095086,61.49,False,,,,,
10.1186/s12906-021-03273-7,Table S2,60,FLCN,FLCN,Folliculin,41,GC17M017206,61.31,False,,,,,
10.1186/s12906-021-03273-7,Table S2,61,RAD51C,RAD51C,RAD51 Paralog C,43,GC17P058692,61.16,False,,,,,
10.1186/s12906-021-03273-7,Table S2,62,RAD51D,RAD51D,RAD51 Paralog D,40,GC17M035092,61.02,False,,,,,
10.1186/s12906-021-03273-7,Table S2,63,EGF,EGF,Epidermal Growth Factor,51,GC04P109912,60.91,False,,,,,
10.1186/s12906-021-03273-7,Table S2,64,IL1B,IL1B,Interleukin 1 Beta,48,GC02M112829,60.88,False,,,,,
10.1186/s12906-021-03273-7,Table S2,65,RAD50,RAD50,RAD50 Double Strand Break Repair Protein,49,GC05P132556,60.34,False,,,,,
10.1186/s12906-021-03273-7,Table S2,66,FGFR3,FGFR3,Fibroblast Growth Factor Receptor 3,55,GC04P001795,59.97,False,,,,,
10.1186/s12906-021-03273-7,Table S2,67,PPARG,PPARG,Peroxisome Proliferator Activated Receptor Gamma,52,GC03P012287,59.83,True,1,1,0,0,0
10.1186/s12906-021-03273-7,Table S2,68,ABCB1,ABCB1,ATP Binding Cassette Subfamily B Member 1,51,GC07M087504,59.65,False,,,,,
10.1186/s12906-021-03273-7,Table S2,69,MTOR,MTOR,Mechanistic Target Of Rapamycin Kinase,54,GC01M011106,59.26,False,,,,,
10.1186/s12906-021-03273-7,Table S2,70,MIR21,MIR21,MicroRNA 21,24,GC17P059841,58.97,False,,,,,
10.1186/s12906-021-03273-7,Table S2,71,MCC,MCC,MCC Regulator Of WNT Signaling Pathway,40,GC05M113022,58.59,False,,,,,
10.1186/s12906-021-03273-7,Table S2,72,MGMT,MGMT,O-6-Methylguanine-DNA Methyltransferase,50,GC10P129467,58,False,,,,,
10.1186/s12906-021-03273-7,Table S2,73,SMAD7,SMAD7,SMAD Family Member 7,43,GC18M048919,57.74,False,,,,,
10.1186/s12906-021-03273-7,Table S2,74,FAS,FAS,Fas Cell Surface Death Receptor,50,GC10P088969,57.13,False,,,,,
10.1186/s12906-021-03273-7,Table S2,75,SRC,SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",51,GC20P037344,56.94,False,,,,,
10.1186/s12906-021-03273-7,Table S2,76,NOTCH1,NOTCH1,Notch Receptor 1,51,GC09M136602,56.81,False,,,,,
10.1186/s12906-021-03273-7,Table S2,77,FGFR2,FGFR2,Fibroblast Growth Factor Receptor 2,54,GC10M121478,56.58,False,,,,,
10.1186/s12906-021-03273-7,Table S2,78,IL10,IL10,Interleukin 10,47,GC01M206767,56.55,False,,,,,
10.1186/s12906-021-03273-7,Table S2,79,CASP8,CASP8,Caspase 8,52,GC02P201233,56.46,False,,,,,
10.1186/s12906-021-03273-7,Table S2,80,MTHFR,MTHFR,Methylenetetrahydrofolate Reductase,47,GC01M011785,55.73,False,,,,,
10.1186/s12906-021-03273-7,Table S2,81,CXCR4,CXCR4,C-X-C Motif Chemokine Receptor 4,52,GC02M136114,55.7,True,1,1,0,0,0
10.1186/s12906-021-03273-7,Table S2,82,IFNG,IFNG,Interferon Gamma,48,GC12M068064,54.79,False,,,,,
10.1186/s12906-021-03273-7,Table S2,83,PMS1,PMS1,"PMS1 Homolog 1, Mismatch Repair System Component",40,GC02P189784,54.74,False,,,,,
10.1186/s12906-021-03273-7,Table S2,84,ALK,ALK,ALK Receptor Tyrosine Kinase,51,GC02M029156,54.74,False,,,,,
10.1186/s12906-021-03273-7,Table S2,85,MRE11,MRE11,"MRE11 Homolog, Double Strand Break Repair Nuclease",41,GC11M094444,54.16,False,,,,,
10.1186/s12906-021-03273-7,Table S2,86,CTNNA1,CTNNA1,Catenin Alpha 1,47,GC05P138613,53.96,False,,,,,
10.1186/s12906-021-03273-7,Table S2,87,SMARCA4,SMARCA4,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4",50,GC19P010932,53.64,False,,,,,
10.1186/s12906-021-03273-7,Table S2,88,MIR31,MIR31,MicroRNA 31,20,GC09M021513,53.42,False,,,,,
10.1186/s12906-021-03273-7,Table S2,89,SMAD3,SMAD3,SMAD Family Member 3,49,GC15P067063,53.27,False,,,,,
10.1186/s12906-021-03273-7,Table S2,90,TSC2,TSC2,TSC Complex Subunit 2,50,GC16P002436,53.24,False,,,,,
10.1186/s12906-021-03273-7,Table S2,91,XRCC2,XRCC2,X-Ray Repair Cross Complementing 2,42,GC07M152644,53.22,False,,,,,
10.1186/s12906-021-03273-7,Table S2,92,RNF43,RNF43,Ring Finger Protein 43,37,GC17M058352,53.17,False,,,,,
10.1186/s12906-021-03273-7,Table S2,93,AURKA,AURKA,Aurora Kinase A,50,GC20M056370,52.89,False,,,,,
10.1186/s12906-021-03273-7,Table S2,94,MIR17,MIR17,MicroRNA 17,21,GC13P091350,52.73,False,,,,,
10.1186/s12906-021-03273-7,Table S2,95,DNMT1,DNMT1,DNA Methyltransferase 1,50,GC19M010133,52.73,False,,,,,
10.1186/s12906-021-03273-7,Table S2,96,FASLG,FASLG,Fas Ligand,47,GC01P172628,52.64,False,,,,,
10.1186/s12906-021-03273-7,Table S2,97,CDKN2B,CDKN2B,Cyclin Dependent Kinase Inhibitor 2B,47,GC09M022002,52.4,False,,,,,
10.1186/s12906-021-03273-7,Table S2,98,IGF2,IGF2,Insulin Like Growth Factor 2,48,GC11M002130,52.26,False,,,,,
10.1186/s12906-021-03273-7,Table S2,99,PIK3R1,PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,51,GC05P068215,52.02,False,,,,,
10.1186/s12906-021-03273-7,Table S2,100,MIR145,MIR145,MicroRNA 145,21,GC05P149430,51.88,False,,,,,
10.1186/s12906-021-03273-7,Table S2,101,MAP2K1,MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,54,GC15P066386,51.37,False,,,,,
10.1186/s12906-021-03273-7,Table S2,102,FHIT,FHIT,Fragile Histidine Triad Diadenosine Triphosphatase,44,GC03M059747,51.12,False,,,,,
10.1186/s12906-021-03273-7,Table S2,103,TNFRSF10B,TNFRSF10B,TNF Receptor Superfamily Member 10b,50,GC08M023020,50.91,False,,,,,
10.1186/s12906-021-03273-7,Table S2,104,EZH2,EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,54,GC07M148807,50.72,False,,,,,
10.1186/s12906-021-03273-7,Table S2,105,ERCC6,ERCC6,"ERCC Excision Repair 6, Chromatin Remodeling Factor",45,GC10M049454,50.51,False,,,,,
10.1186/s12906-021-03273-7,Table S2,106,STAT1,STAT1,Signal Transducer And Activator Of Transcription 1,53,GC02M190908,50.5,False,,,,,
10.1186/s12906-021-03273-7,Table S2,107,TCF7L2,TCF7L2,Transcription Factor 7 Like 2,45,GC10P112950,50.47,False,,,,,
10.1186/s12906-021-03273-7,Table S2,108,DCC,DCC,DCC Netrin 1 Receptor,46,GC18P052340,50.42,False,,,,,
10.1186/s12906-021-03273-7,Table S2,109,RAF1,RAF1,"Raf-1 Proto-Oncogene, Serine/Threonine Kinase",54,GC03M012583,50.33,False,,,,,
10.1186/s12906-021-03273-7,Table S2,110,TYMP,TYMP,Thymidine Phosphorylase,46,GC22M050525,50.29,False,,,,,
10.1186/s12906-021-03273-7,Table S2,111,BUB1B,BUB1B,BUB1 Mitotic Checkpoint Serine/Threonine Kinase B,49,GC15P040161,50.27,False,,,,,
10.1186/s12906-021-03273-7,Table S2,112,GNAS,GNAS,GNAS Complex Locus,50,GC20P058839,50.26,False,,,,,
10.1186/s12906-021-03273-7,Table S2,113,MIR34A,MIR34A,MicroRNA 34a,22,GC01M009151,50.23,False,,,,,
10.1186/s12906-021-03273-7,Table S2,114,MMP1,MMP1,Matrix Metallopeptidase 1,51,GC11M102810,50.12,False,,,,,
10.1186/s12906-021-03273-7,Table S2,115,PTCH1,PTCH1,Patched 1,50,GC09M095442,50.07,False,,,,,
10.1186/s12906-021-03273-7,Table S2,116,PDGFRA,PDGFRA,Platelet Derived Growth Factor Receptor Alpha,55,GC04P054229,49.8,False,,,,,
10.1186/s12906-021-03273-7,Table S2,117,H19,H19,H19 Imprinted Maternally Expressed Transcript,28,GC11M001995,49.66,False,,,,,
10.1186/s12906-021-03273-7,Table S2,118,TGFBR1,TGFBR1,Transforming Growth Factor Beta Receptor 1,52,GC09P099104,49.65,False,,,,,
10.1186/s12906-021-03273-7,Table S2,119,NFKB1,NFKB1,Nuclear Factor Kappa B Subunit 1,52,GC04P102501,49.58,False,,,,,
10.1186/s12906-021-03273-7,Table S2,120,MIR143,MIR143,MicroRNA 143,22,GC05P149410,49.54,False,,,,,
10.1186/s12906-021-03273-7,Table S2,121,AKT2,AKT2,AKT Serine/Threonine Kinase 2,54,GC19M040230,49.37,False,,,,,
10.1186/s12906-021-03273-7,Table S2,122,PLAU,PLAU,"Plasminogen Activator, Urokinase",51,GC10P073909,49.3,False,,,,,
10.1186/s12906-021-03273-7,Table S2,123,TLR4,TLR4,Toll Like Receptor 4,51,GC09P117704,49.09,False,,,,,
10.1186/s12906-021-03273-7,Table S2,124,FLT1,FLT1,Fms Related Receptor Tyrosine Kinase 1,51,GC13M028300,49.03,False,,,,,
10.1186/s12906-021-03273-7,Table S2,125,ERCC2,ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",47,GC19M045349,48.59,False,,,,,
10.1186/s12906-021-03273-7,Table S2,126,PDGFRB,PDGFRB,Platelet Derived Growth Factor Receptor Beta,55,GC05M150113,48.46,False,,,,,
10.1186/s12906-021-03273-7,Table S2,127,CXCL12,CXCL12,C-X-C Motif Chemokine Ligand 12,45,GC10M044294,48.39,False,,,,,
10.1186/s12906-021-03273-7,Table S2,128,ESR2,ESR2,Estrogen Receptor 2,49,GC14M064084,48.26,False,,,,,
10.1186/s12906-021-03273-7,Table S2,129,FLT4,FLT4,Fms Related Receptor Tyrosine Kinase 4,52,GC05M180607,47.95,False,,,,,
10.1186/s12906-021-03273-7,Table S2,130,MIR126,MIR126,MicroRNA 126,22,GC09P136670,47.56,False,,,,,
10.1186/s12906-021-03273-7,Table S2,131,MIR155,MIR155,MicroRNA 155,18,GC21P025573,47.35,False,,,,,
10.1186/s12906-021-03273-7,Table S2,132,GREM1,GREM1,"Gremlin 1, DAN Family BMP Antagonist",44,GC15P032720,47.2,False,,,,,
10.1186/s12906-021-03273-7,Table S2,133,XIAP,XIAP,X-Linked Inhibitor Of Apoptosis,49,GC0XP123859,47.18,False,,,,,
10.1186/s12906-021-03273-7,Table S2,134,PROM1,PROM1,Prominin 1,44,GC04M015965,47.1,False,,,,,
10.1186/s12906-021-03273-7,Table S2,135,MIR125A,MIR125A,MicroRNA 125a,21,GC19P051720,47.06,False,,,,,
10.1186/s12906-021-03273-7,Table S2,136,ODC1,ODC1,Ornithine Decarboxylase 1,47,GC02M010432,46.98,False,,,,,
10.1186/s12906-021-03273-7,Table S2,137,MIR146A,MIR146A,MicroRNA 146a,22,GC05P160485,46.88,False,,,,,
10.1186/s12906-021-03273-7,Table S2,138,AKT3,AKT3,AKT Serine/Threonine Kinase 3,52,GC01M243488,46.86,False,,,,,
10.1186/s12906-021-03273-7,Table S2,139,SPP1,SPP1,Secreted Phosphoprotein 1,46,GC04P087975,46.73,False,,,,,
10.1186/s12906-021-03273-7,Table S2,140,SLC2A1,SLC2A1,Solute Carrier Family 2 Member 1,52,GC01M042925,46.62,False,,,,,
10.1186/s12906-021-03273-7,Table S2,141,MIR221,MIR221,MicroRNA 221,20,GC0XM045746,46.38,False,,,,,
10.1186/s12906-021-03273-7,Table S2,142,MIR141,MIR141,MicroRNA 141,21,GC12P008231,46.34,False,,,,,
10.1186/s12906-021-03273-7,Table S2,143,PTGS2,PTGS2,Prostaglandin-Endoperoxide Synthase 2,48,GC01M186640,46.06,True,1,1,0,0,0
10.1186/s12906-021-03273-7,Table S2,144,OGG1,OGG1,8-Oxoguanine DNA Glycosylase,47,GC03P009751,45.83,False,,,,,
10.1186/s12906-021-03273-7,Table S2,145,MIR200C,MIR200C,MicroRNA 200c,21,GC12P008229,45.61,False,,,,,
10.1186/s12906-021-03273-7,Table S2,146,MEG3,MEG3,Maternally Expressed 3,29,GC14P104771,45.55,False,,,,,
10.1186/s12906-021-03273-7,Table S2,147,XRCC3,XRCC3,X-Ray Repair Cross Complementing 3,41,GC14M103697,45.43,False,,,,,
10.1186/s12906-021-03273-7,Table S2,148,TOP2A,TOP2A,DNA Topoisomerase II Alpha,50,GC17M040388,45.4,False,,,,,
10.1186/s12906-021-03273-7,Table S2,149,MIR27A,MIR27A,MicroRNA 27a,22,GC19M014010,45.38,False,,,,,
10.1186/s12906-021-03273-7,Table S2,150,TP73,TP73,Tumor Protein P73,45,GC01P003652,45.21,False,,,,,
10.1186/s12906-021-03273-7,Table S2,151,AR,AR,Androgen Receptor,53,GC0XP067544,45.21,False,,,,,
10.1186/s12906-021-03273-7,Table S2,152,RAD51,RAD51,RAD51 Recombinase,52,GC15P040694,45.11,False,,,,,
10.1186/s12906-021-03273-7,Table S2,153,AXIN1,AXIN1,Axin 1,47,GC16M000287,45.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,154,HSPB1,HSPB1,Heat Shock Protein Family B (Small) Member 1,51,GC07P076302,44.93,False,,,,,
10.1186/s12906-021-03273-7,Table S2,155,ERCC1,ERCC1,"ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit",45,GC19M045409,44.78,False,,,,,
10.1186/s12906-021-03273-7,Table S2,156,JAK2,JAK2,Janus Kinase 2,54,GC09P004985,44.56,False,,,,,
10.1186/s12906-021-03273-7,Table S2,157,MIR200B,MIR200B,MicroRNA 200b,20,GC01P001167,44.38,False,,,,,
10.1186/s12906-021-03273-7,Table S2,158,TGFB2,TGFB2,Transforming Growth Factor Beta 2,50,GC01P218345,44.37,False,,,,,
10.1186/s12906-021-03273-7,Table S2,159,TIMP3,TIMP3,TIMP Metallopeptidase Inhibitor 3,45,GC22P032800,44.32,False,,,,,
10.1186/s12906-021-03273-7,Table S2,160,IDH1,IDH1,Isocitrate Dehydrogenase (NADP(+)) 1,52,GC02M208236,44.29,False,,,,,
10.1186/s12906-021-03273-7,Table S2,161,MIR222,MIR222,MicroRNA 222,21,GC0XM045747,44.25,False,,,,,
10.1186/s12906-021-03273-7,Table S2,162,GLI1,GLI1,GLI Family Zinc Finger 1,47,GC12P057460,44.17,False,,,,,
10.1186/s12906-021-03273-7,Table S2,163,CDKN3,CDKN3,Cyclin Dependent Kinase Inhibitor 3,42,GC14P054398,44.15,False,,,,,
10.1186/s12906-021-03273-7,Table S2,164,FANCC,FANCC,FA Complementation Group C,47,GC09M095099,44.12,False,,,,,
10.1186/s12906-021-03273-7,Table S2,165,RELA,RELA,"RELA Proto-Oncogene, NF-KB Subunit",50,GC11M065653,44.02,True,1,1,0,0,0
10.1186/s12906-021-03273-7,Table S2,166,MIR205,MIR205,MicroRNA 205,20,GC01P209432,44.02,False,,,,,
10.1186/s12906-021-03273-7,Table S2,167,YAP1,YAP1,Yes1 Associated Transcriptional Regulator,47,GC11P102110,43.97,False,,,,,
10.1186/s12906-021-03273-7,Table S2,168,ERBB4,ERBB4,Erb-B2 Receptor Tyrosine Kinase 4,55,GC02M211375,43.92,False,,,,,
10.1186/s12906-021-03273-7,Table S2,169,TWIST1,TWIST1,Twist Family BHLH Transcription Factor 1,45,GC07M019020,43.78,False,,,,,
10.1186/s12906-021-03273-7,Table S2,170,MIR200A,MIR200A,MicroRNA 200a,21,GC01P001463,43.7,False,,,,,
10.1186/s12906-021-03273-7,Table S2,171,NFE2L2,NFE2L2,"Nuclear Factor, Erythroid 2 Like 2",48,GC02M177227,43.66,False,,,,,
10.1186/s12906-021-03273-7,Table S2,172,MIR195,MIR195,MicroRNA 195,19,GC17M007018,43.57,False,,,,,
10.1186/s12906-021-03273-7,Table S2,173,BUB1,BUB1,BUB1 Mitotic Checkpoint Serine/Threonine Kinase,49,GC02M110637,43.5,False,,,,,
10.1186/s12906-021-03273-7,Table S2,174,MIR182,MIR182,MicroRNA 182,20,GC07M129770,43.34,False,,,,,
10.1186/s12906-021-03273-7,Table S2,175,ZEB1,ZEB1,Zinc Finger E-Box Binding Homeobox 1,48,GC10P031318,43.18,False,,,,,
10.1186/s12906-021-03273-7,Table S2,176,MMP2,MMP2,Matrix Metallopeptidase 2,53,GC16P055390,43.13,True,1,1,0,0,0
10.1186/s12906-021-03273-7,Table S2,177,MIR214,MIR214,MicroRNA 214,20,GC01M172234,43.06,False,,,,,
10.1186/s12906-021-03273-7,Table S2,178,MIR483,MIR483,MicroRNA 483,18,GC11M002188,42.79,False,,,,,
10.1186/s12906-021-03273-7,Table S2,179,MAP2K2,MAP2K2,Mitogen-Activated Protein Kinase Kinase 2,53,GC19M004090,42.7,False,,,,,
10.1186/s12906-021-03273-7,Table S2,180,MIR20A,MIR20A,MicroRNA 20a,19,GC13P091434,42.69,False,,,,,
10.1186/s12906-021-03273-7,Table S2,181,WNT5A,WNT5A,Wnt Family Member 5A,49,GC03M055465,42.61,False,,,,,
10.1186/s12906-021-03273-7,Table S2,182,MIR223,MIR223,MicroRNA 223,21,GC0XP066018,42.41,False,,,,,
10.1186/s12906-021-03273-7,Table S2,183,MEN1,MEN1,Menin 1,46,GC11M064803,42.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,184,MIR142,MIR142,MicroRNA 142,20,GC17M058331,42.31,False,,,,,
10.1186/s12906-021-03273-7,Table S2,185,MIR335,MIR335,MicroRNA 335,18,GC07P130496,42.15,False,,,,,
10.1186/s12906-021-03273-7,Table S2,186,NOD2,NOD2,Nucleotide Binding Oligomerization Domain Containing 2,48,GC16P050693,42.14,False,,,,,
10.1186/s12906-021-03273-7,Table S2,187,MIR183,MIR183,MicroRNA 183,18,GC07M129789,42.14,False,,,,,
10.1186/s12906-021-03273-7,Table S2,188,CHEK1,CHEK1,Checkpoint Kinase 1,50,GC11P125625,42.07,False,,,,,
10.1186/s12906-021-03273-7,Table S2,189,NOS2,NOS2,Nitric Oxide Synthase 2,49,GC17M027756,42.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,190,MUC1,MUC1,"Mucin 1, Cell Surface Associated",47,GC01M155185,41.99,False,,,,,
10.1186/s12906-021-03273-7,Table S2,191,PIK3R2,PIK3R2,Phosphoinositide-3-Kinase Regulatory Subunit 2,49,GC19P018153,41.85,False,,,,,
10.1186/s12906-021-03273-7,Table S2,192,MIR22,MIR22,MicroRNA 22,20,GC17M001713,41.78,False,,,,,
10.1186/s12906-021-03273-7,Table S2,193,CYP1B1,CYP1B1,Cytochrome P450 Family 1 Subfamily B Member 1,48,GC02M038034,41.76,False,,,,,
10.1186/s12906-021-03273-7,Table S2,194,NTHL1,NTHL1,Nth Like DNA Glycosylase 1,44,GC16M002192,41.67,False,,,,,
10.1186/s12906-021-03273-7,Table S2,195,ENG,ENG,Endoglin,46,GC09M127815,41.65,False,,,,,
10.1186/s12906-021-03273-7,Table S2,196,ICAM1,ICAM1,Intercellular Adhesion Molecule 1,50,GC19P010270,41.52,False,,,,,
10.1186/s12906-021-03273-7,Table S2,197,MIR203A,MIR203A,MicroRNA 203a,19,GC14P104655,41.48,False,,,,,
