source_article,source_table,article_rank,gene_symbol_raw,gene_symbol,description,gifts,genecard_id,relevance_score,in_dinp_93,dinp_support_count,CTD,ToxCast,Tox21,T3DB
10.1186/s12906-021-03273-7,Table S2,1630,RBP4,RBP4,Retinol Binding Protein 4,44,GC10M093591,11.44,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1631,DRD4,DRD4,Dopamine Receptor D4,46,GC11P000660,11.44,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1632,IGFBP1,IGFBP1,Insulin Like Growth Factor Binding Protein 1,43,GC07P046552,11.43,True,1,1,0,0,0
10.1186/s12906-021-03273-7,Table S2,1633,PURPL,PURPL,P53 Upregulated Regulator Of P53 Levels,11,GC05P027217,11.41,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1634,CEMIP,CEMIP,Cell Migration Inducing Hyaluronidase 1,33,GC15P080779,11.41,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1635,CR1,CR1,Complement C3b/C4b Receptor 1 (Knops Blood Group),44,GC01P207496,11.4,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1636,SNHG17,SNHG17,Small Nucleolar RNA Host Gene 17,17,GC20M038420,11.39,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1637,ERCC3,ERCC3,"ERCC Excision Repair 3, TFIIH Core Complex Helicase Subunit",47,GC02M127257,11.39,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1638,TGM1,TGM1,Transglutaminase 1,45,GC14M024249,11.38,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1639,DAB2IP,DAB2IP,DAB2 Interacting Protein,39,GC09P121566,11.38,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1640,CAGE1,CAGE1,Cancer Antigen 1,35,GC06M007326,11.38,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1641,ABCB11,ABCB11,ATP Binding Cassette Subfamily B Member 11,45,GC02M168922,11.38,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1642,USHBP1,USHBP1,USH1 Protein Network Component Harmonin Binding Protein 1,35,GC19M017249,11.37,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1643,S100P,S100P,S100 Calcium Binding Protein P,40,GC04P006700,11.37,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1644,LINC00538,LINC00538,Long Intergenic Non-Protein Coding RNA 538,12,GC01P213924,11.37,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1645,TH2LCRR,TH2LCRR,T Helper Type 2 Locus Control Region Associated RNA,10,GC05M132631,11.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1646,LINC00659,LINC00659,Long Intergenic Non-Protein Coding RNA 659,14,GC20M062774,11.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1647,IL12B,IL12B,Interleukin 12B,44,GC05M159314,11.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1648,FOXD2-AS1,FOXD2-AS1,FOXD2 Adjacent Opposite Strand RNA 1,16,GC01M047432,11.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1649,SNHG3,SNHG3,Small Nucleolar RNA Host Gene 3,17,GC01P028506,11.35,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1650,KLRK1,KLRK1,Killer Cell Lectin Like Receptor K1,40,GC12M013865,11.35,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1651,NSD1,NSD1,Nuclear Receptor Binding SET Domain Protein 1,43,GC05P177134,11.34,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1652,FAP,FAP,Fibroblast Activation Protein Alpha,42,GC02M162170,11.34,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1653,MIR202,MIR202,MicroRNA 202,17,GC10M133247,11.32,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1654,GPR68,GPR68,G Protein-Coupled Receptor 68,43,GC14M091232,11.32,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1655,BMP7,BMP7,Bone Morphogenetic Protein 7,45,GC20M057168,11.32,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1656,NACC1,NACC1,Nucleus Accumbens Associated 1,40,GC19P013117,11.31,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1657,GFRA1,GFRA1,GDNF Family Receptor Alpha 1,44,GC10M116056,11.31,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1658,GPRC5D-AS1,GPRC5D-AS1,GPRC5D And HEBP1 Antisense RNA 1,12,GC12P012928,11.3,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1659,SRA1,SRA1,Steroid Receptor RNA Activator 1,37,GC05M140537,11.29,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1660,RIPK1,RIPK1,Receptor Interacting Serine/Threonine Kinase 1,49,GC06P003064,11.29,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1661,DLL4,DLL4,Delta Like Canonical Notch Ligand 4,45,GC15P040929,11.29,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1662,CTCF,CTCF,CCCTC-Binding Factor,46,GC16P067563,11.29,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1663,FOXP4-AS1,FOXP4-AS1,FOXP4 Antisense RNA 1,14,GC06M041494,11.28,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1664,VIM-AS1,VIM-AS1,VIM Antisense RNA 1,15,GC10M017172,11.27,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1665,TET2,TET2,Tet Methylcytosine Dioxygenase 2,44,GC04P105145,11.27,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1666,BCL3,BCL3,BCL3 Transcription Coactivator,41,GC19P044747,11.27,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1667,AOC4P,AOC4P,"Amine Oxidase Copper Containing 4, Pseudogene",10,GC17P042865,11.27,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1668,KRT1,KRT1,Keratin 1,44,GC12M052674,11.26,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1669,LAMA2,LAMA2,Laminin Subunit Alpha 2,43,GC06P128863,11.23,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1670,KNG1,KNG1,Kininogen 1,44,GC03P186717,11.23,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1671,AAGAB,AAGAB,Alpha And Gamma Adaptin Binding Protein,40,GC15M067200,11.23,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1672,SNHG7,SNHG7,Small Nucleolar RNA Host Gene 7,20,GC09M136721,11.22,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1673,HSPB2,HSPB2,Heat Shock Protein Family B (Small) Member 2,40,GC11P111913,11.21,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1674,PEBP1,PEBP1,Phosphatidylethanolamine Binding Protein 1,44,GC12P118135,11.2,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1675,MIR376B,MIR376B,MicroRNA 376b,14,GC14P104792,11.2,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1676,LINC01527,LINC01527,Long Intergenic Non-Protein Coding RNA 1527,11,GC01M152930,11.2,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1677,FENDRR,FENDRR,FOXF1 Adjacent Non-Coding Developmental Regulatory RNA,17,GC16M086511,11.19,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1678,YY1,YY1,YY1 Transcription Factor,48,GC14P100238,11.18,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1679,SBDSP1,SBDSP1,SBDS Pseudogene 1,14,GC07P072835,11.18,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1680,SCNN1A,SCNN1A,Sodium Channel Epithelial 1 Subunit Alpha,47,GC12M006346,11.17,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1681,PINCR,PINCR,P53-Induced Noncoding RNA,10,GC0XP043177,11.17,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1682,LINC01617,LINC01617,Long Intergenic Non-Protein Coding RNA 1617,9,GC08P073879,11.17,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1683,HMBS,HMBS,Hydroxymethylbilane Synthase,44,GC11P119084,11.17,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1684,DLEU7-AS1,DLEU7-AS1,DLEU7 Antisense RNA 1,17,GC13P050089,11.17,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1685,GH1,GH1,Growth Hormone 1,44,GC17M063917,11.16,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1686,CAHM,CAHM,Colon Adenocarcinoma Hypermethylated,16,GC06M163413,11.15,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1687,HSD11B1,HSD11B1,Hydroxysteroid 11-Beta Dehydrogenase 1,49,GC01P209686,11.14,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1688,ITGA9,ITGA9,Integrin Subunit Alpha 9,43,GC03P037468,11.13,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1689,BTG3-AS1,BTG3-AS1,BTG3 Antisense RNA 1,9,GC21P017612,11.13,False,,,,,
