background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,raw_hypergeom_p,gprofiler_adjusted_p,gprofiler_significant,intersection_genes,parents,query_input_symbols,background_input_symbols
gelsemium_crc1893,REAC,REAC:R-HSA-8978868,Fatty acid metabolism,Fatty acid metabolism,26,1875,41,9,1.0845346654022006e-09,3.9802422220154506e-07,True,AKR1C3;CYP1A2;CYP2C9;HPGD;PPARD;PTGES2;PTGS1;PTGS2;RXRA,REAC:R-HSA-556833,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Synthesis of Prostaglandins (PG) and Thromboxanes (TX),5,1875,41,5,3.9012655063443114e-09,7.158822204138875e-07,True,AKR1C3;HPGD;PTGES2;PTGS1;PTGS2,REAC:R-HSA-2142753,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2142753,Arachidonate metabolism,Arachidonate metabolism,17,1875,41,7,2.32921145293407e-08,2.8494020107466143e-06,True,AKR1C3;CYP1A2;CYP2C9;HPGD;PTGES2;PTGS1;PTGS2,REAC:R-HSA-8978868,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-4090294,SUMOylation of intracellular receptors,SUMOylation of intracellular receptors,13,1875,41,6,1.1507264672446835e-07,1.0557915336946468e-05,True,ESR1;NR3C1;PGR;PPARA;PPARG;RXRA,REAC:R-HSA-3108232,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-556833,Metabolism of lipids,Metabolism of lipids,89,1875,41,12,1.588496950100027e-07,1.165956761370459e-05,True,AKR1C3;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;RXRA,REAC:R-HSA-1430728,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-383280,Nuclear Receptor transcription pathway,Nuclear Receptor transcription pathway,16,1875,41,6,5.115350555187768e-07,3.12888942291696e-05,True,ESR1;PGR;PPARA;PPARD;PPARG;RXRA,REAC:R-HSA-212436,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),Biosynthesis of specialized proresolving mediators (SPMs),10,1875,41,5,9.067507140612004e-07,4.159718900749383e-05,True,CYP1A2;CYP2C9;CYP3A4;HPGD;PTGS2,REAC:R-HSA-556833,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9018677,Biosynthesis of DHA-derived SPMs,Biosynthesis of DHA-derived SPMs,10,1875,41,5,9.067507140612004e-07,4.159718900749383e-05,True,CYP1A2;CYP2C9;CYP3A4;HPGD;PTGS2,REAC:R-HSA-9018678,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9027307,Biosynthesis of maresin-like SPMs,Biosynthesis of maresin-like SPMs,5,1875,41,3,9.424937479607921e-05,0.0027063304076110754,True,CYP1A2;CYP2C9;CYP3A4,REAC:R-HSA-9018682,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,Cellular responses to stimuli,161,1875,41,12,9.351711309340212e-05,0.0027063304076110754,True,CA9;HSPA1A;IGFBP1;IL1A;NR3C1;PGR;PPARA;RELA;RXRA;SIRT1;SQSTM1;STAT3,REAC:0000000,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-211945,Phase I - Functionalization of compounds,Phase I - Functionalization of compounds,23,1875,41,5,9.812329252584365e-05,0.0027063304076110754,True,CYP1A2;CYP2C9;CYP3A4;PTGS1;RXRA,REAC:R-HSA-211859,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2262752,Cellular responses to stress,Cellular responses to stress,161,1875,41,12,9.351711309340212e-05,0.0027063304076110754,True,CA9;HSPA1A;IGFBP1;IL1A;NR3C1;PGR;PPARA;RELA;RXRA;SIRT1;SQSTM1;STAT3,REAC:R-HSA-8953897,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2990846,SUMOylation,SUMOylation,53,1875,41,7,0.00010323876214365848,0.0027063304076110754,True,ESR1;NR3C1;PGR;PPARA;PPARG;RELA;RXRA,REAC:R-HSA-597592,41,1893
