gene_symbol,ml_rank,stable_ml_flag,ml_priority_score,expression_measured,cross_rank,cross_support_flag,ppi_pathway_candidate,independent_datasets_significant_fdr_lt_0_05,representative_term_count,hub_rank,cross_rank_score,candidate_tier,consensus_direction,stable_ml,tier1,ppi_pathway_candidate_flag,transcriptomic_replicated_ge2,crossrank_top20,overlap_group_stable_vs_tier1
CEBPB,14,True,0.8197203152575905,True,11,True,True,3,12,17.0,0.7055074353008313,Tier 1: cross-supported,tumor_high,True,True,True,True,True,both_stable_ml_and_tier1
ACACA,9,True,0.8674028610630703,True,21,False,False,3,13,40.0,0.6506510486126246,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
AGTR1,17,True,0.8197203152575905,True,41,False,False,3,11,65.0,0.4947912878821037,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
ANGPT2,15,True,0.8197203152575905,True,55,False,False,3,11,77.0,0.42304060045179126,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
BMP2,7,True,0.913287219706549,True,57,False,False,3,9,70.0,0.41971419647021907,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
CD36,1,True,0.913287219706549,True,3,False,False,3,17,23.0,0.7779631671515943,Tier 2: replicated + pathway,normal_high,True,False,False,True,True,stable_ml_only
CNR1,2,True,0.913287219706549,True,59,False,False,3,12,82.0,0.4038022047080674,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
EPAS1,16,True,0.8197203152575905,True,30,False,False,3,11,55.0,0.5417369788823629,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
FABP1,10,True,0.8674020919061598,True,46,False,False,3,9,62.0,0.4576376559938695,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
FASN,8,True,0.8674028610630703,True,23,False,False,3,11,32.0,0.6266280578075623,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
INHBA,3,True,0.913287219706549,True,73,False,False,3,10,86.0,0.2617853483756729,Tier 2: replicated + pathway,mixed_or_flat,True,False,False,True,False,stable_ml_only
MKI67,13,True,0.8340076024344198,True,77,False,False,3,3,74.0,0.22316827721358934,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
NR3C1,11,True,0.8674020919061598,True,48,False,False,3,6,29.0,0.45323702134953936,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
RXRA,12,True,0.8674020919061598,True,6,False,False,3,15,30.0,0.7313810468993645,Tier 2: replicated + pathway,normal_high,True,False,False,True,True,stable_ml_only
TIMP1,4,True,0.913287219706549,True,34,False,False,3,8,33.0,0.524548239530241,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
UBE2C,5,True,0.913287219706549,True,69,False,False,3,6,75.0,0.3111453388930218,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
VEGFA,6,True,0.913287219706549,True,91,False,False,2,0,63.0,0.0,"Tier 2b: replicated, no representative pathway",tumor_high,True,False,False,True,False,stable_ml_only
ADIPOQ,18,False,0.784034276104129,True,20,True,True,2,14,18.0,0.6525269844633746,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
ESR1,30,False,0.7291405886365134,True,5,True,True,3,14,14.0,0.7593568170781089,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
IFNG,81,False,0.37706044593587273,True,16,True,True,2,20,9.0,0.6663756963332974,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
IL13,72,False,0.37706044593587273,True,22,True,True,2,16,13.0,0.6372497501705612,Tier 1: cross-supported,tumor_high,False,True,True,True,False,tier1_only
IL18,25,False,0.7291405886365134,True,13,True,True,3,12,20.0,0.6965760012083918,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
IL1A,24,False,0.7291405886365134,True,2,True,True,3,21,15.0,0.8281522762691048,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
IL1B,60,False,0.49284882632187943,True,1,True,True,3,26,6.0,0.8737094376549739,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
IL6,70,False,0.37706044593587273,True,7,True,True,2,33,1.0,0.7148755559881849,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
MMP9,61,False,0.49284882632187943,True,12,True,True,2,15,8.0,0.7023469218823111,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
PPARA,57,False,0.49284882632187943,True,10,True,True,3,15,16.0,0.7078928540838925,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
PPARG,58,False,0.49284882632187943,True,15,True,True,2,20,7.0,0.6713862280515996,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
RELA,82,False,0.35248711370187336,True,14,True,True,2,28,12.0,0.6815791861683784,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
SREBF1,73,False,0.37706044593587273,True,38,True,True,2,14,19.0,0.5157164462816805,Tier 1: cross-supported,mixed_or_flat,False,True,True,True,False,tier1_only
STAT3,74,False,0.37706044593587273,True,4,True,True,2,28,5.0,0.770227225469764,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
TP53,42,False,0.6015607584938483,True,9,True,True,2,33,3.0,0.7098762626653397,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
ACE,68,False,0.47323651009483314,True,62,False,False,1,12,48.0,0.3774420616087336,Tier 4: other,normal_high,False,False,False,False,False,neither
ACLY,27,False,0.7291405886365134,True,35,False,False,3,9,46.0,0.5188268735912662,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
ACP3,96,False,0.0,False,96,False,False,0,0,79.0,0.0,Tier 4: other,mixed_or_flat,False,False,False,False,False,neither
ACSL4,28,False,0.7291405886365134,True,32,False,False,3,15,72.0,0.5265408907238522,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
AKT1,86,False,0.23736954635986213,True,27,False,True,1,42,4.0,0.5663318620104366,Tier 3: PPI/pathway only,normal_high,False,False,True,False,False,neither
ALOX5,84,False,0.23736954635986213,True,95,False,False,0,13,76.0,0.0,Tier 4: other,normal_high,False,False,False,False,False,neither
ANGPTL4,87,False,0.23736954635986213,True,74,False,False,1,8,67.0,0.25669211614612925,Tier 4: other,normal_high,False,False,False,False,False,neither
AR,40,False,0.6557555554451481,True,51,False,False,2,8,37.0,0.44848243623415923,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
