cross_rank,gene_symbol,protein_name,source_databases,DINP_evidence_grade,DINP_evidence_partition,DINP_database_source,DINP_evidence_type,DINP_independent_source_count,candidate_tier,cross_support_flag,ppi_pathway_candidate,cross_rank_score,ppi_hub_score,pathway_component_score,transcriptomic_component_score,ppi_component_rank,pathway_component_rank,transcriptomic_component_rank,hub_rank,hub_tier,mapping_status,in_network,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,representative_term_count,representative_description_count,GO_BP_term_count,GO_CC_term_count,GO_MF_term_count,KEGG_term_count,pathway_min_fdr,independent_datasets_measured,independent_datasets_significant_fdr_lt_0_05,independent_datasets_tumor_high,independent_datasets_normal_high,direction_concordance_fraction,consensus_direction,significant_datasets,significant_directions,sensitivity_contrasts_significant_fdr_lt_0_05,primary_dataset_replication_fraction
11,IL18,interleukin 18,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.7666810931053485,0.8020833333333334,0.5618556701030928,1.0,20,40,1,20.0,top20,mapped,yes,13,11.845,0.0173701922731436,0.3545540497951465,0.1451221608927316,0.0156412776832091,12,12.0,5,2,1,4,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
12,IL6,interleukin 6,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.7565294730679974,1.0,0.9742268041237113,0.4444444444444444,1,3,57,1.0,top20,mapped,yes,38,32.821,0.0897487910364966,0.493421052631579,0.3022117062484288,0.0410686529853214,33,33.0,13,2,1,17,6.120000000000001e-36,3,2,2,1,0.6666666666666666,tumor_high,GSE74602; TCGA-COAD,GSE74602:tumor_high; TCGA-COAD:tumor_high,0,0.6666666666666666
13,TP53,tumor protein p53,GeneCards;OMIM;TTD,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.7512388840814761,0.9791666666666666,0.9742268041237113,0.4444444444444444,3,3,57,3.0,top20,mapped,yes,32,28.11,0.0982916576048899,0.4736842105263157,0.2152606752065153,0.0393693502557739,33,33.0,9,5,2,17,6.120000000000001e-36,3,2,2,1,0.6666666666666666,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,1,0.6666666666666666
14,PPARA,peroxisome proliferator activated receptor alpha,GeneCards,A,experimental_or_curated_plus_prediction,CTD | T3DB | PubMed/primary literature,CTD chemical–gene interaction sourced to an explicitly in-silico DINP/phthalate binding paper | CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation sourced to an explicitly in-silico phthalate binding paper | Primary experimental DINP exposure study,3,Tier 1: cross-supported,True,True,0.7491399075023615,0.84375,0.7474226804123711,0.6666666666666666,16,23,42,16.0,top20,mapped,yes,16,13.394,0.0323095695071905,0.4027926960257788,0.0963875509488853,0.0198054093009898,15,15.0,8,0,2,5,6.120000000000001e-36,3,3,1,2,0.6666666666666666,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:normal_high; TCGA-COAD:normal_high,1,1.0
15,LEPR,leptin receptor,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.7242091887528062,0.5625,0.6752577319587629,1.0,43,29,1,43.0,ranked_all,mapped,yes,7,5.657,0.0004825070844402,0.3442472460220318,0.0776943749498547,0.007774335397077,14,14.0,8,1,1,4,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
16,FAS,Fas cell surface death receptor,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.7219842091270774,0.44791666666666663,0.8402061855670103,1.0,54,16,1,54.0,ranked_all,mapped,yes,4,3.315,0.0002544874928752,0.3383458646616541,0.0489934212854624,0.0054370313127764,18,18.0,2,4,1,11,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
17,RELA,"RELA proto-oncogene, NF-kB subunit",GeneCards,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 1: cross-supported,True,True,0.7212930114155423,0.8854166666666666,0.9536082474226804,0.4444444444444444,12,5,57,12.0,top20,mapped,yes,17,15.652,0.0149821157557655,0.4111842105263158,0.1754340338645288,0.0196479840445941,28,28.0,4,2,2,20,6.120000000000001e-36,3,2,2,1,0.6666666666666666,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,1,0.6666666666666666
18,SLC2A1,solute carrier family 2 member 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.72002172448698,0.45833333333333337,0.8144329896907216,1.0,53,18,1,53.0,ranked_all,mapped,yes,4,3.379,0.0006552531309814,0.3442472460220318,0.0410824743703445,0.0060522217084639,17,17.0,4,4,2,7,6.120000000000001e-36,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
19,ADIPOQ,"adiponectin, C1Q and collagen domain containing",GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.7181988768795525,0.8229166666666666,0.6752577319587629,0.6666666666666666,18,29,42,18.0,top20,mapped,yes,15,12.543,0.0108497638742197,0.4000711237553343,0.1191418875636416,0.0167628009093115,14,14.0,6,2,1,5,6.120000000000001e-36,3,2,0,3,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2,0.6666666666666666
20,ACACA,acetyl-CoA carboxylase alpha,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.7161341423119625,0.59375,0.6185567010309279,1.0,40,37,1,40.0,ranked_all,mapped,yes,7,5.913,0.000626890350441,0.3083881578947368,0.0286985256249505,0.0097837953447352,13,13.0,6,2,2,3,6.120000000000001e-36,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
21,IFNG,interferon gamma,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.7052036542436786,0.9166666666666666,0.8608247422680413,0.4444444444444444,9,14,57,9.0,top20,mapped,yes,20,17.766,0.0063935379856778,0.3947368421052631,0.2096441403987381,0.0206560918131505,20,20.0,9,1,1,9,6.120000000000001e-36,3,2,2,1,0.6666666666666666,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,2,0.6666666666666666
22,FASN,fatty acid synthase,GeneCards,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 2: replicated + pathway,False,False,0.6896934196655691,0.6770833333333333,0.48453608247422686,1.0,32,48,1,32.0,ranked_all,mapped,yes,10,8.644,0.0191438038036727,0.3326434062684801,0.042217573031056,0.0145866617965276,11,11.0,4,3,2,2,6.120000000000001e-36,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
