cross_rank,gene_symbol,protein_name,source_databases,DINP_evidence_grade,DINP_evidence_partition,DINP_database_source,DINP_evidence_type,DINP_independent_source_count,candidate_tier,cross_support_flag,ppi_pathway_candidate,cross_rank_score,ppi_hub_score,pathway_component_score,transcriptomic_component_score,ppi_component_rank,pathway_component_rank,transcriptomic_component_rank,hub_rank,hub_tier,mapping_status,in_network,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,representative_term_count,representative_description_count,GO_BP_term_count,GO_CC_term_count,GO_MF_term_count,KEGG_term_count,pathway_min_fdr,independent_datasets_measured,independent_datasets_significant_fdr_lt_0_05,independent_datasets_tumor_high,independent_datasets_normal_high,direction_concordance_fraction,consensus_direction,significant_datasets,significant_directions,sensitivity_contrasts_significant_fdr_lt_0_05,primary_dataset_replication_fraction
33,NR4A1,nuclear receptor subfamily 4 group A member 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.6040436324045612,0.48958333333333337,0.6752577319587629,0.6666666666666666,50,29,42,50.0,ranked_all,mapped,yes,5,4.268,0.0039122466509222,0.3345227475468332,0.0319334252218592,0.0079464801218835,14,14.0,5,4,2,3,6.120000000000001e-36,3,3,1,2,0.6666666666666666,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:tumor_high,1,1.0
34,CD86,CD86 molecule,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.6040109283637607,0.7916666666666666,0.41752577319587625,0.6666666666666666,21,55,42,21.0,ranked_all,mapped,yes,13,11.111,0.00089610437016,0.3610397946084724,0.1469791186085792,0.0132950701098921,10,10.0,3,2,1,4,6.120000000000001e-36,3,2,0,3,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,1,0.6666666666666666
35,AKT1,AKT serine/threonine kinase 1,GeneCards;OMIM;TTD,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 3: PPI/pathway only,False,True,0.5993305290123174,0.96875,1.0,0.2222222222222222,4,1,77,4.0,top20,mapped,yes,32,26.529,0.0808368885691892,0.4775042444821732,0.2228357710305824,0.0345874233563381,42,42.0,12,2,2,26,6.120000000000001e-36,3,1,1,2,0.6666666666666666,normal_high,GSE10950,GSE10950:normal_high,0,0.3333333333333333
36,EPAS1,endothelial PAS domain protein 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.5962586974351758,0.4375,0.48453608247422686,1.0,55,48,1,55.0,ranked_all,mapped,yes,4,3.066,0.0001626406441636,0.3100027555800496,0.0241128183992961,0.005752526863246,11,11.0,6,2,2,1,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
37,ACSL4,acyl-CoA synthetase long chain family member 4,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.5795332382461118,0.26041666666666663,0.7474226804123711,1.0,72,23,1,72.0,ranked_all,mapped,yes,1,0.969,0.0,0.2349624060150376,0.0026880719900336,0.0032487517195282,15,15.0,7,3,1,4,1.25e-12,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
38,TIMP1,TIMP metallopeptidase inhibitor 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.577340041821536,0.6666666666666667,0.28865979381443296,1.0,33,68,1,33.0,ranked_all,mapped,yes,10,8.222,0.0004243518804136,0.3402903811252268,0.1088625498523213,0.0107525059244574,8,8.0,4,2,1,1,3.14e-15,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
39,ACLY,ATP citrate lyase,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.5710428637899366,0.53125,0.35051546391752575,1.0,46,61,1,46.0,ranked_all,mapped,yes,6,4.982,0.0036837475965428,0.330785063216701,0.0208197974233238,0.0088991783897824,9,9.0,5,3,1,0,1.25e-12,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
40,CYP3A4,cytochrome P450 family 3 subfamily A member 4,GeneCards,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 2: replicated + pathway,False,False,0.56639463432995,0.375,0.48453608247422686,1.0,61,48,1,61.0,ranked_all,mapped,yes,2,1.91,0.0011758118701007,0.2084877687175685,0.0004390505771732,0.0077524381108779,11,11.0,6,1,2,2,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
41,AGTR1,angiotensin II receptor type 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.5445882786578613,0.33333333333333337,0.48453608247422686,1.0,65,48,1,65.0,ranked_all,mapped,yes,2,1.758,0.0,0.2552177858439201,0.005535956953669,0.0044549535414659,11,11.0,3,0,1,7,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
42,CCR7,C-C motif chemokine receptor 7,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.5339411183005239,0.65625,0.2319587628865979,1.0,34,73,1,34.0,ranked_all,mapped,yes,10,8.161999999999999,0.0008216194618605,0.3289473684210526,0.1021150922127191,0.0105192028760938,7,7.0,3,2,1,1,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,1,1.0
43,PPARD,peroxisome proliferator activated receptor delta,GeneCards,B,experimental_or_curated_plus_prediction,CTD | T3DB,CTD chemical–gene interaction sourced to an explicitly in-silico DINP/phthalate binding paper | CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation sourced to an explicitly in-silico phthalate binding paper,2,Tier 2: replicated + pathway,False,False,0.5329977574693783,0.46875,0.48453608247422686,0.6666666666666666,52,48,42,52.0,ranked_all,mapped,yes,4,3.384,0.000210720006942,0.3036437246963563,0.0226730880465657,0.0061254844247528,11,11.0,7,0,2,2,6.120000000000001e-36,3,2,0,3,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2,0.6666666666666666
44,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.5261622442848308,0.5833333333333333,0.5618556701030928,0.4444444444444444,41,40,57,41.0,ranked_all,mapped,yes,7,5.901,0.0044048434390411,0.3036437246963563,0.0173732643360847,0.0108064182643247,12,12.0,7,1,1,3,1.25e-12,3,2,2,1,0.6666666666666666,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:normal_high,1,0.6666666666666666
45,IL5,interleukin 5,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.5182277658140549,0.75,0.41752577319587625,0.4444444444444444,25,55,57,25.0,ranked_all,mapped,yes,12,10.862,0.000361194734095,0.3326434062684801,0.1387059415726956,0.0130363310221523,10,10.0,3,1,1,5,6.120000000000001e-36,3,2,2,1,0.6666666666666666,tumor_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:tumor_high,1,0.6666666666666666
46,TXN,thioredoxin,GeneCards,A,experimental_or_curated,PubMed/primary literature,Primary experimental DINP exposure study,1,Tier 2: replicated + pathway,False,False,0.5103100015031348,0.5729166666666667,0.2319587628865979,1.0,42,73,1,42.0,ranked_all,mapped,yes,7,5.885,0.0062003401465349,0.348297213622291,0.0408482610297014,0.0100752327967441,7,7.0,2,2,2,1,6.120000000000001e-36,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,1,1.0
47,FABP1,fatty acid binding protein 1,GeneCards,B,experimental_or_curated,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),1,Tier 2: replicated + pathway,False,False,0.503695415482141,0.36458333333333337,0.35051546391752575,1.0,62,61,1,62.0,ranked_all,mapped,yes,2,1.902,0.0,0.2766847024102312,0.0119922695526127,0.0042069875128913,9,9.0,4,2,2,1,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,1,1.0
48,NFE2L2,NFE2 like bZIP transcription factor 2,GeneCards,A,experimental_or_curated,ChEMBL; PubChem BioAssay | PubMed/primary literature,PubChem BioAssay-derived qHTS antioxidant-response-element functional reporter activity indexed in ChEMBL | Primary experimental DINP exposure study,2,Tier 4: other,False,False,0.5017281426034634,0.7604166666666666,0.7474226804123711,0.2222222222222222,24,23,77,24.0,ranked_all,mapped,yes,13,10.596,0.0189336601469038,0.3921226908330428,0.1057231903924145,0.0154038634676276,15,15.0,8,3,2,2,6.120000000000001e-36,3,1,2,1,0.6666666666666666,tumor_high,TCGA-COAD,TCGA-COAD:normal_high,0,0.3333333333333333
49,NR3C1,nuclear receptor subfamily 3 group C member 1,GeneCards,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 2: replicated + pathway,False,False,0.49885189033395994,0.7083333333333333,0.17525773195876293,1.0,29,79,1,29.0,ranked_all,mapped,yes,11,9.089,0.003631405591278,0.3795546558704453,0.0944046654510019,0.0126902112737766,6,6.0,2,2,2,0,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
50,PGR,progesterone receptor,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.4943522536782844,0.5208333333333333,0.2319587628865979,1.0,47,73,1,47.0,ranked_all,mapped,yes,6,4.882,0.0001261039612972,0.3402903811252268,0.0520966113035889,0.0075431619683737,7,7.0,2,2,2,1,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
51,AR,androgen receptor,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.4936187922840724,0.625,0.28865979381443296,0.6666666666666666,37,68,42,37.0,ranked_all,mapped,yes,8,6.774,0.040689122624422,0.3566899175649968,0.0659846842687783,0.0113518134425938,8,8.0,4,1,2,1,6.120000000000001e-36,3,2,0,3,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2,0.6666666666666666
52,FDPS,farnesyl diphosphate synthase,TTD,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.4837257587733267,0.32291666666666663,0.35051546391752575,1.0,66,61,1,66.0,ranked_all,mapped,yes,2,1.743,0.0,0.2608393229770461,0.0049170053177948,0.0043513285279003,9,9.0,4,1,1,3,1.25e-12,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,1,1.0
53,SQSTM1,sequestosome 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.48092188492980315,0.6145833333333333,0.8144329896907216,0.2222222222222222,38,18,77,38.0,ranked_all,mapped,yes,7,6.13,0.0009275821851409,0.330785063216701,0.0445432501387277,0.0095813898591699,17,17.0,6,5,1,5,3.14e-15,3,1,2,1,0.6666666666666666,tumor_high,GSE10950,GSE10950:tumor_high,1,0.3333333333333333
54,CXCR4,C-X-C motif chemokine receptor 4,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.4760051336469252,0.71875,0.6752577319587629,0.2222222222222222,28,29,77,28.0,ranked_all,mapped,yes,12,9.576,0.0008672629951632,0.3677672441974501,0.1290964528437989,0.0118825232696042,14,14.0,5,3,2,4,6.120000000000001e-36,3,1,1,2,0.6666666666666666,normal_high,GSE74602,GSE74602:normal_high,1,0.3333333333333333
55,IL33,interleukin 33,GeneCards,A,experimental_or_curated,PubMed/primary literature,Primary experimental DINP exposure study,1,Tier 4: other,False,False,0.4751434407789193,0.6458333333333333,0.7474226804123711,0.2222222222222222,35,23,77,35.0,ranked_all,mapped,yes,9,7.708,0.0,0.3271299796452457,0.1053277134268084,0.0097521622051667,15,15.0,9,2,1,3,6.120000000000001e-36,3,1,1,2,0.6666666666666666,normal_high,TCGA-COAD,TCGA-COAD:tumor_high,0,0.3333333333333333
56,HSPA9,heat shock protein family A (Hsp70) member 9,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.47309095972358484,0.30208333333333337,0.35051546391752575,1.0,68,61,1,68.0,ranked_all,mapped,yes,2,1.709,0.0,0.3183361629881154,0.0245260760523178,0.0038347190021882,9,9.0,5,2,2,0,6.120000000000001e-36,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
57,ANGPT2,angiopoietin 2,GeneCards;TTD,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.4656164286735046,0.20833333333333337,0.48453608247422686,1.0,77,48,1,77.0,ranked_all,mapped,yes,1,0.75,0.0,0.3052088985349973,0.0148927520349152,0.0026563769409392,11,11.0,5,1,1,4,6.120000000000001e-36,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
58,BMP2,bone morphogenetic protein 2,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.46195524735764315,0.28125,0.35051546391752575,1.0,70,61,1,70.0,ranked_all,mapped,yes,2,1.58,0.0,0.3036437246963563,0.0175151661201162,0.0037491035753409,9,9.0,5,1,1,2,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
59,GRN,granulin precursor,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.4505198128149029,0.13541666666666663,0.6752577319587629,1.0,84,29,1,84.0,ranked_all,mapped,yes,0,0.0,0.0,0.0,6.745536160523718e-21,0.0018587360594797,14,14.0,10,2,2,0,3.14e-15,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
60,STAT6,signal transducer and activator of transcription 6,GeneCards,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 4: other,False,False,0.44986239088824465,0.7291666666666667,0.5618556701030928,0.2222222222222222,27,40,77,27.0,ranked_all,mapped,yes,12,10.179,0.001931667518158,0.3921226908330428,0.1401478302910776,0.0126496537338967,12,12.0,4,3,2,3,6.120000000000001e-36,3,1,2,1,0.6666666666666666,tumor_high,GSE74602,GSE74602:normal_high,1,0.3333333333333333
61,BECN1,beclin 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.4492326063344569,0.6041666666666667,0.6752577319587629,0.2222222222222222,39,29,77,39.0,ranked_all,mapped,yes,7,6.022,0.0011884869288617,0.3402903811252268,0.0570525740029642,0.0090621675875512,14,14.0,6,3,1,4,6.120000000000001e-36,3,1,2,1,0.6666666666666666,tumor_high,GSE10950,GSE10950:tumor_high,1,0.3333333333333333
62,CNR1,cannabinoid receptor 1,GeneCards;TTD,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.44444183429643125,0.15625,0.5618556701030928,1.0,82,40,1,82.0,ranked_all,mapped,yes,0,0.0,0.0,0.0,6.745536160523718e-21,0.0018587360594797,12,12.0,9,2,1,0,3.14e-15,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
63,LDLR,low density lipoprotein receptor,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.44398832190564963,0.10416666666666663,0.8402061855670103,1.0,87,16,1,87.0,ranked_all,mapped,yes,0,0.0,0.0,0.0,6.745536160523718e-21,0.0018587360594797,18,18.0,8,3,2,5,6.120000000000001e-36,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
64,ACE,angiotensin I converting enzyme,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.39943461710316647,0.5104166666666667,0.5618556701030928,0.2222222222222222,48,40,77,48.0,ranked_all,mapped,yes,6,4.74,0.0104379177395752,0.3383458646616541,0.0418090748429965,0.0086026101611463,12,12.0,5,3,2,2,6.120000000000001e-36,3,1,1,2,0.6666666666666666,normal_high,GSE74602,GSE74602:normal_high,1,0.3333333333333333
65,DUSP1,dual specificity phosphatase 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.39753096803616617,0.27083333333333337,0.2319587628865979,1.0,71,73,1,71.0,ranked_all,mapped,yes,2,1.539,0.0003740153712158,0.3149496080627099,0.0164594986099477,0.0039076054996044,7,7.0,4,0,1,2,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
66,CD80,CD80 molecule,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.39333407043762103,0.78125,0.17525773195876293,0.4444444444444444,22,79,57,22.0,ranked_all,mapped,yes,13,10.897,0.00089610437016,0.3610397946084724,0.1446327636733705,0.0130718334865686,6,6.0,2,1,1,2,6.120000000000001e-36,3,2,2,1,0.6666666666666666,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,2,0.6666666666666666
67,COPS5,COP9 signalosome subunit 5,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.3920185620479922,0.34375,0.17525773195876293,1.0,64,79,1,64.0,ranked_all,mapped,yes,2,1.816,0.0,0.3052088985349973,0.0160706599872137,0.0042427269515032,6,6.0,2,2,2,0,3.14e-15,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
68,TIMP2,TIMP metallopeptidase inhibitor 2,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.3853849469811033,0.42708333333333337,0.134020618556701,1.0,56,84,1,56.0,ranked_all,mapped,yes,3,2.7960000000000003,0.0,0.3100027555800496,0.0340277993716396,0.0050221439692353,5,5.0,2,2,1,0,3.14e-15,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,1,1.0
69,UBE2C,ubiquitin conjugating enzyme E2 C,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.3424597576191406,0.22916666666666663,0.17525773195876293,1.0,75,79,1,75.0,ranked_all,mapped,yes,1,0.916,0.0,0.0105263157894736,2.2250744692395297e-16,0.0123915737298636,6,6.0,3,1,2,0,3.14e-15,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
70,ATG5,autophagy related 5,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.33896502644890203,0.5,0.35051546391752575,0.2222222222222222,49,61,77,49.0,ranked_all,mapped,yes,5,4.506,9.936699690339108e-05,0.3253325621746674,0.0386597700053271,0.0073064440899446,9,9.0,5,1,0,3,6.120000000000001e-36,3,1,1,2,0.6666666666666666,normal_high,TCGA-COAD,TCGA-COAD:normal_high,2,0.3333333333333333
71,INHBA,inhibin subunit beta A,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.3171303649567806,0.11458333333333337,0.41752577319587625,0.6666666666666666,86,55,42,86.0,ranked_all,mapped,yes,0,0.0,0.0,0.0,6.745536160523718e-21,0.0018587360594797,10,10.0,6,1,1,2,6.120000000000001e-36,3,3,1,2,0.6666666666666666,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:tumor_high,2,1.0
72,CAT,catalase,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.3148599491455605,0.16666666666666663,0.5618556701030928,0.3333333333333333,81,40,70,81.0,ranked_all,mapped,yes,0,0.0,0.0,0.0,6.745536160523718e-21,0.0018587360594797,12,12.0,3,4,2,3,6.120000000000001e-36,3,1,0,3,1.0,normal_high,TCGA-COAD,TCGA-COAD:normal_high,2,0.3333333333333333
73,ANGPTL4,angiopoietin like 4,GeneCards,B,experimental_or_curated,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),1,Tier 4: other,False,False,0.3109603535111939,0.3125,0.28865979381443296,0.3333333333333333,67,68,70,67.0,ranked_all,mapped,yes,2,1.718,1.5997440409534473e-05,0.2916774695359087,0.0159348134766299,0.0038897348092,8,8.0,4,1,1,2,3.14e-15,3,1,0,3,1.0,normal_high,GSE10950,GSE10950:normal_high,1,0.3333333333333333
74,GSR,glutathione-disulfide reductase,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.2779685592785346,0.41666666666666663,0.2319587628865979,0.2222222222222222,57,73,77,57.0,ranked_all,mapped,yes,3,2.778,0.0001169449251756,0.2728595682755275,0.0101948505793928,0.0059098947802393,7,7.0,2,4,1,0,6.120000000000001e-36,3,1,1,2,0.6666666666666666,normal_high,TCGA-COAD,TCGA-COAD:normal_high,2,0.3333333333333333
75,SIRT3,sirtuin 3,GeneCards,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 2: replicated + pathway,False,False,0.2605279020787816,0.19791666666666663,0.134020618556701,0.6666666666666666,78,84,42,78.0,ranked_all,mapped,yes,1,0.75,0.0,0.2975403332451732,0.0106080601209191,0.0027515781229956,5,5.0,1,1,1,2,2.98e-11,3,3,1,2,0.6666666666666666,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:normal_high; TCGA-COAD:normal_high,1,1.0
76,CYP17A1,cytochrome P450 family 17 subfamily A member 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.2482698407597105,0.39583333333333337,0.2319587628865979,0.16666666666666666,59,73,91,59.0,ranked_all,mapped,yes,3,2.709,0.0262130047155711,0.254122430539869,0.0034969178517692,0.0105774327385802,7,7.0,2,1,1,3,1.25e-12,3,1,1,1,0.5,mixed_or_flat,GSE74602,GSE74602:normal_high,2,0.3333333333333333
77,MKI67,marker of proliferation Ki-67,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.24562847187347348,0.23958333333333337,0.061855670103092786,1.0,74,91,1,74.0,ranked_all,mapped,yes,1,0.916,0.0,0.0105263157894736,2.2250744692395297e-16,0.0123915737298636,3,3.0,1,0,2,0,3.14e-15,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
78,CYP11B1,cytochrome P450 family 11 subfamily B member 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 4: other,False,False,0.2444360818725842,0.25,0.35051546391752575,0.16666666666666666,73,61,91,73.0,ranked_all,mapped,yes,1,0.964,0.0,0.1928681638950797,0.0002215066328391,0.0050567679994827,9,9.0,4,2,1,2,6.120000000000001e-36,3,1,1,1,0.5,mixed_or_flat,GSE74602,GSE74602:normal_high,1,0.3333333333333333
79,RYR1,ryanodine receptor 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.22911754743271762,0.0625,0.28865979381443296,0.6666666666666666,91,68,42,91.0,ranked_all,mapped,yes,0,0.0,0.0,0.0,6.745536160523718e-21,0.0018587360594797,8,8.0,2,2,2,2,6.120000000000001e-36,3,2,0,3,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2,0.6666666666666666
80,NR1I2,nuclear receptor subfamily 1 group I member 2,GeneCards,A,experimental_or_curated,CTD | T3DB | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation backed by primary human receptor transactivation/ex vivo expression study | Primary experimental DINP exposure study,3,Tier 4: other,False,False,0.22557789088719177,0.38541666666666663,0.134020618556701,0.2222222222222222,60,84,77,60.0,ranked_all,mapped,yes,2,1.961,0.0072136470201511,0.2426660914581536,0.0034995484757554,0.0065940717040427,5,5.0,2,1,2,0,6.120000000000001e-36,3,1,1,2,0.6666666666666666,normal_high,GSE74602,GSE74602:normal_high,1,0.3333333333333333
