mode,affinity_kcal_mol,vina_rmsd_lb_A,vina_rmsd_ub_A,receptor_frame_heavy_atom_rmsd_A,kabsch_fit_heavy_atom_rmsd_A,top_ranked_pass_2A,pass_2A
1,-7.904,0.0,0.0,8.735807861898063,1.8469417335725764,no,no
2,-7.823,1.541,1.773,8.68663543962043,1.7079436354240205,no,no
3,-7.784,1.102,1.325,8.873290473442587,2.0719570933982507,no,no
4,-7.634,1.597,2.271,9.492413286409311,2.0996199781865075,no,no
5,-7.578,2.107,6.28,7.010065257402635,1.3435758458345155,no,no
6,-7.378,2.716,5.913,7.681354307672573,2.633871200767947,no,no
7,-7.348,1.875,2.75,10.167879993647515,1.2755212244268652,no,no
8,-7.17,2.323,3.708,7.894939683664192,1.93245610030807,no,no
9,-7.166,2.331,3.651,10.619176855432652,2.131306336602342,no,no
10,-7.099,1.899,2.696,10.036675711998775,1.650000582976371,no,no
11,-7.099,2.663,6.779,8.475062457125253,1.4673755999096436,no,no
12,-7.053,2.798,7.216,9.145421893422723,1.0664739222182293,no,no
13,-7.049,3.354,6.746,10.297480196208406,1.8415803434861548,no,no
14,-7.035,3.483,7.778,9.885705134182388,1.7890991290349278,no,no
15,-7.032,3.132,6.383,8.815987387054026,2.3866287893781704,no,no
16,-7.008,3.721,7.793,9.807729992648435,1.8331752733057183,no,no
17,-6.954,3.05,5.298,7.933254579136567,2.1212367496487046,no,no
18,-6.934,3.69,7.644,10.268537775334824,1.7610415023922583,no,no
19,-6.869,3.753,7.811,11.005783785770571,1.4204549730829767,no,no
20,-6.833,2.365,3.853,10.016510422471404,1.1887203539621767,no,no
